address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Nội thất,Hướng ban công,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang']","
Nằm vị trí siêu đẹp cách bến xe Yên Nghĩa 3km.Cách cầu Mai Lĩnh của Phường Biên Giang - Hà Đông 1km. Cạnh ngay đại học Thể dục Thể Thao.Ô tô Morning đỗ cửa, xe 7 chỗ cách 5m, bãi đỗ xe của nhà văn hóa cách 10m (để được 20 xe ô tô).Nhà xây 3 tầng có 3 ngủ và 2wc.Diện tích đất 30m².* Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.* Nội thất:Cầu thang gỗ lim.Cửa thông phòng gỗ. Tủ bếp hiện đại.Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.Đá ốp cầu thang hoa cương tự nhiên.* Sổ đỏ đầy đủ, pháp lý minh bạch rõ ràng.Hỗ trợ ngân hàng tối đa 70% giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500tr có thể mua được nhà.Cầu thang gỗ Lim 100%. Cửa thông phòng, tủ bếp gỗ tự nhiên. Cửa nhôm Việt Pháp, cửa chính Inox 304. Vệ sinh Inax. Trần thạch cao. Đá cầu thang hoa cương. Dây điện Trần Phú, ống nhựa Tiền Phong.* Giá.Giá 1 tỷ 290 triệu (giá xây thô 3 tầng).Giá hoàn thiện như hình về ở ngay là 1 tỷ 420 triệu..- Ngân hàng hỗ trợ cho vay 60 - 70%.Thông tin pháp lý: Sổ đỏ chính chủ tên tôi - Phạm Thu Trang.            ",33 m²,1.29 tỷ,Đông - Nam,3 phòng,2 phòng,29/11/2022,28/05/2023,Tin thường,34790780,batdongsan_com_vn_34790780,4 m,3 tầng,Đã có sổ đỏ.,,Đông - Nam,3 m
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Hoa Phượng 3', 'Dự án Vinhomes Riverside']","
+ Tôi chính chủ bán căn khu tiểu Bằng Lăng, view sông trước sau, thoáng 4 mặt. Giá thiện chí 75 tỷ.+ Diện tích hơn ~300m².+ Tôi muốn bán nhanh trong tháng này.+ ACE môi giới có người quan tâm hoặc khách mua thiện chí gọi trực tiếp cho tôi để nhanh vào việc nhất.096 129 6809.            ",300 m²,250 triệu/m²,,,,29/11/2022,06/12/2022,Tin thường,33637389,batdongsan_com_vn_33637389,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Đường Núi Trúc', '20', 'Lancaster Hà Nội']","
Chính chủ cần bán gấp căn hộ Lancaster 20 Núi Trúc, diện tích 94m².Do chuyển công tác và định cư tại Sài Gòn nên tôi chính chủ cần chuyển nhượng lại căn hộ Lancaster Hà Nội, dự án do chủ đầu tư tập đoàn Trung Thủy làm chủ đầu tư.- Căn hộ có diện tích 94m².- Thiết kế: 2 phòng ngủ 2 vệ sinh. Tất cả các phòng ngủ và phòng khách đều có ánh sáng và ban công rất đẹp.- Căn hộ full nội thất chỉ cần về ở.- Sổ đỏ đã đứng tên chính chủ chỉ cần công chứng sang tên.- Giá bán: 6 tỷ.- Liên hệ chính chủ: 0985 878 *** ",94 m²,6 tỷ,,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35608402,batdongsan_com_vn_35608402,,,Sổ đỏ,,Đông - Nam,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Bán nhà Xuân Đỉnh, ô tô đỗ cửa, 40m², 3.3 tỷ, thoáng trước sau, full nội thất.Nhà đẹp ở ngay - ô tô đỗ cửa - gần phố - thoáng trước sau - tặng full nội thất.- Ngõ nông, ô tô đổ cửa thoải mái, đi vào cổng đóng sử dụng chỗ để xe riêng biệt.- Khu vực dân trí cao, an ninh tốt, gần chợ, trường học các cấp, giao thông thuận tiện, khu vực đang rất phát triển.- Nhà xây 5 tầng mới được vài năm còn rất đẹp, thiết kế hợp lý mỗi tầng 1 phòng tổng 3 ngủ.Sổ đỏ chính chủ sẵn sàng giao dịch.            ",40 m²,3.3 tỷ,,,,29/11/2022,06/12/2022,Tin thường,35984932,batdongsan_com_vn_35984932,,5 tầng,,,,
"['Hà Nội', 'Phú Xuyên', 'Xã Tri Trung', 'Đường 429']","
Bán nhanh vài ô băng 1 đất đấu giá Tri Trung, Phú Xuyên, Hà Nội.Diện tích 110 m², mặt tiền 5m.Đường to rộng rãi, hạ tầng hoàn thiện.Vị trí gần trung tâm xã, gần đường Cienco 5 - Hà Đông, gần cụm công nghiệp 200ha.Tiến độ đóng tiền trong 4 tháng.Giá bán chênh cực kì hợp lý, mua là lãi.LH: 0818 542 *** ",110 m²,9.9 triệu/m²,,,,29/11/2022,07/12/2022,Tin thường,32841370,batdongsan_com_vn_32841370,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình']","
- Nội thất hoàn thiện cơ bản.- Nhà đẹp, thoáng mát.- Gần Royal, Tân Triều sát khu Five star Garden.Lh 0963 879 ***Mai Xuân).            ",42 m²,4.35 tỷ,,4 phòng,3 phòng,29/11/2022,09/12/2022,Tin thường,35984695,batdongsan_com_vn_35984695,5 m,4 tầng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,2.5 m
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', 'Dự án Eco Lake View']","
Do thay đổi nhu cầu sử dụng, gia đình tôi cần bán căn hộ 3PN bên dự án Eco Lake View. Căn hộ thiết kế 3 phòng ngủ, 2 nhà vs. Nội thất để lại đồ liền tường. Giá 3 tỷ thu về. Liên hệ xem nhà: 0346 729 *** ",90 m²,3 tỷ,Đông - Bắc,3 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35947768,batdongsan_com_vn_35947768,,,Sổ đỏ/ Sổ hồng.,Đồ liền tường.,Tây - Nam,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Nguyễn Duy Trinh', 'Dự án VP5 Linh Đàm']","
Bán căn hộ VP5 Linh Đàm - view 2 mặt hồ cực xịn đẹp nhất tòa - DT 58 m² - 2N 2VS.- VP 5 Linh Đàm là một khu chung cư cao cấp ngay giữa hồ Linh Đàm với xung quanh rất nhiều khu vui chơi giải trí như bể bơi, sân bóng đá, sân tennis chắc chắn sẽ là một không gian sống hoàn mỹ nhất mà bạn từng biết đến.- Giao thông cực kỳ thuận tiện, nằm cạnh trục đường trên không nối giữa cầu vượt bán đảo Linh Đàm với bến xe Mỹ Đình(4km).- Pháp lý: Sổ đỏ chính chủ.- Thiết kế 2 phòng ngủ, 2 WC, 1 ban công.- Cửa Tây Nam - Ban công Đông Nam.- Nội thất: Sàn gỗ, điều hòa, nóng lạnh, tủ bếp. Giường tủ, kệ tivi, bộ bàn ghế gỗ, chỉ mang đi tivi, tủ lạnh máy giặt.- Giá bán: 1,72 tỷ - ko bao sang tên (giá thương lượng).LH em Hiển 0869 870 *** zalo). Tư vấn miễn phí nhiệt tình.            ",58 m²,1.72 tỷ,Tây - Nam,2 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35666667,batdongsan_com_vn_35666667,,,Sổ đỏ/ Sổ hồng,Nội thất cơ bản.,Đông - Nam,
"['Hà Nội', 'Chương Mỹ', 'Xã Phụng Châu']","
- Sổ đỏ chính chủ nhà đất tên tôi Ms. Trang miễn môi giới.* Vị trí:Cách bến xe Yên Nghĩa 3km.Cách cầu Mai Lĩnh của Phường Biên Giang - Hà Đông 1km.Cạnh ngay đại học Thể dục Thể Thao.Ô tô Morning đỗ cửa, xe 7 chỗ cách 5m, bãi đỗ xe của nhà văn hoá cách 10m (để được 20 xe ô tô).Nhà xây 3 tầng có 3 ngủ và 2wc.Diện tích đất 30m².* Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.* Nội thất:Cầu thang gỗ lim.Cửa thông phòng gỗ. Tủ bếp hiện đại.Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.Đá ốp cầu thang hoa cương tự nhiên.* Sổ đỏ đầy đủ, pháp lý minh bạch rõ ràng.Hỗ trợ ngân hàng tối đa 70% giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500tr có thể mua được nhà.- Giá bán: 1 tỷ 400 triệu.- Ms. Trang chính chủ tên sổ đỏ.- Ảnh nhà thực tế kèm theo tin đăng.- Ngân hàng hỗ trợ cho vay 60 - 70%.            ",30 m²,1.4 tỷ,Đông - Nam,3 phòng,2 phòng,29/11/2022,27/02/2023,Tin thường,19685304,batdongsan_com_vn_19685304,4 m,3 tầng,,"* Nội thất: 1. Cầu thang gỗ Lim. 2. Cửa thông phòng gỗ Chò, tủ bếp gỗ tự nhiên. 3. Cửa nhôm hệ Việt Pháp, cửa chính xếp kéo Đài Loan. 4. Thiết bị vệ sinh Inax, trần thạch cao. 5. Sơn cao cấp Jotun, bồ",,3 m
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', '32', 'Eco Lake View']","
Gia đình tôi sang nước ngoài định cư, nên muốn bán căn hộ ở 32 Đại Từ. Với diện tích 75m², hướng mát, nội thất mới sửa đầu năm 2022. Do tính chất công việc nên phải bán đi căn hộ tâm huyết. Sổ đỏ chính chủ. Tôi muốn bán nhanh nên để gía 2,65 tỷ. Liên hệ tôi qua số điện thoại: 0346 729 ***Miễn môi giới trung gian).            ",75 m²,2.65 tỷ,Tây - Bắc,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35944103,batdongsan_com_vn_35944103,,,Sổ đỏ.,Đầy đủ.,Đông - Nam,
