address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng ban công,Hướng nhà
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Căn 2PN 2VS + 1, 64m² tại Vinhomes Smart City giá 2,2 tỷ.Căn 2pn2vs + 1 64m² view bể bơi, để lại toàn bộ nội thất như ảnh!Giá bán thấp hơn giá thị trường 300tr vì đang cần bán gấp!Nếu bán sớm gia đình để giá 2,2 tỷ. Sau tháng 11 giá 2,4 tỷ.Miễn trung gian.            ",64 m²,2.2 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full đồ,26/11/2022,06/12/2022,Tin thường,35843997,batdongsan_com_vn_35843997,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
Phân lô vip hoàng cầu - ô tô tránh, vào nhà - nhà đẹp, kinh doanh - 3 thoáng vĩnh viễn - nở hậu.Diện tích 64m² x 5 tầng.Vị trí cực đẹp, đường ô tô tránh, khách mua ở hoặc kinh doanh đều vô cùng phù hợp.Xung quanh hàng xóm toàn biệt thự quan chức, an sinh đỉnh cao, vô vàn tiện ích, ngay cạnh khu chung cư cao cấp của tân hoàng minh.Nhà thiết kế 5 tầng, nội thất sang trọng, hiện đại, gia chủ sử dụng rất giữ gìn, sạch đẹp. Các phòng đều có cửa sổ, thoáng mát.+ Tầng 1: Gara ô tô.+ Tầng 2: Phòng khách, 1 ngủ, phụ.+ Tầng 3 + 4: Mỗi tầng 2 phòng rộng + 1 phụ.+ Tầng 5: Phòng thờ, khu giặt đồ, sân phơi.Sổ đỏ nở hậu, giao dịch ngay.* Giá 12.1 tỷ rẻ nhất thị trường.Chủ nhà rất thiện chí bán, giá rất là hợp lý.Liên hệ em sđt & zalo: 0963 460 *** ",64 m²,12.1 tỷ,,5 tầng,,,Sổ đỏ/ Sổ hồng,,23/11/2022,30/11/2022,Tin thường,35928794,batdongsan_com_vn_35928794,6 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông', 'Ngõ 44']","
Tòa chung cư mini mới xây - full đồ - doanh thu 100 triệu/tháng.+ Diện tích: 76m² x 6 tầng, mặt tiền 5m.+ Địa chỉ: Ngõ 44 đường Trần Thái Tông, phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội.+ Vị trí đẹp ngõ 44 Trần Thái Tông thông sang ngõ 63 đường Trần Quốc Vượng, đường Trần Thái Tông Tiếp giáp với nhiều tuyến đường như: Cầu Giấy, Nguyễn Phong Sắc, Duy Tân, Trung Kín, Thành Thái, Xuân Thuỷ.+ Xung quanh toàn trường đại học lớn, các cơ quan hành chính nên nhu cầu thuê luôn cực cao vì tiện ích quá nhiều, giá thuê phòng cũng cao theo, ngõ trước nhà xe 5 tạ đỗ cửa khu vực giá cho thuê cực cao sợ không có phòng cho thuê.+ Toà chung cư mini 15 Phòng full nội thất sang chảnh (Tủ lạnh, điều hoà, bình nóng lạnh, máy giặt, giường, tủ, sofa... Khách chỉ việc xách vali về ở). Mọi sinh hoạt đều gói gọn trong phòng phơi đồ từng phòng đều có ban công riêng.+ Toà nhà thiết kế 6 tầng thang máy:- Tầng 1: Để xe.- Từ tầng 2 đến tầng 6 mỗi tầng 3 phòng khép kín full đồ cao cấp.+ Sổ đỏ chính chủ đẹp sẵn sang giao dich!+ Giá bán: 13,5 tỷ (có thương lượng).Liên hệ em Hà: 0876 464 *** để được tư vấn và xem miễn phí.            ",76 m²,13.5 tỷ,5 m,6 tầng,15 phòng,16 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,22/11/2022,29/11/2022,Tin thường,35922697,batdongsan_com_vn_35922697,2.5 m,,Đông - Nam
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Bán cắt lỗ căn 2pn 64m² giá 2,1 tỷ bao phí view đẹp hướng Đông Nam Vinhomes Smart City.Chính chủ bán cắt lỗ căn hộ tại S303 Vinhomes Smart City.Giá 2,1 tỷ bao phí.Diện tích 64m².View công viên trung tâm.            ",64 m²,2.1 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,26/11/2022,06/12/2022,Tin thường,35843763,batdongsan_com_vn_35843763,,Đông - Nam,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Cần bán nhanh căn hộ Vinhomes Smart City do cần tiền bán cắt lỗ cực sâu giá chỉ 2 tỷ.Diện tích 55m².Thiết kế 2 phòng ngủ + 1 và 2 vệ sinh.Ban công hướng mát. View đẹp.Tòa đẹp nhất dự án.(Mong gặp được khách hàng có nhu cầu thiện chí mua luôn, có thỏa thuận với khách nhiệt tình).            ",55 m²,2 tỷ,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Full đồ,27/11/2022,07/12/2022,Tin thường,35853575,batdongsan_com_vn_35853575,,Đông - Nam,
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Tứ Liên', 'Ngõ 28']","
Chủ nhà muốn bán nhà riêng:Nhà xây đẹp 5 tầng, diện tích 60m², mặt tiền 4.5m. Hướng Tây Nam, đường trước nhà 2 ô tô tránh nhau. Nhà xây đẹp gồm 4 phòng ngủ. Chủ cần bán gấp. Phù hợp hợp khách mua ở hoặc đầu tư kinh doanh.Giá bán: 10 tỷ.Sổ đỏ chính chủ.LH: 0932 692 ***Thảo).            ",60 m²,10 tỷ,4.5 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35712927,batdongsan_com_vn_35712927,,Tây - Nam,Tây - Nam
"['Hà Nội', 'Đống Đa', 'Phường Khâm Thiên', 'Đường Lê Duẩn', 'Ngõ 222']","
+ Vị trí cực đẹp ngõ 222 Lê Duẩn ô tô chạy ầm ầm, nhà cách ngõ 20m, ngõ trước nhà rộng và thoáng, thông tứ tung sang nhiều tuyến phố lớn Khâm Thiên, Xã Đàn tiện ích ngập tràn 3 bước xuống phố, khu dân trí cao an ninh tốt.+ Nhà thiết kế cho thuê căn hộ tầng 1 để xe, tổng 9 căn hộ cho thuê nội thất đầy đủ xịn sò, cực kì tiện, có thể nâng thêm tầng và cải tạo thêm căn hộ cho thuê.+ Sổ đỏ chính chủ, giao dịch ngay.Lh: Thắng.            ",45 m²,6.9 tỷ,3.2 m,5 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,27/11/2022,04/12/2022,Tin thường,35558163,batdongsan_com_vn_35558163,2.8 m,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Do không ở đến nên gia đình cần bán căn hộ The Pride Tố Hữu, La Khê, Hà Đông vì đã tìm được nhà mới mong muốn người mua đến ở giữ gìn sạch sẽ cẩn thận.Thông tin như sau:Diện tích 88m² gồm 2 ngủ, 2 vệ sinh, 2 ban công thoáng mát.Nội thất để lại đầy đủ.Tiện ích đầy đủ siêu thị Đức Thành, trường mầm non, nhà hàng, trung tâm thương mại, khuôn viên chơi, kios, bể bơi, gym, spa,...Giá 2,xx tỷ có thương lượng.Ai quan tâm vui lòng liên hệ Mr. Luân 0962 626 *** ",88 m²,2.1 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,24/11/2022,01/12/2022,Tin thường,35533836,batdongsan_com_vn_35533836,,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Phố Phương Liệt']","
+ Vị trí cực đẹp cách đường ô tô chỉ một đoạn, gần nhiều trường đại học lớn Bách Khoa, Xây dựng, Kinh tế gần Bệnh viện Bạch Mai. Khu dân trí cao an ninh tốt, ngã ba của các Quận Hoàng Mai, Đống Đa, Thanh Xuân đi lại cực kì thuận tiện.+ Nhà mới đẹp công năng chuẩn chỉ tiện ích ngập tràn, thiết kế gồm 3 ngủ, bếp, khách bfa phòng thờ.+ Sổ đỏ chính chủ giao dịch ngay.Lh: Thắng.            ",38 m²,3.65 tỷ,4.1 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,27/11/2022,04/12/2022,Tin thường,35863937,batdongsan_com_vn_35863937,2.6 m,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Lạc Long Quân']","
Lô góc - 3 thoáng - vỉa hè ô tô tránh.Trước cửa ô tô dừng đỗ ngày đêm.Bán nhà Lạc Long Quân 50m² - nhỉnh 8 tỷ.Sổ đẹp vuông đét, chuẩn pháp lý.30m ra mặt phố Lạc Long Quân.Ngõ thông tứ tung - An sinh cực đỉnh.Alo Tú Đời Thường để được tư vấn tốt nhất.            ",50 m²,Thỏa thuận,,4 tầng,4 phòng,3 phòng,Sổ đỏ vuông đét,Đầy đủ,23/11/2022,30/11/2022,Tin thường,35927903,batdongsan_com_vn_35927903,8 m,,
