address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Nội thất,Hướng ban công,Số toilet
"['Hà Nội', 'Sóc Sơn', 'Xã Mai Đình', 'Hương Đình']","
Chủ cần tiền bán nhanh lô đất khổ đẹp 150m² mặt tiền 12m, nở hậu.Tại Hương Đình, Mai Đình, Sóc Sơn, Hà Nội.Giá chốt đầu tư chỉ 2x tr/m². Xung quanh bán 3x tr/m².Vị trí đẹp, ngay gần khu đấu giá Hương Đình (giá sàn 36 tr/m²),Gần trục chính thôn (đất trục chính giá 32~34 tr/m²).Nằm giữa cụm công nghiệp CN2, CN3, Z125.Sát đường đôi kcn rộng 30M.Tiềm năng tăng giá cực mạnh.Đất đẹp dành cho nhà đầu tư nào nhanh nhạy gom hàng giá đẹp.Liên hệ ngay em Long 0967 131 ***Daitinphatbds.comCông ty TNHH Đại Tín Phát bất động sản.Xin trân trọng cảm ơn!            ",150 m²,Thỏa thuận,12 m,5 m,Bắc,,Sổ đỏ/ Sổ hồng,28/11/2022,08/12/2022,Tin thường,35603263,batdongsan_com_vn_35603263,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Phố Phương Liệt']","
Bán nhà mặt phố Phương Liệt, Trường Chinh, Thanh Xuân. DT 94m², nhà 5 tầng khung bê tông kiên cố, có đầy đủ giấy phép XD, mặt tiền 4,2m nở hậu 4,5m, hướng ĐN.- Phố thông từ Trường Chinh ra Giải Phóng, hè 2 bên, rộng 3 xe ô tô tránh nhau, ô tô đỗ ngày đêm.- Tuyến phố kinh doanh sầm uất, gần các trục giao thông chính: Trường Chinh, Giải Phóng...- Phù hợp làm trụ sở công ty, văn phòng đại diện...- Sổ đỏ. Giá 19 tỷ.- LH: Anh Lộc 0833 594 *** ",94 m²,19 tỷ,4.2 m,,Đông - Nam,5 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35838618,batdongsan_com_vn_35838618,5 phòng,Đầy đủ,,5 phòng
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án Căn hộ Thông tấn xã']","
Tôi có căn hộ chung cư Thông Tấn Xã, khu đô thị Kim Văn Kim Lũ, phường Đại Kim, Hoàng Mai, Hà Nội.Căn hộ của tôi Là căn góc, 2 ngủ, 2 vệ sinh, cửa hướng Tây Bắc - Ban công Đông Nam, căn hộ gia đình tôi đang ở, căn hộ thuộc tầng 19, căn hộ full nội thất liền tường, sổ đỏ chính chủ mang tên vợ chồng tôi.- DT 75.5m².- Full nội thất liền tường.- Sổ đỏ 100%.- Hướng ban công Đông Nam.Tôi sẽ thiện chí gia lộc cho khách mua nhà.Giá 2. tỷ.Liên hệ xem nhà: 0973 838 *** ",75.5 m²,2 tỷ,,,Tây - Bắc,,Sổ đỏ/ Sổ hồng.,01/12/2022,08/12/2022,Tin thường,32518412,batdongsan_com_vn_32518412,2 phòng,Full nội thất liền tường.,Đông - Nam,2 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Trần Đăng Ninh', 'Dự án Làng Quốc tế Thăng Long']","
Chủ nhà gửi bán căn hộ tòa B2 Làng Quốc Tế Thăng Long Cầu Giấy.- Giá bán: 5,58 tỷ.- Diện tích: 150m².- Thiết kế căn hộ gồm:+ 3 phòng ngủ, 2 vệ sinh.+ Hướng cửa: Đông Bắc.+ Hướng ban công: Đông Nam - Tây Nam.+ Nội thất đầy đủ.- Sổ đỏ chính chủ.- Có slot o to.Liên hệ: 0962 636 *** ",150 m²,5.58 tỷ,,,Đông - Bắc,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36042358,batdongsan_com_vn_36042358,3 phòng,Nội thất đầy đủ.,Đông - Nam,2 phòng
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án KĐT Văn Phú']","
Văn Phú Hà Đông nhà mới kính koong 4 tầng nhỉnh 3 tỷ.Bán nhà Văn Phú - Hà Đông.DT: 42m² x 4 tầng, giá 3.5 tỷ (thương lượng).Vị trí: KĐT Văn phú, gần ô tô, Gần chợ Văn La, trường cấp 1 Văn Phú.Sổ đỏ chính chủ giao dịch ngay.            ",42 m²,3.5 tỷ,,,,4 tầng,,06/12/2022,13/12/2022,Tin thường,35973651,batdongsan_com_vn_35973651,,,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Dự án Westpoint - Nam đường 32']","
Nhóm xây thô.- Căn Lk 78m² đã hoàn thiện - Hướng tây nam 5x (x vừa)tỷ.- Căn Lk 72 m² xây thô giá 5x (x nhỏ xíu) tỷ.- Căn xây thô giá siêu tốt có ở đây = (Zalo 0359 998 ***- Căn LK 79,3 m² xây thô giá 5,6 tỷ.- Căn góc 96m² hàng hiếm.Nhóm có móng đóng theo tiến độ.- Mặt shophouse 24m Giá 4,5 tỷ 72m² (Giá Siêu đầu tư).Qũy căn khoảng 15 căn giá vào tiền 2,9 - 4,4 tỷ tùy từng lô.Liên hệ để biết thêm chi tiết.Lh Mr Quyết 0359 998 ***Dự án Nam 32 nằm sát ngay Quốc lộ 32 với tổng diện tích là 49ha, hiện đã kinh doanh 14ha còn 35ha đang chờ mở bán.Tại giai đoạn 1 - phần 14ha có 549 căn, hiện đã BGN gần 380 căn, tỉ lệ về ở chiếm hơn 65% tỉ lệ BGN do vậy khu đô thị rất ấm cúng.Dự án Nam 32 nằm vị trí gần QL 32 - gần các trung tâm hành chính Huyện Hoài Đức - thuận tiện di chuyển Mỹ Đình - Cầu Giấy.Zalo 0359 998 *** mr Quyết.            ",78 m²,Thỏa thuận,6 m,8.5 m,Tây - Nam,,Hợp đồng mua bán,28/11/2022,08/12/2022,Tin thường,35034721,batdongsan_com_vn_35034721,,,Đông - Nam,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị']","
+ Diện tích 40m² - mặt tiền 3.5m, 6 tầng - ngõ thông.+ Vị trí đẹp cách đường lớn 50m.+ Nhà xây chắc chắn, đầy đủ tiện ích.+ Không lỗi phong thủy.+ 3 phòng ngủ khép kín, Phòng Thờ, Sân Phơi.+ Thoáng mát, nội thất đầy đủ.+ Nhà thiết kế đủ công năng, chỉ việc ở ngay.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ em Hào.SĐT: 0834 556 ***zalo).            ",40 m²,5.5 tỷ,,,,6 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36040553,batdongsan_com_vn_36040553,3 phòng,Đầy đủ,,4 phòng
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Phố Hồng Tiến', 'Dự án HC Golden City']","
Chính chủ gửi bán lô biệt thự liền kề dự án HC Golden City phố Hồng Tiến, phường Bồ Đề, quận Long Biên.+ Thông tin chi tiết:- Diện tích: 84,5m².- Mặt tiền: 5m x 16,9m.- Xây dựng: 62,5m²/sàn.- Tổng diện tích xây dựng 307,5m².- Xây thô 4 tầng + 1 tum.- Đường trước nhà 10m.- Hướng nhà: Tây Bắc.- Sổ đỏ: Chính chủ.- Giá: 23.5 tỷ.- Liên hệ: 0971 508 *** ",84.5 m²,23.5 tỷ,5 m,10 m,Tây - Bắc,5 tầng,Sổ đỏ chính chủ.,06/12/2022,13/12/2022,Tin thường,28145233,batdongsan_com_vn_28145233,,,Tây - Bắc,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', '55 Đường Nguyễn Văn Giáp', 'Dự án Hoàng Thành Pearl']","
0947 190 *** bán suất NG Hoàng Thành Pearl, Nam Từ Liêm, Căn 2pn 81m, 2pn 108m giá chỉ 48 tr/m.- Đóng 12 đợt - mỗi đợt chỉ 5% (chỉ 200 triệu).- Căn hộ chuẩn Singapore - tối ưu không gian sống. Mọi căn phòng đều tràn ngập ánh sáng và không khí trong lành tự nhiên.* Thiết kế căn hộ vuông vắn với.- Căn hộ 3PN - 2WC diện tích 109m 114m.+ Thiết kế cực kỳ hợp lý các phòng đều có ánh sáng tự nhiện.+ Phòng khác bếp cực rộng rãi thoải mái cho con trẻ vui đùa, là nơi quay quần của gia đình sau mỗi ngày làm việc.+ Phòng bếp có loogia cực kỳ thoáng mùi.* Tổng quan.- Vị trí: Số 55 đường Nguyễn Văn Giáp (Đường K2), Cầu Diễn, Nam Từ Liêm, Hà Nội. (Ngay sát cạnh Vinhomes Gardenia Hàm Nghi và SVĐ Mỹ Đình).- Chủ quản đầu tư: Công ty CP Đầu tư & Phát triển Hạ tầng Hoàng Thành.Chủ đầu tư: Công ty CP Chế tạo Biến Thế và Vật liệu điện Hà Nội.- Tổng diện tích: 14.786 m.- Loại hình sản phẩm: 01 tòa căn hộ cao 30 tầng với 334 căn hộ và 25 căn shophouse.- Mật độ xây dựng: 29,7%.- Hình thức sở hữu: Sổ hồng lâu dài.            ",81 m²,48 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36042224,batdongsan_com_vn_36042224,2 phòng,,,2 phòng
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Đa Sỹ']","
Cần thanh khoản gấp trong tuần - nhà tổ 5 Đa Sỹ, Hà Đông - đi bộ ra chợ.Ô tô 7 chỗ đỗ cổng dân xây nhà nhiều lộc thoáng mát tặng hết nội thất.Chủ chuyển công tác - nên cần gấp.Có 3 phòng ngủ rộng thoáng.Ánh sáng ngập tràn.+ Diện tích 42m². Mặt tiền 3.8m.+ Giá chỉ 3.35 tỷ Hà Đông.+ Sổ đỏ chính chủ - bao sang tên.Lh ngay 0979 411 *** ",42 m²,3.35 tỷ,3.8 m,,,,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,35998839,batdongsan_com_vn_35998839,3 phòng,,,
