address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'ngõ 319 Đường Tam Trinh', 'Ngách 293/32']","
Giá đình cần bán nhà riêng 3 tầng ngõ 319 Tam Trinh, ngách 293 xây kiên cố 40 m², sổ đỏ chính chủ sẵn giao dịch giá 5 tỷ 350tr. Có thương lượng giảm sâu.Để lại toàn bộ nội thất gắn tường. Ô tô đỗ cửa. Mặt tiền 3.02 m, khu vực an ninh tốt dân trí cao. Gần trường, chợ. Giao thông thuận lợi. Liên hệ em 0984 275 *** ",40 m²,5.35 tỷ,3.02 m,7 m,Tây,Tây,3 tầng,Sổ đỏ.,24/11/2022,01/12/2022,Tin Vip 1,35624545,batdongsan_com_vn_35624545,3 phòng,3 phòng,Cơ bản.
"['Hà Nội', 'Phú Xuyên', 'Xã Đại Thắng']","
Trong bối cảnh nền kinh tế đang suy thoái, các kênh đầu tư khác đều cho thấy sự rủi ro, thì Bất động sản vẫn là kênh đầu tư ổn định, hiệu quả và an toàn hơn cả. Sau đại dịch Covid, làn sóng sản xuất, công nghiệp có xu hướng dịch chuyển về Việt Nam, do vậy bất động sản công nghiệp đang là kênh đầu tư khôn ngoan, an toàn, ổn định, mang lại lợi nhuận bền vững cho cả nhà đầu tư và đơn vị trực tiếp sử dụng.  Cụm công nghiệp làng nghề Đại Thắng là một trong những điểm thu hút đầu tư, khi Phú Xuyên được quy hoạch trở thành khu đô thị vệ tinh cửa ngõ phía Nam Tp.Hà Nội, với những lợi thế: ĐẦU TƯ AN TOÀN, SINH LỜI BỀN VỮNG: Pháp lý rõ ràng; Phân phối trực tiếp bởi Chủ đầu tư  Công ty Cổ phần Hanel MirolinChính sách đầu tư gian hàng hưởng lợi lâu dài đến 46 năm; Cam kết lợi nhuận tối thiểu 10%/12 tháng;Sở hữu ngay 1 lô chỉ từ 3 tỷ đồng;TIÊN PHONG TRONG XÂY DỰNG, QUẢN LÝ VÀ VẬN HÀNH CCN đầu tiên khởi công và hoàn thành từ 2018 đến nay của thành phố Hà Nội.Cụm công nghiệp được đầu tư, thiết kế, xây dựng theo đúng tiêu chuẩn Hệ thống hạ tầng kỹ thuật theo tiêu chuẩn hiện đại: Đường giao thông đảm bảo đáp ứng nhu cầu sử dụng, hệ thống xử lý nước thải tiên tiến, không gian kiến trúc cảnh quan được bố trí xanh sạch đẹp, đồng bộ. Vị trí đắc địa nằm giữa các nút giao thông: Cách Ql 1 cũ 2 km, cách Ql 1A 5km, cách Ga Ngọc Hồi  Phú Xuyên 9km, 10p di chuyển tới đường Cienco 5, 20p di chuyển tới Ql 21BNgay giáp mặt đường giao thông quy hoạch chung đến năm 2030; Đây là trung tâm thu hút nguồn lao động dồi dào (khu vực Thường Tín, Phú Xuyên); hoạt động kinh doanh, sản xuất, gia công cơ khí, đồ gỗ, hàng may mặc;  mở ra cơ hội kinh doanh cho thuê, dễ dàng thanh khoản, sinh lời bền vững.  Diện tích: 200m²/ lô,  giá 3.2 tỷ.Liên hệ ngay hotline: 0911 869 *** để sở hữu ngay siêu phẩm bất động sản công nghiệp dịch vụ hiếm có tại trung tâm Thường Tín  Phú Xuyên.  ",200 m²,3.2 tỷ,,,,,,,24/11/2022,04/12/2022,Tin Vip 1,35939146,batdongsan_com_vn_35939146,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Tô Vĩnh Diện']","
Siêu vip phân lô quân đội - nhà 2 mặt thoáng trước và sau vài bước ra phố.- Nhà xây 5 tầng kiên cố, thiết kế hợp lý mỗi tầng 2 phòng có ban công và giếng trời thoáng sáng. Nhà 2 mặt thoáng trước và sau, mặt tiền rộng.- Ngõ rộng đẹp ô tô đỗ tránh ngày đêm, thông Vương Thừa Vũ, gần ngay Ngã Tư Sở giao thông đi lại vô cùng thuận tiện.- Khu vực quân đội yên tĩnh, an ninh và an sinh tuyệt vời.Sổ đỏ chính chủ, phân lô vuông đẹp, nở hậu, cất két sẵn sàng sang tên chủ mới.Liên hệ em để xem nhà và thương lượng giá trực tiếp với chủ.            ",65 m²,7.3 tỷ,5.3 m,5 m,,,5 tầng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin Vip 1,35939050,batdongsan_com_vn_35939050,4 phòng,5 phòng,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân', '19', 'Epic Tower']","
Epic Tower có vị trí đắc địa, được coi là trung tâm của thung lũng Silicon tại Hà Nội. Với quy mô 2 tòa tháp cao 30 tầng bao gồm:- Block A căn hộ hạng sang, Block B văn phòng cao cấp.- 4 tầng hầm trong đó: Hầm B1 dịch vụ thương mại, nhà hàng ăn uống. Hầm B2 B4 bố trí đỗ xe.* Chính sách vô cùng ưu đãi dành cho khách hàn mua đợt 1:- Tặng 36 tháng miễn phí dịch vụ quản lý vận hành căn hộ.- Hỗ trợ vay 0% của 80% giá trị căn hộ trong 12 tháng cam kết còn zoom tín dụng.- Chiết khấu 5% khi thanh toán sớm.* Diện tích từ 2 - 3 ngủ, thiết kế sang trọng, không gian thoáng, các phòng đều hiện đại vuông vắn, sử dụng hệ thống cửa Low - E 3 lớp cách âm cách nhiệt và ồn tốt nhất hiện nay.* Bàn giao nội thất cao cấp nhập khẩu 5* liền tường: Máy rửa bát, tủ lạnh side by side, bếp từ 3 vùng, lò nước, thiết bị vệ sinh cao cấp,. Đều đến từ các thương hiệu nổi tiếng trên thế giới.* Tiện ích đẳng cấp:- Hai bể bơi vô cực Panorama 4 mùa ngoài trời hiện đại bậc nhất tại Hà Nội, diện tích lớn tiêu chuẩn quốc tế nằm trên tầng 31 của cả 2 tháp.- Tiện ích phòng gym, phòng sinh hoạt cộng đồng, phòng đọc sách báo, khu vui chơi trẻ em, hệ thống nhà hàng cao cấp tại tầng 2, cư dân được sử dụng MIỄN PHÍ.- Sky Bar, Cafe Rooftop, vườn nướng BBQ ngoài trời siêu đẹp tại tầng mái.- Khu vực lễ tân, phòng chờ và SIP Lounge sang trọng và quý phái.- Đơn vị Quản lý Vận hành và Dịch vụ Hỗ trợ đạt chuẩn quốc tế sử dụng song ngữ Việt Anh.- BÀN giao nhà quý 2 năm 2023.* Gía bán từ 80 tr/m² đã bao gồm VAT.Liên hệ lên xem căn hộ thực tế và nhận cung cấp đầy đủ thông tin về căn hộ xin vui lòng liên hệ qua số điện thoại.Hotline phòng bán hàng CĐT: 0942 421 *** ",120 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35939049,batdongsan_com_vn_35939049,3 phòng,2 phòng,
"['Hà Nội.', 'Hoài Đức', 'Xã An Thượng', 'Đường Đại lộ Thăng Long', 'Dự án Hado Charm Villas']","
Bán biệt thự song lập Hà Đô Charm Villas, có ga tàu điện metro số 5 chạy qua trên Đại Lộ Thăng Long, 10 phút lái xe từ Big C Thăng Long.DT 23x13m.Liên hệ chính chủ 0913 075 *** ",299 m²,102 triệu/m²,23 m,,,,,,24/11/2022,04/12/2022,Tin Vip 1,35661716,batdongsan_com_vn_35661716,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công', 'Dự án Udic Westlake']","
Hiện tại tôi đang có quỹ căn hộ 2PN, 3PN, 4PN ở các khoảng tầng từ thấp đến cao.- Căn hộ suất ngoại giao.- Căn hộ ký trực tiếp CĐT.- Căn hộ chuyển nhượng tầng đẹp.- Căn hộ cắt lỗ.Thông tin căn hộ:Căn 2PN 84m², 85.67m² view nội khu hoặc view Hồ Tây.Căn 3PN 116m², 126m², 168m² đa dạng.Căn 4PN 147.9 m².Căn Duplex 249m² - 5PN.Bàn giao có: Cửa chính, cửa sổ, cửa logia, khóa từ 3 chức năng, đèn led, điều hòa Trane, thiết bị bếp (tủ bếp trên, tủ bếp dưới, bếp từ + hút mùi Fagor, chậu rửa + vòi rửa Sơn Hà, bình nước nóng), thiết bị vệ sinh Kohler.Pháp lý: Sổ hồng.Anh chị khách hàng quan tâm mua căn hộ tại Udic Westlake Ciputra liên hệ 0988 930 *** ",84 m²,3.5 tỷ,,,,Đông - Nam,,Sổ hồng,24/11/2022,05/12/2022,Tin Vip 1,35099589,batdongsan_com_vn_35099589,2 phòng,2 phòng,"Bàn giao có: Cửa chính, cửa sổ, cửa logia, khóa từ 3 chức năng, đèn led, điều hòa Trane, thiết bị bếp (tủ bếp trên, tủ bếp dưới, bếp từ + hút mùi Fagor, chậu rửa + vòi rửa Sơn Hà, bình nước nóng)."
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Bán căn hộ khu T - Time City (Minh Khai - HBT - HN.Mình đăng hộ cho 1 ng quen đang cần bán căn hộ toà T8.27.07.Diện tích 83m² - 2 ngủ - Ban công Đông Nam.Chính chủ - có slot ô tô - miễn phí DV 3 năm.Liên hệ: 0908 363 *** chính chủ để trao đổi giá.            ",83 m²,Thỏa thuận,,,,Đông - Nam,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35938563,batdongsan_com_vn_35938563,2 phòng,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án 6th Element']","
Căn 88m², 2 PN, ban công hướng Nam, cửa hướng Đông, nội thất đầy đủ.Bao phí sang tên, chung cư gần trung tâm quận Tây Hồ tiện đi lại.            ",88 m²,5.05 tỷ,,,Đông,Nam,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35934894,batdongsan_com_vn_35934894,2 phòng,2 phòng,Nội thất đầy đủ 
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Bùi Xương Trạch', '79/358']","
Chính chủ bán nhà.Nhà số 79 ngõ 358 Bùi Xương Trạch thông 619 Vũ Tông Phan, ô tô vào nhà, thang máy, 50m2x6T KD các thể loại, MT hơn 6m, nhà đang hoàn thiện được 85%. Giá 9,5 tỷ có giảm.Quan tâm liên hệ chính chủ 0984 373 *** ",50 m²,9.5 tỷ,,,,,6 tầng,,24/11/2022,01/12/2022,Tin Vip 1,35937662,batdongsan_com_vn_35937662,,,
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Quốc Lộ 5B', 'Dự án Masteri Water Front']","
Chính chủ bán cặp căn góc tầng 21 tòa M2 - 2105A + 2103 tổng diện tích ~150m² nếu khách có nhu cầu đập thông 2 căn, View cả 2 hồ điều hòa và biển hồ cát trắng.Do không có nhu cầu sử dụng nên nhượng lại cho khách có nhu cầu về ở hoặc kinh doanh homestay.Ân hạn ngân hàng đến cuối tháng 3/2023, dự kiến bàn giao nhà vào tháng 1/2023.Giá thu về rẻ nhất thị trường: 6x tr/m² - có gia lộc cho khách thiện trí.Điện thoại chính chủ: 0888 343 *** - mr Phong.            ",150 m²,9.5 tỷ,,,,,,,24/11/2022,04/12/2022,Tin Vip 1,35937255,batdongsan_com_vn_35937255,,,
