address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Đường vào,Nội thất,Hướng nhà
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Ao Sen']","
- DT: 60m², 4 tầng.- Nhà 2 mặt ngõ ô tô chạy vòng quanh, thoáng trước, sau vị trí hiếm nhà bán.- Ngõ thông tứ tung, gần nhiều trường đại học lớn, trung tâm thương mại Big C Hồ Gươm, ST Nguyễn Kim, Coopmark, Trần Anh...- Sổ đỏ vuông vắn.- Giá: 8.5 tỷ có thương lượng.Lh: Ms Hằng.Không tiếp môi giới.            ",60 m²,8.5 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35862147,batdongsan_com_vn_35862147,4 m,4 tầng,6 m,Đầy đủ,Tây - Nam
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Thụy Khuê']","
- Mặt ngõ Thụy Khuê đắc địa to như phố, ngõ thẳng tắp, sáng thoáng, nông, thông phố Trích Sài, ô tô đua thoải mái.- Trung tâm của trung tâm, đẳng cấp thượng lưu, thích hợp vừa ở vừa cho thuê hoặc tự kinh doanh giá trị tăng không ước tính nổi.- Chủ nhà tu nghiệp ở Châu Âu thiết kế nhà đẹp tinh tế, móng cột rất chắc lên được 8 tầng:- Thông số chuẩn: 45m² x 4 tầng, mặt tiền 4.2m gồm:+ Tầng 1: Khách, bếp, wc.+ Tầng 2,3: 4 phòng ngủ, wc.+ Tầng 4: Phòng thờ, sân phơi, góc thư giãn ngắm hồ.- Đi bộ ra Hồ Tây, Lăng Bác, Nhà Máy Bia, TTTM Sun Grand, Lotte, ks Daewoo, Vinhomes Metropolis.- Đúng tuyến trường MN, c1,2,3 Chu Văn An, ngân hàng, xe buýt, ga Cát Linh, siêu thị, chợ dân sinh, bệnh viện Thu Cúc, 354.- Giao thông: Văn Cao, Liễu Giai, Kim Mã, Trích Sài, Nguyễn Đình Thi, Ngọc Hà, Hoàng Hoa Thám, Đội Cấn, Thanh Niên.- Chủ nhà có địa vị trong xã hội, cô làm giáo viên, con cái thành đạt, đoàn tụ trong biệt thự lớn, nên cần bán nhà.- Pháp lý chuẩn, sẵn sàng giao dịch.- Giá 8.5 tỷ.- Liên hệ: E Oanh (không làm việc với môi giới, đầu tư).            ",45 m²,8.5 tỷ,4 phòng,,,23/11/2022,03/12/2022,Tin thường,35925539,batdongsan_com_vn_35925539,,4 tầng,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ']","
Tôi cần bán gấp căn nhà mặt ngõ phố Láng Hạ, Đống Đa, diện tích 35m², mặt tiền 4m, 5 tầng, nhà đãng trang bị đầy đủ nội thất cơ bản bao gồm: Điều hòa, nóng lạnh, tủ bếp, bếp từ Đức,...Nhà nằm khu vực trung tâm quận Đống Đa, trong ngõ thông ra nhiều đường, thích hợp cho gia đình ở, kinh doanh, sinh hoạt, học tập đều rất tiện.Giá mong muốn là: 5.3 tỷ (có thương lượng với khách thiện chí).Lh: Anh Hưng 0914 838 *** ",35 m²,5.3 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,34664813,batdongsan_com_vn_34664813,4 m,5 tầng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Nguyễn Duy Trinh', 'Dự án VP3 Linh Đàm']","
+ Bán chung cư VP3 Bán Đảo Linh Đàm 95m², 3 ngủ, 2 vS chỉ 2.88 tỷ(có thương lượng).+ Thiết kế hiện đại đầy đủ công năng của 1 gia đình hiện đại, gồm 1 phòng khách, 3 ngủ, 2 VS và 1 phòng tiện ích.+ Căn hộ thuộc tầng trung, hướng mát cả ngày.+ Khu vực vip tập trung nhiều các trung tâm thương mại và hành chính, thuận tiện di chuyển ra các hướng Ngã Tư Sở, Linh Đàm, Giải Phóng... 10 phút di chuyển lên Bến xe Giáp Bát, Đại học Bách Khoa, Xây Dựng, kinh Tế.+ Vị trí trung tâm quận Hoàng Mai, trung tâm TM, phòng tập gym, chợ dân sinh ngay dưới chân tòa nhà.+ Tiện ích xung quanh không thiếu thứ gì, hồ nước, cây xanh, trường học các cấp bán kính 300m.+ Sổ đỏ sở hữu lâu dài khách có thể vay ngân hàng.+ Liên hệ xem nhà: Mr Hiếu 0984 262 ***miễn trung gian).            ",95 m²,2.88 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,35914991,batdongsan_com_vn_35914991,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Cổ Nhuế']","
+ Vị trí đẹp, ngõ rộng, trước nhà xe máy quay đầu thoải mái, 100m ra mặt phố, chợ ngay đầu ngõ, thông khu Đô thị, gần nhiều trường Đại học Mỏ, HV Tài Chính, BV Phương Đông, dân cư đông đúc. Mảnh đất đẹp xây 5 - 6 tầng ở hay cho thuê đều tốt.+ Nhà 2 tầng sạch đẹp, ở luôn.+ Giá chào: 3,2 tỷ (có TL với khách thiện chí).+ LH: 0966 481 *** Mr Dũng (để được tư vấn và xem nhà miễn phí).            ",40 m²,3.2 tỷ,,,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35848617,batdongsan_com_vn_35848617,3.1 m,,3 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Tựu Liệt']","
Tôi cần bán gấp nhà phố Tựu Liệt, Tam Hiệp.Diện tích 40m², 4 tầng, mặt tiền 3.36m.Vị trí: Gần bệnh viện, trường học, gần phố Tam Hiệp, Huỳnh cung ngõ trước nhà rộng taxi đỗ cửa.Mô tả:Chủ tự xây vô cùng tâm huyết, chắc chắn.DT: 40m², XD 5 tầng.- Tầng 1: Bếp + WC. Chỗ để xe ô tô.- Tầng 2, phòng khách bếp.- Tầng 3.4: mỗi tầng 3Phòng ngủ.- Tầng 4 phòng thờ sân phơi.Pháp lý: Sổ đỏ chính chủ.Giá: 2.55 tỷ có thương lượng.LH A Long 0985 636 *** ",33 m²,3.2 tỷ,4 phòng,4 phòng,Có sổ.,27/11/2022,04/12/2022,Tin thường,27617531,batdongsan_com_vn_27617531,3.5 m,5 tầng,2.5 m,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường 70']","
Bán lô đất phân lô Vân Canh 119m² MT 7.5M, giá 6x../m² rẻ nhất Vân Canh, Hướng đông nam cực đẹp- Thông tin lô đất:- Diện tích 119m.- Mặt tiền: 7.5m.- Ngay cạnh vườn hoa, công viên, khu vui chơi thể thao, gần trường học cấp 3, sau này có thể kinh doanh.- Chỉ vài bước sang khu đô thị An Lạc nên được hưởng rất nhiều tiện ích như hồ điều hòa, công viên lớn.- Hạ tầng đường xá, điện nước đã hoàn chỉnh.- Đất đã có sổ đỏ, mua sang tên trực tiếp xây nhà ngay.- Được xây và xây dựng tối đa 100% diện tích đất.Số điện thoại: 0929 694 *** ",119 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35960169,batdongsan_com_vn_35960169,7.5 m,,11 m,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nguyễn Hoàng']","
- Cần bán gấp toà nhà văn phòng hạng A Nguyễn Hoàng Từ Liêm vị trí siêu kinh doanh giá đầu tư.Nhà cần bán nằm vị trí đắc địa, lô góc 3 mặt thoáng, khu vực dân cư tấp trung, giao thông thuận tiện ra Phạm Hùng, Xuân Thuỷ, gần sát ngày bên xe Mỹ Đình, Toà nhà xây dựng 8 tầng thang máy, thiết kế thông sàn, trước nhà để được 20 chiếc ô tô, với mặt tiền khủng 11m nở hậu, lô góc kinh doanh vô đối, khu vực hiếm nhà bán, cơ hội đầu tư kinh doanh giữ tiền sinh lời cực cao.- Diện tích 280m² mặt tiền 11m hiện trạng 8 tầng thang máy, thiết kế hợp lý không gian thoáng với đầy đủ công năng và tiện ích, phù hợp làm văn phòng trụ sở công ty, nhà hàng, Spa, phòng khám...- Giá 93tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",280 m²,93 tỷ,4 phòng,10 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35786112,batdongsan_com_vn_35786112,11 m,8 tầng,12 m,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Giang Văn Minh']","
- Mặt ngõ siêu to Giang Văn Minh, Ba Đình mới mở sắp đổi tên đường chính ô tô tránh, vỉa hè rộng, thông các tuyến phố lớn.- Vị trí đầu hồi, trung tâm của trung tâm, cực hiếm, đắc địa, sầm uất tấp nập ngày đêm, kinh doanh bất chấp mọi loại hình.- Tòa nhà 6 tầng nguy nga, bề thế, hầm để ô tô, thang máy ngoại nhập, thông số vàng 67m² x 6T, mặt tiền 5m, thông sàn thích hợp làm tòa văn phòng hoặc cho thuê từng tầng.- Chủ đang cho đơn vị thuê 159 triệu/tháng cả tòa, chủ mới về tiếp tục hợp đồng hoặc tự khai thác kd thì giá trị tăng khủng khiếp không thể ước tính nổi.- Hàng xóm chung cư cao cấp, nhà hàng Nhật, Hàn, Ngân Hàng, Hồ Điều Hòa, Lăng Bác, TTTM Lotte, Sun Grand, Vinhomes Metropolis, ĐSQ Thụy Điển.- Chủ nhà được vinh danh top đầu doanh nhân thành đạt, đại gia bds, tay trắng gây dựng sự nghiệp từ ngôi nhà này, phất lên như diều gặp gió.- Pháp lý sạch đẹp, sẵn sàng giao dịch.- Giá 16.9 tỷ.- Liên hệ: E Oanh (không tiếp môi giới, đầu tư).            ",67 m²,16.9 tỷ,,,,24/11/2022,04/12/2022,Tin thường,35944836,batdongsan_com_vn_35944836,5 m,6 tầng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Đền Lừ', 'Dự án Đền Lừ II']","
+ Bán chung cư A2 Đền Lừ 2, Hoàng Mai 71m², 2 ngủ, 2 vs chỉ 2.03 tỷ(có thương lượng).+ Thiết kế hiện đại đầy đủ công năng của 1 gia đình hiện đại, gồm 1 phòng khách, 2 ngủ, 1 bếp và 1 phòng tiện ích(có thể sửa thành 3 ngủ).+ Căn hộ tầng đẹp view hồ Đền Lừ cực đẹp.+ Khu vực vip tập trung nhiều các Trung tâm thương mại và hành chính.+ Vị trí trung tâm quận Hoàng Mai, cách hồ Đền Lừ 100m, trung tâm TM, rạp chiếu phim CGV, phòng tập gym, ngay dưới chân tòa nhà.+ Tiện ích xung quanh không thiếu thứ gì, chợ, trường học các cấp bán kính 500m.+ Sổ đỏ sở hữu lâu dài khách có thể vay ngân hàng.+ Liên hệ xem nhà: Mr Hiếu: 0984 262 ***miễn trung gian).            ",71 m²,2.03 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,35915238,batdongsan_com_vn_35915238,,,,,
