address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Phố Xốm']","
Vị trí nhà:- Nhà thuộc tổ 7 Phú Lãm - Hà Đông, vị trí trung tâm Ba La cách Đại Học Đại Nam khoảng 800m, Cách cây Xăng Xốm 400m - gần Khu đấu giá dịch vụ Phú Lương thuộc khu tăng giá mạnh, tiện ích xung quanh đầy đủ gần bãi gửi xe ô tô, trường học, chợ, siêu thị, nhà hàng, các trường đại học, cao đẳng sầm uất.- Ngõ: Ba gác tránh xe máy - Cách một nhà ra QL21B.Chi tiết Nhà:- Diện tích: 35m², sổ vuông.- Nhà xây 5 tầng: 3 phòng ngủ + 1 phòng thờ, sân phơi.- Nội thất: Đầy đủ nội thất cơ bản gồm tủ bếp gỗ xoan, cầu thang gỗ, sàn gỗ, thiết bị vệ sinh nhập khẩu, thiết bị đèn led, đèn điện đầy đủ,Pháp lý nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: 2,15 tỷ. (Bao phí sang tên).SĐT & zalo: 0981 261 ***Miễn trung gian môi giới).            ",35 m²,2.15 tỷ,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35948329,batdongsan_com_vn_35948329,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Lĩnh Nam']","
Bán nhà đẹp như tranh ở Lĩnh Nam Hoàng Mai, ô tô đỗ cổng, khách thiện chí chủ tặng full nội thất đẹp mắt và xịn xò, khách mua chỉ việc sách vali về ở. Ngõ trước nhà rộng và thoáng sáng, SH quay đầu thoải mái. Chỉ mất 15 phút lên Hồ Gươm, ngay sát Gamuda nên tận hưởng toàn bộ tiện ích, đi vài bước chân ra phố Lĩnh Nam giao thông rất là thuận tiện. Vị trí cực hiếm người bán khu vực Lĩnh Nam Hoàng Mai, Vĩnh Hưng, Đại Đồng, Tân Khai, Đông Thiên với các thông số sau:Diện tích: 34m².Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào: 3.25 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/24g.            ",34 m²,3.25 tỷ,,,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35736186,batdongsan_com_vn_35736186,,,,,Full nội thất.
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Phố Phú Lương']","
Vị trí nhà:- Nhà thuộc tổ dân phố Phú Lương, thuộc trung tâm Ba La cách trường Đại Học Đại Nam 700m cách QL21B 300m, giáp chợ Bắc Lãm, xung quanh là các trường Mầm non, tiểu học, trung học cơ sở, khu vui chơi, bãi gửi ô tô ngay gần chỉ cách khoảng 100m cực kỳ thuận tiện cho các hộ gia đình có ô tô.- Gần khu đấu giá Phú Lương chỉ 5 phút chạy xe là sang đường Cienco 5, KĐT Thanh Hà, KĐT Xa La, Văn Phú, 7 phút đến các bệnh viện 103, Bệnh viện K, viện bỏng Quốc Gia.- Ngõ 3 gác ô tô đỗ cách nhà chỉ vài bước chân.Chi tiết Nhà:- Diện tích: 35m², sổ vuông.- Nhà xây 4 tầng thiết kế hiện đại: 3 Phòng ngủ.- Nội thất: Đầy đủ nội thất cơ bản gồm tủ bếp gỗ xoan, cầu thang gỗ, sàn gỗ, thiết bị vệ sinh nhập khẩu, thiết bị đèn led, đèn điện đầy đủ.Pháp Lý Nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: 2 tỷ (Bao phí sang tên sổ).SĐT & Zalo: 0981 261 ***Miễn trung gian môi giới).            ",35 m²,2 tỷ,4 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin thường,35631912,batdongsan_com_vn_35631912,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Đường Nguyễn Khoái']","
Bán lô đất đẹp ở Nguyễn Khoái Hoàng Mai, lô góc, đất vuông vắn và thoáng sáng, ô tô đỗ và vào nhà, Chỉ vài bước chân là ra phố Nguyên Khoái. Khu vực đang phát triển, giá quá tốt để mua ở hoặc đầu tư sinh lời cao. Xung quanh nhiều tiện ích như chợ, trường học các cấp. Vị trí đất cực hiếm người bán khu vực Nguyễn Khoái Hoàng Mai, Lĩnh Nam, Thanh Lân, Thanh Đàm, Đại Đồng, Thuý Lĩnh với các thông số sau:+ Diện tích: 50m².Ngõ nông và thoáng sáng, Ô tô đỗ và vào nhà. Đi vài bước chân ra đê Nguyễn Khoái đường rộng thênh thang 2 ô tô tránh, tiếp cận nhanh nhất tới các nút giao thông chính như Cầu Thanh Trì, Cầu Vĩnh Tuy, Ngã ba Tam Trinh, đường vành đai 3,Khu vực dân trí cao, an ninh tốt với hàng xóm thân thiện. Xung quanh cũng là các trường học chất lượng các cấp, chợ, siêu thị, bãi đỗ xe ô tô cho cuộc sống an lành bền vững gia đình 2 - 3 thế hệ.+ Sổ đỏ vuông đẹp chính chủ, sẵn sàng giao dịch.+ Giá chào: 3.05 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/24g.            ",50 m²,3.05 tỷ,,,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35632791,batdongsan_com_vn_35632791,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5A', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ cần bán căn hộ 2pn 2vs góc tầng trung view thoáng.Đã hoàn thiện full nội thất sang trọng.Tòa trung tâm tiện xe bus đi nội thành, xe bus nội khu.Rất nhiều tiện ích cho cư dân như: Bể bơi 4 mùa bể bơi ngoài trời vườn nướng BBQ. Sân chơi thể thao. Công viên gym ngoài trời.Có trường liên cấp trong kđt.Giá bán mong muốn là 2 tỷ 150tr.Dt: 70m².Sổ đỏ sẵn sàng giao dịch.Giá này là gia đình đã cắt lỗ 200tr.LH: 0984 094 *** xem nhà 24/8.            ",70 m²,2.15 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35177453,batdongsan_com_vn_35177453,,,Đông - Bắc,Tây - Nam,Full nội thất xịn xò.
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Võ Thị Sáu']","
Nhà lô góc tràn ngập ánh sang, ngõ thông, gần đường. Diện tích 31m², 5 tầng.Thiết bị vệ sinh chính hãng, thiết kế hợp lý, các phòng riêng biệt khép kín.Khu vực an sinh đỉnh, vài bước ra công viên, siêu thị Vinmart, sân bóng, tập gym, bể bơi, bệnh viện ,  bãi xe ô tô, các trường đại học , cấp 1, 2 và 3 có tiếng tại quận Hai bà TrưngNhà gần các tuyến đường Trần Khát Chân , Thanh Nhàn , Lò ĐúcSổ đỏ vuông nở hậu, pháp lý rõ ràng Giá 4,8 tỷ (Có thương lượng cho khách có thiện chí mua  và miễn TG ).Liên hệ: Mr Nguyên 0902 138 *** zalo.            ",31 m²,4.8 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35880784,batdongsan_com_vn_35880784,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Quỳnh Mai', 'Phố Lạc Trung']","
Nhà xây xây dựng 5 tầng rất chắc chắn. Nhà được thiết kế cho gia đình có nhiều thành viênNhà gần đường ô tô , kết nối giao thông thuận tiện. Gần các tuyến phố Thanh Nhàn, Võ Thị Sáu , Thanh Nhàn và Trần Khát ChânNhà gần bệnh viện , công viên , bể bơi , gym ,siêu thị Vinmarrt, ngân hàng, trường học và bãi gửi xe ô tôSổ đỏ chính chủ pháp lý rõ ràngChủ nhà thiện chí với khách có nhu cầu thực sựGiá 4,2 tỷ ( Còn thương lượng , miễn trung gian)Liên hệ : Mr Nguyên - Nhà đất HBT 0902 138 ***phone và zalo)            ",48.5 m²,4.2 tỷ,,,,Sổ đỏ/ Sổ hồng,26/11/2022,06/12/2022,Tin thường,35956195,batdongsan_com_vn_35956195,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường 420']","
Lô đất mặt tiền 10m tại Làng Phú Hữu, Thôn 1, Tân Xã, Thạch Thất phù hợp cho đầu tư xây nhà trọ cho thuê giá đầu tư.* Gọi ngay hotline: 097483776 Mr Ninh để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất.Diện tích: 166,8m², mặt tiền 10m, chiều dài 16m.Sổ đỏ công chứng ngay.+ Vị trí:- Gần Sân Bóng, Làng Phú Hữu, thuộc thôn 1 Tân Xã, Huyện Thạch Thất, TP. Hà Nội.- Vị trí gần 3 trường ĐH như ĐH FPT, ĐH Khoa Học Công Nghệ, trường bồi Dưỡng Nghiệp Vụ Kiểm Toán.- Xunh quanh nhiều nhà trọ đang xây dựng và nhiều nhà trọ đang cho thuê như Miashouse, Hoà Lạc Link,...- Nằm sát khu công nghệ cao Hoà Lạc,+ Tiện ích xung quanh:- Nằm trong khu dân cư đông đúc.- Trường đào tạo tiếng Nhật, trường mầm non, tiểu học, chợ, đồn công an...- Thuộc trung tâm xã Tân Xã, trường tiểu học, trung học, UBND, nhà văn hóa ngay gần.- Gần các trường ĐH và phù hợp đầu tư xây nhà cho sinh viên thuê.Giá đầu tư 21tr/m².Liên hệ ngay để được gọi lại miễn phí.Tell: 0974 837 *** - Mr Ninh (24/7).Email: trantaininh.com@gmail.com ",166.8 m²,21 triệu/m²,,,,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin thường,35755140,batdongsan_com_vn_35755140,10 m,6 m,Tây - Nam,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Trương Định']","
HOÀNG MAI.   TRƯƠNG ĐỊNH.   54 M2.    5 T.    MT 4M.   GIÁ 4.65 TỶ.    ĐẦY ĐỦ CÔNG NĂNG.  NGÕ THÔNGSỔ ĐỎ CHÍNH CHỦ ;LH MR TRỌNG; SDT 0971 898 *** ĐỂ XEM NHÀ            ",54 m²,4.65 tỷ,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962502,batdongsan_com_vn_35962502,4 m,3 m,,,Đầy đủ
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Phạm Văn Đồng', 'số 43', 'Nhà ở cho CBCS Bộ Công an']","
Chính chủ cần bán gấp căn hộ ở tòa CT3 chung cư Thái Hà nhà ở chiến sỹ Bộ Công An - số 43 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội.Diện tích 70m² thiết kế 2 phòng ngủ, 2 wc phòng khách và khu bếp riêng biệt.Hiện đã đầy đủ nội thất cơ bản khách chỉ việc xách vali về ở.Căn hộ ban công Nam thoáng mát.Giá bán: 2,4 tỷ.Liên hệ: 0979 062 *** Anh Trưởng chính chủ.            ",70 m²,2.4 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,33776909,batdongsan_com_vn_33776909,,,,Nam,Đầy đủ nội thất cơ bản.
