address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Nội thất,Đường vào
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Tô Ngọc Vân']","
+ Gia đình cần bán gấp biệt thự phố Tô Ngọc Vân 120m² x 5 tầng, mặt tiền 8.2m chỉ 33.6 tỷ.+ Khu vực vip, hàng xóm toàn biệt thự cao cấp, nhà riêng của các Đại sứ, chuyên gia nước ngoài và hoa hậu nổi tiếng.+ Nhà thiết kế phong cách biệt thự Pháp, đẳng cấp. Cầu thang, hệ thống cửa gỗ lim sang trọng. Nội thất cao cấp nhập khẩu chủ tặng lại toàn bộ.- Tầng 1: Gara để 3 ô tô - wc - cầu thang nội bộ.- Tầng 2: Phòng khách - bếp - wc.- Tầng 3 - 4: Mỗi tầng 2 P ngủ - wc khép kín.- Tầng 5: Phòng thờ - Sân vườn BBQ - Kho.+ Sổ đỏ chính chủ sẵn giao dịch.Mời Lh Mr Tú: 0358 298 *** Cảm ơn quý AC đã quan tâm.            ",120 m²,33.6 tỷ,5 tầng,4 phòng,,Sổ đỏ chính chủ,25/11/2022,02/12/2022,Tin thường,35181083,batdongsan_com_vn_35181083,8.2 m,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Đồng Cổ']","
MẶT PHỐ _ KINH DOANH BẤT CHẤP _ Ô TÔ TRÁNH _ VỈA HÈ _ TẶNG NỘI TOÀN BỘ NỘI THẤT XỊN SÒ _ CHỐTTTT.Nhà thực tế xây dựng tầng 1 khoảng 35m², do trước đây quy hoặc báo lấy vào còn 26m², nên sổ là 26m², chủ chưa đính chính sổ. Bán hiện trạng. Khách cần có thể tự đi đính chính.Với mặt tiền cực đẹp, vị trí đỉnh thế này thì kinh doanh gì cũng ĐẮT. Chủ trước đây còn cho tây thuê 9tr/phòng, tổng được 36 triệu/tháng.THIẾT KẾ ĐỂ Ở, ĐỒ XỊN, Chị chủ gu thẩm mỹ cao, khách nào vào cũng thích.Thiết kế:- Tầng 1: Để xe + WC- Tầng 2: Bếp + WC- Tầng 3: PK + WC- Tầng 4, 5: PN + WC- Tầng 6: PT + Sân phơi.Thiết kế nhà có thể thay đổi linh hoạt tuỳ vào nhu cầu sử dụng của khách, nhà chủ hiếm người nên chỉ để 2PN.* Pháp lý chuẩn, sổ đỏ chính chủ.            ",35 m²,10.6 tỷ,6 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,35917030,batdongsan_com_vn_35917030,4.2 m,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công']","
- Đáng đồng tiền bát gạo! Đất gia đình cần bán.- Nằm tại trung tâm Tây Hồ, sống giữa những cơn gió mát mẻ của Hồ Tây, đường qua nhà 7m, hai ô tô đua được trong ngõ.- DT: 88m², mặt tiền rộng 6m, giá 12,9tỷ.- Miếng đất vàng trong tương lai gần, sử dụng nhiều mục đích khác nhau.- Khu vực dân trí cao, đi bộ 3 bước thấy bộ đội, 5 bước thấy công an, trường học các cấp đạt chuẩn Quốc Gia bán kính khoảng 1km.- Hỗ trợ thủ tục xây dựng, cấp phép.- Cam kết: Không thu bất kì chi phí nào, kể cả khi giao dịch thành công.- Vui lòng không làm việc qua các đơn vị trung gian.- Liên hệ Mr. Tú chuyên gia kết nối tổ ấm Tây Hồ để xem nhà ngay.            ",88 m²,12.9 tỷ,,,,,25/11/2022,05/12/2022,Tin thường,34644316,batdongsan_com_vn_34644316,6 m,,,,7 m
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Buồm', 'Phố Mã Mây']","
+ Bán gấp nhà mặt phố Mã Mây x 2 tầng, mặt tiền 5.2m chỉ 86.8tỷ.+ Nhà nằm vị trí đẹp nhất nhì của con phố trung tâm lõi phố cổ, mang đậm nét lịch sử cổ xưa.+ Phố Mã Mây tập trung rất nhiều khách du lịch nước ngoài, phù hợp xây tòa Hotel, nhà hàng, vp.+ Giao thông kết nối Lương Ngọc Quyến, Hàng Buồm, Đào Duy Từ.+ Sổ đỏ, pháp lý chuẩn sẵn sàng giao dịch.Mời lh: 0358 298 ***. Cảm ơn quý ac đã xem tin.            ",124 m²,86.8 tỷ,2 tầng,,,,25/11/2022,02/12/2022,Tin thường,35242165,batdongsan_com_vn_35242165,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
- Nằm tại trung tâm Tây Hồ, sống giữa những cơn gió mát mẻ của Hồ Tây, không gian thoáng đãng nhưng vẫn đảm bảo sự yên tĩnh.- DT: 48m², giá 4,6tỷ.- Phân lô, dân trí cao, nội thất cơ bản xịn sò dọn về ở ngay.- Khu vực dân trí cao, đi bộ 3 bước thấy bộ đội, 5 bước thấy công an, trường học các cấp đạt chuẩn Quốc Gia bán kính khoảng 1km.- Mặt thoáng đẹp vô cùng tận, để ở thì miễn bàn!- Cam kết: Không thu bất kì chi phí nào, kể cả khi giao dịch thành công.- Vui lòng không làm việc qua các đơn vị trung gian!- Liên hệ Mr. Tú chuyên gia kết nối tổ ấm Tây Hồ để xem nhà ngay.            ",48 m²,4.6 tỷ,,,,,25/11/2022,05/12/2022,Tin thường,34317378,batdongsan_com_vn_34317378,,,,Nội thất cơ bản xịn sò.,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang']","
- Sau nhà là trường THPT Yên Hoà, thoáng vĩnh viễn nên phòng nào cũng rất thoáng.+ T1: Khách + bếp + WC.+ T2, 3: Mỗi tầng 1 phòng ngủ khép kín.+ T4: Chia 2 phòng + WC.+ T5: Phòng thờ + Sân phơi.LH: Em Dương 0896 683 ***Không tiếp môi giới.            ",36 m²,4 tỷ,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35706120,batdongsan_com_vn_35706120,5.4 m,Đông - Bắc,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Hoàng Hoa Thám']","
Ba đình - phân lô - ô tô tránh - kinh doanh - vỉa hè - thoáng trước sau - nhà đẹp 2 mặt ngõ.+ Vị trí quá đẹp, cách mặt phố Hoàng Hoa thám chỉ 20m, bãi gửi xe ô tô tung tóe, tiện ích vô vàn.+ Nhà thoáng vĩnh viễn trước sau, đăng trước là ngõ, đằng sau cũng là ngõ nên thoáng, nhà mặt ngõ kinh doanh gì cũng đươc, hàng xóm đang làm nails, spa, ngõ to, ô tô phi dừng đỗ thoải mái.+ Nhà xây 4 tầng 1 tum chắc chắn, hợp lý, thêm thùng sơn là đẹp như mới:- Tầng 1 là phòng khách và bếp, để xe + VS.- Tầng 2,3 tầng 2 phòng + vs chung, ban công rất đẹp và thoáng.- Tầng 4 là 1 phòng thờ, 1 phòng ngủ đang để đồ. 1 sân phơi.- Tầng 5 là tum rộng rãi.+ Sổ đỏ đẹp, nở hậu, chủ thiện chí bán nhanh để mua nhà khác và kinh doanh thêm.            ",37 m²,8.3 tỷ,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35668147,batdongsan_com_vn_35668147,3 m,Đông - Nam,,,5 m
"['Hà Nội', 'Ba Đình', 'Phường Trúc Bạch', 'Đường Cửa Bắc']","
- Gia đình cần bán mặt phố quận Ba Đình 300m² x 2 tầng, mt 10 chỉ 96 tỷ.- Vị trí đắc địa đường rộng 2 chiều ô tô dừng đỗ thoải mái, cạnh tòa EVN tập đoàn Điện Lực.- Diện tích lớn mặt tiền rộng xây tòa Văn phòng, Hotel, Thời trang, Cafe.- Giao thông kết nối Quán Thánh, Nguyễn Trường Tộ, Phạm Hồng Thái.Sổ đỏ vuông đẹp sẵn sàng giao dịch.Lh 0358 298 *** ",300 m²,96 tỷ,,,,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,31211608,batdongsan_com_vn_31211608,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Nguyễn Cơ Thạch', 'số 24', 'Golden Field Mỹ Đình']","
Chủ nhà cần bán gấp căn hộ chung cư Golden Field số 24 đường Nguyễn Cơ Thạch.Căn hộ gia đình ở 3 phòng ngủ, 2 phòng vệ sinh, 1 phòng khách có tổng diện 109m². Nội thất cao cấp.Hướng cửa chính Tây Bắc.Ban công hướng Đông Nam (thoáng mát, nhìn ra công viên).Dự án có đầy đủ siêu thị. Phòng gym, bể bơi bốn mùa, gần nhiều trường học, ga tàu điện, chợ truyền thống rất tiện lợi.Giá bán: 4,3 tỷ có thương lượng.Anh chị xem nhà liên hệ em Hải: 0989 271 *** ",109 m²,4.3 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,33032316,batdongsan_com_vn_33032316,,Tây - Bắc,Đông - Nam,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
- Nằm tại trung tâm Tây Hồ, sống giữa những cơn gió mát mẻ của Hồ Tây, đường qua nhà 7m, hai ô tô đua được trong ngõ.- DT: 75m², mặt tiền rộng 4,5m, giá 9 tỷ.- Khu vực dân trí cao, đi bộ 3 bước thấy bộ đội, 5 bước thấy công an, trường học các cấp đạt chuẩn Quốc Gia bán kính khoảng 1km.- Hiện trạng nhà cấp 4 cũ bán đất, ngõ thông tứ phía.- Cam kết: Không thu bất kì chi phí nào, kể cả khi giao dịch thành công.- Vui lòng không làm việc qua các đơn vị trung gian.- Liên hệ Mr. Tú chuyên nhà đất Tây Hồ để xem nhà ngay.            ",75 m²,9 tỷ,,,,,25/11/2022,05/12/2022,Tin thường,34914053,batdongsan_com_vn_34914053,,,,,
