address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Người nhà cần bán căn hộ chung cư The Zei Mỹ Đình để mua nhà đất.Diện tích 106m².Vị trí tầng 18, tòa B.Nhà có 3 phòng ngủ có cửa sổ thông thoáng, diện tích rộng, 2 vệ sinh, phòng khách sáng, có ban công hướng mát đông nam, thêm 1 logia phơi quần áo, để đồ... Căn hộ không bị chắn view, chỉ nắng chút buổi sáng, buổi chiều không bị nắng chiếu vào, nhà mát mẻ,Căn hộ mới bàn giao, chất lượng xây dựng tốt, không thấm nứt, điện nước tốt.Gia đình bán để lại tất cả nội thất, đồ đạc điều là đồ gia đình tự hoàn thiện theo thiết kế riêng, còn mới sử dụng tốt, khách mua có thể đến ở ngay,Căn hộ đã có sổ đỏ chính chủ, ngoài ra căn hộ còn 1 suất ô tô ở hầm.Gía bán 6 tỷ.Ai có nhu cầu liên hệ: 0985 797 *** ",106 m²,6 tỷ,3 phòng,,06/12/2022,13/12/2022,Tin thường,35912161,batdongsan_com_vn_35912161,,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Thượng Phúc', 'Đội 8']","
Tôi chính chủ cần bán căn nhà 5 tầng DT 30m² sổ đỏ. Nhà như hình đăng giá bán 2.2 tỷ bao phí sang tên và có thương lượng có hỗ trợ ngân hàng địa chỉ đội 8 Thượng Phúc Tả Thanh Oai Thanh Trì liên hệ xem nhà 0364 129 ***. Miễn trung gian.            ",30 m²,2.2 tỷ,,,06/12/2022,16/12/2022,Tin thường,35646871,batdongsan_com_vn_35646871,,,,,5 tầng,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
Bán nhà 5 tầng còn mới khu phân lô VIP Hoàng Cầu, Đống Đa. DT 60m², nhà vuông vắn, mặt tiền & hậu 5,9m hướng TN. Đầy đủ nội thất. Đường bàn cờ, ô tô vào nhà, đang làm văn phòng công ty.- Nhà nằm trong khu vực kinh doanh sầm uất của quận Đống Đa.- Giao thông thuận tiện đi các phố: Xã Đàn, Tây Sơn, Thái Hà...- Sổ đỏ. Giá 19 tỷ.- LH: Anh Lộc: 0833 594 *** ",60 m²,19 tỷ,,,06/12/2022,13/12/2022,Tin thường,35820067,batdongsan_com_vn_35820067,Tây - Nam,,Sổ đỏ/ Sổ hồng,Đầy đủ,,6 m,7 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Thanh Nhàn']","
Cần bán gấp nhà mặt ngõ phố Thanh Nhàn giá 6 tỷ, 60m2x5T, MT 6.5m, ô tô đỗ cách 20m.Nhà xây khung 5 tầng rộng rãi, DT60m². Mặt tiền rộng 6.5m. Hướng Tây Bắc. Nhà chủ tự xây rất kiên cố, chắc chắn, gồm 5 ngủ, 4 vệ sinh. Nhà 3 mặt thoáng, ngõ xe máy tránh nhau, oto cách đường lớn 20m.Trong bán kính 300m có đủ các trường từ cấp mẫu giáo tới trung học phổ thông, cách các trường ĐH Bách Khoa, Xây Dựng, Kinh Tế 1km, cách hồ Hoàn Kiếm 2,7km, ngõ vào nhà thẳng và rộng, xung quanh nhà nhiều cây xanh.Sổ đỏ chính chủ.Bán 6 tỷ, có thương lượng.LH 0943 699 *** ",60 m²,6 tỷ,5 phòng,4 phòng,06/12/2022,13/12/2022,Tin thường,36041675,batdongsan_com_vn_36041675,Bắc,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,6.5 m,5 m
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
Chính chủ cần bán gấp 65m² Đất Trần Thái Tông, lô góc, kinh doanh đỉnh, MT 5,5m giá 7.8 tỷ.Mảnh đất nằm vị trí đẹp, lô góc 2 thoáng, ô tô qua cửa, kinh doanh đa dạng mặt hàng, bất chấp các loại ngành nghề.Mảnh đất ở khu vực dân cư đông đúc, khu vực tập trung kinh doanh, đường rộng thông thoáng, thông sang phố Dịch Vọng, phố Duy Tân, đường Xuân Thủy.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",65 m²,7.8 tỷ,,,01/12/2022,08/12/2022,Tin thường,35928172,batdongsan_com_vn_35928172,,,Sổ đỏ,,,5.5 m,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Sơn', 'Dự án PHC Complex 158 Nguyễn Sơn']","
Không ở tôi bán căn hộ 100m² chung cư PHC Complex 158 Nguyễn Sơn.- Diện tích: 100m² (thông thủy).- Thiết kế: 3PN + 1 đa năng + 2WC.- Ban công: Đông Bắc.- Nội thất: Full nội thất như trên ảnh, chủ mới chỉ việc xách vali về ở.- Sổ đỏ chính chủ.- Giá bán: 5,2 tỷ.- Liên hệ: 0971 508 *** ",100 m²,5.2 tỷ,4 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,35967653,batdongsan_com_vn_35967653,,,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội.', 'Thanh Trì', 'Xã Tả Thanh Oai']","
Bán căn nhà cấp 4 sổ đỏ chính chủ dt 30m².Nhà mới xây đầy đủ thiết bị chỉ việc đến ở vị trí gần trung tâm Xã Tả Thanh Oai gần trường chợ và ven hồ.Giá bán 1.5 tỷ lh 0966 507 *** ",30 m²,1.5 tỷ,,,06/12/2022,16/12/2022,Tin thường,34992672,batdongsan_com_vn_34992672,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Tố Hữu']","
Bán nhanh lô đất DV Vạn Phúc, Him Lam Vạn Phúc, Hà Đông, phân lô vỉa hè đá bóng.- Diện tích: 50m².Khu vực được quy hoạch đồng bộ và khoa học, Trong khu vực có dãy shophouse Him Lam, hệ thống trường học các cấp: 2 Trường mâm non, Tiểu Học Vạn Bảo, Có dự án trường cấp 2,3 chưa khởi công.- Khu vực này dân cư đã về ở rất đông, đang phát triển từng ngày.- Anh chị đã cọc căn biệt thự nên cần bán gấp lô đất để kịp ngày công chứng, rất thiện chí bán.Mời Lh: 0936 385 *** zalo.Mr Thịnh - Nhà Đất Hà Đông.            ",50 m²,6.4 tỷ,,,06/12/2022,14/12/2022,Tin thường,33987186,batdongsan_com_vn_33987186,,,Sổ đỏ/ Sổ hồng,,,,10 m
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Đường Hoàng Long', 'Thôn Hoàng Long']","
- Chính chủ em cần bán 42.6m² đất, đường nhựa 4,5m, mặt tiền rộng 4,1m tại thôn Hoàng Long - Đặng Xá - Gia Lâm.- Vị trí đất nằm ngay đường vành đai thôn Hoàng Long, cách hồ điều hoà 1 nhà, cách trục 13m vài bước chân, cách trường cấp 1, cấp 2, cấp 3 Đặng Xá 100m, cách chợ Sủi 500m, Cách KĐT Đặng Xá 800m, xung quanh tiện ích ngập tràn, không gian ở Sướng, Hàng xóm thân thiện, an ninh đảm bảo.- Sổ đỏ cất két, sang tên ngay.- LH em Hợi để xem đất và giao dịch trực tiếp!            ",42.6 m²,1.75 tỷ,,,02/12/2022,09/12/2022,Tin thường,36007484,batdongsan_com_vn_36007484,,,Sổ đỏ.,,,4.1 m,4.5 m
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Sơn', 'Dự án PHC Complex 158 Nguyễn Sơn']","
- Chính chủ tôi bán căn hộ 83m tại chung cư cao cấp PHC Complex 158 Nguyễn Sơn.- Nhà mới nhận tầng cao View Sân Bay.- Thiết kế thoáng, logia và ban công riêng biệt.- Diện tích sử dụng 83m.- Thiết kế: 2PN + 2WC.- Ban công: Đông Nam.- Nội thất nguyên bản CĐT (full nội thất cao cấp liền tường).- Giá bán: 3.6 tỷ.- Liên hệ: Lê Phú 0971 508 *** ",83 m²,3.6 tỷ,2 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,35967946,batdongsan_com_vn_35967946,,,Sổ đỏ/ Sổ hồng,,,,
