address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Pháp lý,Số tầng,Nội thất
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường Quốc lộ 21A(Quốc lộ 21)', 'Dự án Hòa Lạc Premier Residence']","
Lô đất biệt thự rẻ nhất dự án Thiên Mã.Lô góc B38: 221,8m².Mặt tiền 12m vuông đẹp.Lô góc ngay ngã 3 gần sát cổng dự án đi ra hồ Đồng Mô và sân golf cách 100m.Lô đất gần các tiện ích đẳng cấp nội khu như Nhà hàng, khu tiểu cảnh đồi non bộ, nhà văn hoá,Từ lô đất đến Đại học Quốc Gia Hà Nội tại Hoà Lạc, đến đại học FPT chỉ 10 phút lái xe, đến Khu Công Nghệ Cao Hoà Lạc chỉ 3 km.Mua đầu tư x2, x3 tài sản sau 2 năm hoặc xây để ở đều rất tuyệt vời.Đơn giá rẻ nhất Hoà Lạc chỉ 19 triệu/m².Liên hệ: 0393 652 *** ",221.8 m²,19 triệu/m²,,06/12/2022,20/12/2022,Tin thường,34813432,batdongsan_com_vn_34813432,12 m,15 m,"Lô góc đẹp nhất dự án, pháp lý chuẩn, mua là lãi.",,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
Chính chủ cần bán gấp tòa nhà văn phòng phố Trung Kính 90m x 8 tầng thông sàn thang máy, giá 26.6 tỷ.Nhà xây 8 tầng, thiết kế 1 tầng hầm, 1 tầng lửng, 5 tầng nổi + tum, theo phong cách hiện đại nội thất nhập khẩu hút mắt.Vị trí nhà gần phố Mạc Thái Tông, Phố Vũ Phạm Hàm, Phố Trung Hòa,...Đường trước nhà rộng thông thoáng đi lại thuận tiện...Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, sẵn sàng giao dịch.            ",90 m²,26.6 tỷ,,03/12/2022,10/12/2022,Tin thường,36025109,batdongsan_com_vn_36025109,,6 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Xuân Thủy']","
Siêu phẩm mặt phố Xuân Thủy, Cầu Giấy - xây tòa nhà văn phòng - hiệu suất cho thuê rất cao.Nhà mặt phố, vỉa hè đá bóng, đắc địa kinh doanh mọi loại hình, tuyến phố kinh doanh sầm uất. Vị trí đẹp hiệu suất cho thuê dòng tiền cao.Tiện ích quanh nhà rất nhiều, gần công viên Cầu Giấy, Đại học Quốc Gia, chợ Sinh Viên, bến xe Mỹ Đình, cạnh các tòa chung cư cao cấp, giao thông thuận tiện thông các ngả.Mảnh đất phù hợp để xây tòa nhà Thiết kế đẹp, hiện đại:Sổ đỏ chính chủ, hình thửa đẹp, nở hậu, pháp lý chuẩn giao dịch ngay.            ",70 m²,24.2 tỷ,,03/12/2022,10/12/2022,Tin thường,36025125,batdongsan_com_vn_36025125,,20 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân']","
Đầu tư kinh doanh - hiếm nhà bán - cho thuê giá cao.Khu phân lô Duy Tân, Quận Cầu Giấy là nơi tập trung nhiều tập đoàn lớn, nhu cầu thuê văn phòng, kinh doanh nhà hàng rất cao.Vị trí sát mặt phố, vỉa hè rộng thênh thang ô tô dừng đỗ thỏa mái, kinh doanh tấp lập cả ngày.Diện tích 120m², xây 5 tầng, mặt tiền 20m, khách mua về đạp đi xây lên tòa nhà thì tuyệt đỉnh có 1 không 2.Sổ đỏ phân lô, chủ thiện chí cần bán gấp để định cư nước ngoài.            ",120 m²,27.7 tỷ,,03/12/2022,10/12/2022,Tin thường,36025139,batdongsan_com_vn_36025139,,8 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Nguyễn Khả Trạc']","
MP Nguyễn Khả Trạc 60m, 7 tầng. MT 4.6m.- Giá 20,7 tỷ.- Mặt phố 7 tầng thang máy - vỉa hè rộng - kinh doanh đỉnh.+ Vị trí mặt phố đẹp, vỉa hè rộng, kinh doanh sầm uất đa loại hình, giao thông kết nối Mai Dịch, Doãn Kế Thiện, Phạm Thận Duật... Đi lại thuận tiện.+ Nhà thiết kế xây 7 tầng đẹp, chắc chắn, thang máy hiện đại, có đầy đủ bản vẻ thiết kế, giấy phép xây dựng.+ Diện tích trên sổ hơn 56m, xây dựng thực tế tầng 1 là 60m, từ tầng 2 là 66m.Tầng 1: Thông sàn.Tầng 2, 3, 4, 5: Mỗi tầng 2 phòng + WC.Tầng 6: Phòng thờ, sân phơi.Tầng 7: Tum vườn cây tiểu cảnh sân chơi.            ",60 m²,20.7 tỷ,,03/12/2022,10/12/2022,Tin thường,36025155,batdongsan_com_vn_36025155,,8 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
Bán gấp nhà mặt phố Trần Duy Hưng Cầu Giấy vỉa hè kinh doanh, giá: 27.2 tỷ.+ DT: 122m² x 6 tầng. Thang máy.+ Vị trí: UB phường Trung Hoà, giao thông kết nối các tuyến phố lớn, Nguyễn Chí Thanh, Nguyễn Khang, Trung Hoà, Trung Yên, đường Láng, khu vực kinh doanh sầm uất ngày đêm.+ Phù hợp vừa ở vừa kinh doanh, văn phòng công ty, mỹ phẩm thời trang, nhà hàng, quán bas, karaoke, kinh doanh đa loại hình.TK: T1 gara ô tô, kho đồ.T2 phòng khách, 2 phòng khép kín.T3,4,5 mỗi tầng 4 phòng khép kín.T6 1 phòng khép kín, bếp, Sân phơi.Giá chào có thương lượng.+ Sổ đỏ chính chủ vuông đẹp sẵn sàng giao dịch.            ",122 m²,27.2 tỷ,,03/12/2022,10/12/2022,Tin thường,36025164,batdongsan_com_vn_36025164,,8 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính']","
Tòa nhà văn phòng diện tích 85m², mặt tiền rộng, thiết kế thông sàn 7 tầng thang máy, tầng hầm, ngõ thông ô tô tránh, vỉa hè, 30m ra mặt phố Trung Kính, an ninh tốt, ngõ thông thuận tiện nhiều tuyến phố như Vũ Phạm Hàm, Trần Kim Xuyến, Mạc Thái Tổ, Trung Kính, Trung Yên, Mạc Thái Tông,...Gần trường ĐH Phương Đông, Trường Tiểu Học, Nguyễn Viết Xuân, Trường THCS Cầu Giấy, Trường Mầm Non Yên Hòa, công viên Yên Hòa, khu vực đông tòa nhà Văn Phòng,...Sổ đỏ chính chủ.            ",85 m²,23.7 tỷ,,05/12/2022,12/12/2022,Tin thường,36029467,batdongsan_com_vn_36029467,,6 m,Sổ đỏ chính chủ.,7 tầng,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa']","
Chuyển đổi phương án kinh doanh cần bán nhà 6 tầng thang máy gần phố Trần Duy Hưng đoạn đẹp nhất gần ngã tư Đường Láng, trước nhà có quy hoạch vườn hoa nhỏ, khi xong giá trị tăng gấp 3 lần.- Nhà thiết kế 6 tầng khung cột bê tông chắc chắn có thể lên thêm tầng thoải mái.- Tầng 1 gara ô tô và phòng kho.- Tầng 2 phòng khách và 2 phòng khép kín.- Tầng 3 - 4 - 5 mỗi tầng chia 4 phòng khép kín.- Tầng 6: 1 phòng rộng khép kín và bếp sân phơi.- Sổ đỏ phân lô vuông đẹp sẵn sàng giao dịch.            ",125 m²,27.7 tỷ,,05/12/2022,12/12/2022,Tin thường,36029472,batdongsan_com_vn_36029472,4.3 m,8 m,Sổ đỏ.,6 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Quốc Vượng']","
* Vị trí đắc địa, cách Xuân Thủy 70m, phố thông Phạm Hùng, Duy Tân, con phố toàn bộ xây văn phòng cho thuê, lượng phương tiện qua nhà tấp nập, kinh doanh gì cũng tiện, nhà 1 mặt phố, có vỉa hè, 1 mặt ngõ ba gác tránh.* Thiết kế 7 tầng mới tinh.- Tầng 1,2,3,5 thông sàn kinh doanh.- Tầng 4 gồm 2 ngủ.- Tầng 6 bếp, phòng khách, phòng thờ.- Tầng 7 sân chơi.* Pháp lý nét, sổ đỏ chính chủ, cất két mới tinh.            ",70 m²,22.2 tỷ,,05/12/2022,12/12/2022,Tin thường,36029496,batdongsan_com_vn_36029496,4 m,10 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường Quốc lộ 21A(Quốc lộ 21)', 'Dự án Hòa Lạc Premier Residence']","
Lô đất biệt thự thuộc dự án Thiên Mã Đồng Mô - Sơn Tây đã có người về ở.Diện tích 300m² mặt tiền 14m.Lô đất ngay cạnh cổng chính vào trung tâm nhà hàng và công viên dự án.Từ lô đất di chuyển sang khu công nghệ cao Láng Hoà Lạc, đại học FPT và ĐH Quốc Gia chỉ 10 phút.Đã có sổ đỏ ký luôn HĐMB.Liên hệ: 0393 652 *** ",300 m²,15.7 triệu/m²,,06/12/2022,20/12/2022,Tin thường,33425460,batdongsan_com_vn_33425460,14 m,15 m,"Đất vuông đẹp, dự án tiềm năng.",,
