address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Thạch Thất', 'Xã Đồng Trúc', 'Đường Đại lộ Thăng Long']","
* Trục chính khoang mái đường 12m kinh doanh đỉnh.- Liên hệ em Hằng SĐT 0373 585 *** hoặc add Zalo 0373 585 *** để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.* Thông tin mô tả khu Khoang Mái.- Diện tích dao động từ 65 - 92m².- Mặt tiền 5,5m.- Đường rộng 2 oto tránh nhau,* Nằm ở vị trí đắc địa, cửa ngõ khu công nghệ cao.- Cách đại lộ thăng long 200m.- Cách đường vành đai công nghệ 50m.- Cách đại lộ Thăng Long 300m.- Sát ngay nhà máy In Tiền Quốc Gia.- Cách trung tâm tổ hợp y tế 700m.- Gần tổ hợp các nhà máy của Vingroup.* Pháp lý.- Sổ đỏ từng lô công chứng trong ngày.- Vị trí: Thích hợp đầu tư ngắn hạn từ 4 - 6 tháng lợi nhuận từ 10 - 20% hoặc xây trọ cho thuê, với lượng công nhân cực kỳ đông đúc, giao thông thuận tiện.* Hỗ trợ xe đưa đón khách từ hà nội và vay vốn ngân hàng 60% giá trị đất.* Liên hệ em Hằng SĐT 0373 585 *** hoặc add Zalo 0373 585 *** để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.            ",100 m²,1.8 tỷ,12 m,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,34431687,batdongsan_com_vn_34431687,5.5 m,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường 419']","
Gần hồ Tân Xã DT 60 đến 100m² trục chính Tân Xã.- Liên hệ Mr Hằng 0373 585 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.- Cạnh công nghệ cao Hòa Lạc, đại học FPT, Hanwha,... Khách hàng làm việc hoặc có con theo học mua xây để ở hoặc cho thuê đều rất thuận lợi cho việc đi lại.- Diện tích từ 60 - 100m² full thổ cư.- Ngay sát ngã 3 của khu, giao thông đi lại cực thuận tiện.- Nằm ngay sát doanh trại quân đội, an ninh được đảm bảo.- Vị trí: Đường trục chính, ô tô ra vào thoải mái.- Sổ đỏ trọn đời, công chứng ngay trong ngày.- Giá đầu tư chỉ nhỉnh 1 tỷ.- Giao thông đi lại thuận tiện, dễ dàng di chuyển Tỉnh lộ 420 và 419 ĐH FPT, khu Công nghệ cao Hòa Lạc.- Giáp công nghệ cao.- Cách tỉnh lộ 420 chỉ 700m, Tỉnh lộ 4109 đúng 600m.- Sát hồ Tân Xã.- Nằm cạnh khu dân cư, gần chợ, trường học, ủy ban nhân dân.Với sự phát triển từng ngày của khu Công nghệ cao Hòa Lạc cùng với việc mở rộng TL 420 lên 24m sẽ thúc đẩy giá đất quanh khu vực phát triển mạnh mẽ trong tương lai.- Liên hệ Mr Hằng 0373 585 *** & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.Gọi ngay hotline: Để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất. (Hỗ trợ xe đưa đón khách hàng).            ",70 m²,18 triệu/m²,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35521637,batdongsan_com_vn_35521637,,,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Phố Bà Triệu']","
+ Nhà mặt phố Bà Triệu - Quận Hai Bà Trưng, kinh doanh mọi lĩnh vực vì vị trí đắc địa đẹp nhất tuyến phố.+ Khu vip toàn dãy phố hiện đang buôn bán kinh doanh nhà hàng, quán cafe, văn phòng công ty, spa, phòng khám, nhà thuốc, cửa hàng tổng hợp, trụ sở các ngân hàng...+ Nhà ở tại vị trí đắc địa theo phong thuỷ truyền thống.+ Toàn bộ nhà hiện đang cho thuê kinh doanh.+ Vỉa hè rộng thênh thang.+ Vị trí giao thông thuận tiện đi Hồ Gươm, Hồ Tây, trung tâm phố cổ, ra sân bay Nội Bài...+ Pháp lý: Sổ đỏ chính chủ. (Không bị lỗi phong thuỷ).+ Miễn phí môi giới khách mua.Giá: 98 tỷ. Chủ rất thiện chí thương lượng.- Quý khách có thiện chí vui lòng liên hệ: 0936 452 ***Mr. Hạnh 47 tuổi). Để xem nhà miễn phí và thương lượng trực tiếp với chủ nhà.Lưu ý: Tôi chỉ tiếp khách có nhu cầu mua nhà còn các bạn mời chào đăng tin quảng cáo không gọi làm phiền tôi nhé! Môi giới hay trung gian miễn làm phiền.Xin cảm ơn! Mọi người đã đọc tin của tôi.            ",180 m²,98 tỷ,,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,34674146,batdongsan_com_vn_34674146,7 m,,7 tầng,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
Cần bán lô 70m² sát vách khu công nghệ cao Hòa Lạc, gần FPT, ngay tỉnh lộ 420, Làng ĐHQG.- Diện tích 70m².- Cách ĐH FPT 2km.- Ngay giáp công nghệ cao 10 bước chân.- Cách ĐHQG chỉ 1km.- Cách QL21 500m.- Cách tổ hợp giáo dục 500m.- Cách trung tâm hành chính Hòa Lạc 600m.- Hệ thống điện, nước, cây xanh thoáng mát, dân cư đông đúc.- Thích hợp mua để ở, đầu tư hay xây trọ rất tốt.- Công chứng sang tên ngay, pháp lý sổ đỏ an toàn.- Hỗ trợ vay ngân hàng 80% giá trị đất.* Tiềm năng tăng giá vượt trội bởi cơ sở hạ tầng được quy hoạch bài bản, đất đẹp, diện tích phù hợp nhiều mục đích sử dụng.* Gọi ngay hotline: 0373 585 ***Mr Hằng) để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất. (Hỗ trợ xe đưa đón khách hàng).            ",70 m²,Thỏa thuận,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,34416184,batdongsan_com_vn_34416184,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường ĐT 420']","
Cần bán lô 70m sát vách khu công nghệ cao Hòa Lạc, gần FPT, ngay Tỉnh Lộ 420, Làng ĐHQG.- Diện tích 70m².- Cách ĐH FPT 2km.- Ngay giáp công nghệ cao 10 bước chân.- Cách ĐHQG chỉ 1km.- Cách QL21 500m.- Cách tổ hợp giáo dục 500m.- Cách trung tâm hành chính Hòa Lạc 600m.- Hệ thống điện, nước, cây xanh thoáng mát, dân cư đông đúc.- Thích hợp mua để ở, đầu tư hay xây trọ rất tốt.- Công chứng sang tên ngay, pháp lý sổ đỏ an toàn.- Hỗ trợ vay ngân hàng 80% giá trị đất.* Tiềm năng tăng giá vượt trội bởi cơ sở hạ tầng được quy hoạch bài bản, đất đẹp, diện tích phù hợp nhiều mục đích sử dụng.* Gọi ngay hotline: 0373 585 ***Mr Hằng) để biết thêm chi tiết và book lịch đi xem trực tiếp lô đất. (Hỗ trợ xe đưa đón khách hàng).            ",70 m²,900 triệu,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35623778,batdongsan_com_vn_35623778,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Mậu Lương', 'Dự án Kiến Hưng']","
+ Nhà liền kề khu đấu giá Mậu Lương gần chợ Mậu Lương, đường rộng xe tải tránh, vỉa hè rộng, mặt tiền rộng 5m.+ Liên hệ: 0989 626 ***em Hùng Mậu Lương U40).+ Gần chợ, trường học các cấp, Viện 103, đường Nguyễn Xiển Xa La, giao thông thuận tiện.+ Đất lành nhiều cây xanh, sổ vuông, khu vực dân trí cao, an ninh tốt, rất hiếm nhà bán.+ Tôi người thật thà, bán nhà sát giá, khỏi cần mặc cả, xem nhà là thích. Giá hợp lý chỉ 6.28 tỷ (có ra lộc cho khách hàng thiện chí).+ Liên hệ: 0989 626 ***em Hùng Mậu Lương U40).+ Hãy đăng ký ngay để không bỏ lỡ những căn nhà đẹp giá tốt: https://bit.ly/3AgTBG1+ Zalo, viber: https://zalo.me/g/brcpsx906+ FB: https://bit.ly/3a2jIpq+ Nhanh tay nhấc máy không khách khác mua mất lại tiếc ạ.+ Miễn TG, MG, quảng cáo, báo mạng.+ Khách mua nhà không Hòa chỉ Phát.            ",60 m²,6.28 tỷ,12 m,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35821668,batdongsan_com_vn_35821668,5 m,,4 tầng,4 phòng,4 phòng,Đầy đủ
"['Hà Nội', 'Quốc Oai', 'Xã Phú Cát', 'Đường Đại lộ Thăng Long', 'Thôn 5']","
- Chính chủ bán đất thôn 5 Phú Cát, 100m² mặt tiền 5,5m, cạnh nhà máy in tiền, hàng xóm Vingroup. Liên hệ Mr Pháp 0388 845 *** & add zalo em 038884576 để tìm hiểu ạ.Diện tích: 100m².- Mặt tiền: 5.5m.- Nằm trong thôn 5, Phú Cát - Quốc Oai - Hà Nội.- Nằm ngay gần khu công nghệ cao Hòa Lạc, khu tổ hợp bệnh viện, gần sát Vina Sawa, nhà máy Rạng Đông, Tập đoàn Vingroup...- Tiện ích xung quanh:- Cách khu công nghệ cao 2 chuẩn 500m.- Chợ, trường tiểu học, trung học, UBND, nhà văn hóa ngay gần.- Đầu tư:- Mua để ở, kinh doanh luôn hoặc xây phòng trọ,...- Mua đầu tư bán lại có lời ngay.- Ngân hàng hỗ trợ tới 60%.- Pháp lý:- Công chứng sang tên trong ngày.- Hỗ trợ bán lại cho nhà đầu tư.- Liên hệ Mr Pháp 0388 845 *** & add Zalo em 0388 845 *** để tìm hiểu ạ.            ",100 m²,1.2 tỷ,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,34761016,batdongsan_com_vn_34761016,5.5 m,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Phạm Đình Hổ', 'Phố Lò Đúc']","
+ Nhà mặt phố Lò Đúc, Quận Hai Bà Trưng, kinh doanh mọi lĩnh vực vì vị trí đắc địa đẹp nhất tuyến phố.+ Khu vip toàn dãy phố hiện đang buôn bán kinh doanh nhà hàng, quán cafe, văn phòng công ty, spa, phòng khám, nhà thuốc, cửa hàng tổng hợp, trụ sở các ngân hàng...+ Nhà vị trí đắc địa theo phong thuỷ truyền thống.+ Toàn bộ nhà hiện đang cho thuê kinh doanh.+ Vỉa hè rộng thênh thang.+ Vị trí giao thông thuận tiện đi Hồ Gươm, Hồ Tây, trung tâm phố cổ, ra sân bay Nội Bài...+ Pháp lý: Sổ đỏ chính chủ.+ Miễn phí môi giới khách mua.Giá: 51tỷ. Chủ rất thiện chí thương lượng.- Quý khách có thiện chí vui lòng liên hệ: 0936 452 ***Mr. Hạnh 47 tuổi). Để xem nhà miễn phí và thương lượng trực tiếp với chủ nhà.Lưu ý: Tôi chỉ tiếp khách có nhu cầu mua nhà còn các bạn mời chào đăng tin quảng cáo không gọi làm phiền tôi nhé! Môi giới hay trung gian miễn làm phiền.Xin cảm ơn! Mọi người đã đọc tin của tôi.            ",80 m²,51 tỷ,,,21/11/2022,28/11/2022,Tin thường,33214182,batdongsan_com_vn_33214182,7.5 m,,7 tầng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang']","
LÔ GÓC - 6 TẦNG THANG MÁY XỊN - NHÀ MỚI Ở LUÔN - TÒA NHÀ VĂN PHÒNG - NGÕ TO HƠN PHỐ - Ô TÔ TRÁNH - KINH DOANH* Chính chủ bán nhà tại phố Kim Giang, Hoàng Mai.* Diện tích: 50m, Nhà 6 tầng Thang Máy, Mặt tiền rộng 4.5m* Giá chào để bán: 13.5 tỷ* Vị trí nhà mặt ngõ 168, lô góc 2 mặt ô tô, 3 mặt thoáng có sân để xe thoải mái, gần Khu đô thị Đại Kim tiện ích xung quanh đầy đủ.* Nhà chủ tự xây cực kỳ tâm huyết để ở, nhà mới hoàn thiện xong được vài tháng. Mục đích vừa ở vừa cho thuê kinh doanh, nội thất toàn bộ làm bằng gỗ tự nhiên cao cấp. Nhà thiết kế bao gồm:+ Tầng 1, 2, 3: Thiết thông sàn, wc.+ Tầng 4: 2 phòng ngủ, wc.+ Tầng 5: Phòng khách, phòng thờ, bếp, wc.+ Tầng 6: Sân phơi.* Sổ đỏ chính chủ, sẵn sàng giao dịch.* Liên hệ xem nhà: 0902 083 ***Miễn phí xem nhà  Nguồn nhà phong phú  Nhiệt tình tận tâm  Hỗ trợ 24/7            ",50 m²,13.5 tỷ,10 m,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962477,batdongsan_com_vn_35962477,4.5 m,,6 tầng,4 phòng,5 phòng,Đầy đủ
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường Quốc lộ 21A(Quốc lộ 21)']","
Siêu hot! Bán đất Cổ Đông 900 triệu sẵn sổ đỏ. 0373 585 ***Điểm kết nối giữa 2 khu siêu đô thị vệ tinh Hòa Lạc và Sơn Tây.Cách trục Hồ Tây - Ba Vì 700m.Cách khu CNC cao 5p đi xe.Ngã tư giao cắt trục Hồ Tây - Ba Vì và đường Đồng Trạng.Gần trung tâm hành chính địa phương.Xung quanh nhiều khu nghỉ dưỡng.Cách sân golf Đồng Mô 1km.Sát vách trường tiểu học đạt tiêu chuẩn Quốc Gia.Cách trường Sĩ Quan Lục Quân 800m.Sẵn sổ hồng, full thổ cư.Diện tích từng lô chỉ từ 60~80m².Mặt tiền rộng từ 5~7m.Xung quanh dân cư đã hiện hữu, có thể xây nhà ở luôn.Liên em Hằng: 0373 585 *** để làm việc chính chủ.            ",60 m²,900 triệu,6 m,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35723626,batdongsan_com_vn_35723626,,,,,,
