address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Pháp lý,Nội thất,Hướng ban công
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Phố Đại La']","
Chủ đầu tư mở bán chung cư CT1 phố Đại La - Vọng - Giải Phóng - giao nhà ngay.Liên hệ: 0941 918 ***Căn hộ thiết kế hiện đại, sang trọng, thoáng nhiều ánh sáng tự nhiên.Vị trí vàng quận Hai Bà Trưng: Gần nhiều trường đại học như đại học ĐH Kinh Tế Quốc Dân, ĐH Bách Khoa, ĐH Xây Dựng, ĐH Y Hà Nội...* Diện tích và giá bán:- Căn 1 ngủ: 28m² - 33m² - 35m² - 40m² giá từ 550tr - 600tr - 650tr - 700tr.- Căn 2 ngủ: 45m² - 48m² - 50m² - 65m² giá từ 840tr - 880tr - hơn 1 tỷ /căn.Giá trên đã bao gồm thuế VAT, khách hàng không mất thêm bất kỳ chi phí nào.Mua trực tiếp chủ đâu tư được giá chiết khấu cao nhất.- Nội thất căn hộ: Sàn gỗ, trần thạch cao, đèn led, bếp từ, tủ bếp, bình nóng lạnh, thiết bị vệ sinh, tủ quần áo...- Giấy tờ pháp lý: Khách hàng mua căn hộ nhận được sổ hồng vĩnh viễn từng căn riêng, hợp đồng mua bán công chứng.Liên hệ trực tiếp Chủ Đầu Tư: 0941 918 *** đi xem nhà 24/24.            ",50 m²,Thỏa thuận,2 phòng,1 phòng,21/11/2022,28/11/2022,Tin Vip 2,35470322,batdongsan_com_vn_35470322,,,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Đường Phúc Lợi']","
Chính chủ cần bán 74m² mặt tiền 5m đất phân lô quận Long Biên, phường Giang Biên. Vị trí trung tâm quận Long Biên, gần Vinhomes Riverside, TTTM Vincom Long Biên, Aeon. Đối diện lô đất là công viên, đường trước mặt rộng có vỉa hè hai bên, 3 ô tô tránh nhau thoải mái, kinh doanh hay để ở đều phù hợp. Giá 112 triệu/m². Liên hệ chính chủ: 0913 249 *** ",74 m²,112 triệu/m²,,,21/11/2022,01/12/2022,Tin Vip 2,35892560,batdongsan_com_vn_35892560,5 m,13 m,Đông - Nam,,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Đông Anh', 'Thị trấn Đông Anh']","
Sản phẩm hot cho các nhà đầu tư đất Đông Anh.Đấu giá X7 Uy Nỗ - Đông Anh.Giá các lô giá đẹp chủ cần lướt X7 - Vườn Đào - Uy Nỗ - Đông Anh - Hà Nội.LK1: Lô số 1, 2, 3.LK2: Lô số 1, 2, 6, 7.LK3: Lô 2, 4.LK4: Lô 4, 5.Vị trí VIP đẹp số 1 tại Đông Anh, view hồ điều hòa, đường đôi 25m, tiện ích bậc nhất.Diện tích từ 119 - 154m².Mặt tiền 7m, hạ tầng đầy đủ, lát đá xanh vỉa hè rộng 5m, bó vỉa đá xanh.Số tầng cao tối đa: 5 tầng.Mật độ xây dựng: 87%.Giá chênh hợp lí.Liên hệ Tuấn Kiệt 0936 229 *** ",119 m²,Thỏa thuận,,,21/11/2022,01/12/2022,Tin Vip 2,35889181,batdongsan_com_vn_35889181,7 m,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công', '120', 'T&T Tower']","
Căn shophouse diện tích 96m², vị trí góc 2 mặt tiền. Hiện đang cho thuê T&T Tower - Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội.- Hướng Đông Nam.- 1 tòa chung cư 25 tầng cư dân đã về ở.- Vị trí trung tâm tại 120 Định Công.- Đã có sổ đỏ lâu dài.Liên hệ 0988 911 *** ",96 m²,17.5 tỷ,5 phòng,5 phòng,21/11/2022,01/12/2022,Tin Vip 2,34634892,batdongsan_com_vn_34634892,9 m,13 m,Đông - Nam,5 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Phố Đại La']","
+ Vị trí ba bước ra mặt phố, ô tô đỗ, lô góc 2 mặt ngõ. Gần đại học Kinh Tế - Bách Khoa - Xây Dựng an sinh đỉnh, tiện ích ngập tràn.+ Thiết kế cơ bản, bao gồm:- Tầng 1: Khách + bếp, WC.- Tầng 2,3,4: 1 phòng ngủ, WC.- Tầng 5: Phòng thờ + sân phơi.+ Sổ đỏ đẹp giao dịch ngay.            ",40 m²,7.8 tỷ,3 phòng,4 phòng,21/11/2022,28/11/2022,Tin Vip 2,35469821,batdongsan_com_vn_35469821,4.5 m,4 m,,5 tầng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Phố Đại La']","
+ Vị trí ba bước ra mặt phố, ô tô đỗ, lô góc 2 mặt ngõ. Gần đại học Kinh Tế - Bách Khoa - Xây Dựng an sinh đỉnh, tiện ích ngập tràn.+ Thiết kế cơ bản, bao gồm:- Tầng 1: Khách + bếp, WC.- Tầng 2,3,4: 1 Phòng ngủ, WC.- Tầng 5: Phòng thờ + Sân phơi.+ Sổ đỏ đẹp giao dịch ngay.            ",40 m²,7.8 tỷ,6 phòng,4 phòng,21/11/2022,28/11/2022,Tin Vip 2,35482641,batdongsan_com_vn_35482641,4 m,4 m,,5 tầng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Lương Ngọc Quyến', '42']","
Chính chủ cần bán nhà đất 42 Lương Ngọc Quyến P. Văn Quán, Q. Hà Đông, Hà Nội.Diện tích trên sổ là 75,6m² (diện tích thực sử dụng là 90m²), chiều ngang 4.31 x dài 18.42m. Hướng Đông Bắc. Nhà 3 mặt tiền thoáng mát, khu vực an ninh tốt, giao thông thuận lợi, cạnh trường nghệ thuật trung ương, thuận tiện làm công ty, xây nhà trọ hoặc cho thuê kinh doanh.            ",90 m²,14 tỷ,7 phòng,4 phòng,21/11/2022,28/11/2022,Tin Vip 2,35891723,batdongsan_com_vn_35891723,4.3 m,8 m,Đông - Bắc,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
Chủ đầu tư mở bán trực tiếp dự án chung cư H2 Xuân La - Hồ Tây.Dự án đã hoàn thiện xong, bàn giao ngay nhà, full nội thất.* Thiết kế sang trọng hiện đại, nhiều ánh sáng tự nhiên.- Giá bán: 520tr - 600tr - 745tr - 850tr - hơn 1 tỷ 2 / căn.- Diện tích: 30m² - 38m² - 42m² - 45m² - 48m² - 55m².- Thiết kế 1 đến 2 ngủ + khách + bếp + ban công thoáng. Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn led.- Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.* Giấy tờ pháp lý: Khách hàng mua căn hộ nhận được sổ hồng vĩnh viễn từng căn riêng, hợp đồng mua bán công chứng.* Liên hệ trực tiếp chủ đầu.            ",38 m²,600 triệu,,,21/11/2022,01/12/2022,Tin Vip 2,35779342,batdongsan_com_vn_35779342,,,Nam,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
- Diện tích: 33,3 m². Chính chủ cần bán gấp.- Vị trí:+ Nhà cấp 4 cũ xác định bán đất. Vị trí đẹp, đường mới, thông thoáng, thông ra phố Văn Cao, Hoàng Hoa Thám, Thụy Khuê. 1 mặt đường to 3 ô tô tránh nhau dừng đỗ, 1 mặt ngõ xe máy tránh (ảnh thật vị trí nhà bên dưới).+ Hộ khẩu Thụy Khuê - Tây Hồ. Thuận tiện cho con đi học mầm non, cấp 1, cấp 2, cấp 3 Chu Văn An.- Đất xây ở hay kinh doanh đều hợp lý.- Đã quy hoạch ổn định.- Sổ đỏ nở hậu. Pháp lý chuẩn.- Giá có thể thương lượng thêm.            ",33.3 m²,8.3 tỷ,,,21/11/2022,05/12/2022,Tin Vip 2,35890887,batdongsan_com_vn_35890887,,7 m,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Dịch Vọng Hậu']","
Tôi cần bán gấp tòa nhà Building 8 tầng vị trí lô góc mặt phố Dịch Vọng Hậu - Trần Thái Tông, quận Cầu Giấy, TP Hà Nội.Diện tích 300m², mặt tiền lô góc 30m.Tòa xây mới 7 tầng nổi và 1 tầng hầm và 1 tầng tum.Nội thất hiện đại, sang trọng. Hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hòa trung tâm Daikin, thiết bị vệ sinh ToTo, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt, hệ thống phòng cháy hiện đại đúng tiêu chuẩn.Sổ đỏ chính chủ.Sẵn sàng giao dịch giá bán 210 tỷ (có thương lượng).Liên hệ chính chủ: 0947 106 *** ",300 m²,210 tỷ,,,20/11/2022,30/11/2022,Tin Vip 2,35891033,batdongsan_com_vn_35891033,30 m,,,8 tầng,Sổ đỏ chính chủ.,"Nội thất hiện đại, sang trọng. Hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hòa trung tâm Daikin, thiết bị vệ sinh ToTo, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt.",
