address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Chùa Bộc']","
Mặt phố Chùa Bộc mặt tiền rộng vỉa hè đá bóng kinh doanh vô địch.Bán nhà mặt phố Chùa Bộc, con phố VIP cực hiếm nhà bán.Diện tích: 60m² x 5 tầng.Mặt tiền: 4m.Giá: 36 tỷ có thương lượng.Nhà 5 tầng, xây chắc chắn, tầng 1 thiết kế thông sàn.Nhà đang cho thương hiệu thời trang nổi tiếng thuê đã lâu năm, chủ mới có thể tiếp tục cho thuê doanh thu 100 triệu tháng.Mặt phố Chùa Bộc rất hiếm nhà bán!Liên hệ xem nhà quà zalo/mobile: (Nguyễn Hồng).            ",60 m²,36 tỷ,,,5 tầng,,Đẹp,26/11/2022,03/12/2022,Tin thường,34628293,batdongsan_com_vn_34628293,4 m,20 m,6 phòng,5 phòng
"['Hà Nội', 'Ba Đình', 'Phường Trúc Bạch', 'Đường Trúc Bạch']","
HIẾM CÓ- MẶT HỒ TÂY- MẶT PHỐ- KINH DOANH TỐT- KHÁCH SẠN- CĂN HỘ MINI- Ở SƯỚNG- GIÁ RẺ+ Diện tích: 96 m².+ Mặt tiền: 10m.+ Giá: 39 tỷ.+ Vị trí cực đẹp ngay đầu Trúc Bạch- Thanh Niên thông sang Phó Đức Chính, Yên Phụ, Âu Cơ những con phố mà khách tây và người có tiền rất thích; giáp hồ Tây Lộng gió.+ Phù hợp khách mua kinh doanh, mua ở thì cực sướng, mua kinh doanh khách sạn, cà phê đều rất ổn.+ Sổ đỏ sẵn sàng sang tên trong ngày.+ Chủ cần tiền nên để giá chào cực sát và thực tế để khách dễ vào việc.+ Liên hệ xem nhà và được kết nối chính chủ để làm việc: 0915 551 *** ",96 m²,39 tỷ,,,2 tầng,Sổ đỏ/ Sổ hồng,xác định mua đất,26/11/2022,03/12/2022,Tin thường,35962043,batdongsan_com_vn_35962043,10 m,,2 phòng,3 phòng
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Mặt phố Thái Hà mặt tiền rộng vỉa hè đá bóng kinh doanh vô địch.Bán nhà mặt phố Thái Hà, con phố vip cực hiếm nhà bán.Diện tích: 55m² x 5 tầng.Mặt tiền: 4m.Giá: 36 tỷ có thương lượng.Nhà 5 tầng, xây chắc chắn, tầng 1 thiết kế thông sàn.Nhà đang cho thương hiệu thời trang nổi tiếng thuê đã lâu năm, chủ mới có thể tiếp tục cho thuê doanh thu 100 triệu tháng.Mặt phố Thái Hà rất hiếm nhà bán!Liên hệ xem nhà quà zalo/mobile: (Nguyễn Hồng).            ",55 m²,36 tỷ,,,5 tầng,,Đẹp,26/11/2022,03/12/2022,Tin thường,34628291,batdongsan_com_vn_34628291,4 m,20 m,6 phòng,5 phòng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé']","
Chính chủ nhờ bán căn nhà mặt phố Dương Văn Bé, diện tích 150m² (diện tích thực tế sử dụng 162m²), lô góc 3 thoáng, mặt tiền 10m, vỉa hè thênh thang.Giá: 37 tỷ (có thương lượng).+ Vị trí đẹp nhất phố Dương Văn Bé. Tương lai tăng giá trị, ăn theo các dự án xung quanh đang chuẩn bị triển khai.+ Hướng: Đông Nam.+ Gọi ngay Ms. Thúy để xem nhà ngay 0934 462 ***Miễn trung gian, môi giới.            ",150 m²,37 tỷ,Đông - Nam,,6 tầng,Sổ đỏ/ Sổ hồng,,21/11/2022,28/11/2022,Tin thường,33917121,batdongsan_com_vn_33917121,10 m,20 m,10 phòng,
"['Hà Nội', 'Đống Đa', 'Phường Văn Miếu', 'Đường Nguyễn Khuyến']","
+ Chủ nhà gửi bán nhà mặt phố Nguyễn Khuyến, diện tích 257m², mặt tiền rộng, vỉa hè, cực thuận tiện kinh doanh hoặc xây tòa văn phòng.+ Hàng xóm trường Lý Thường Kiệt, gần phố Hai Bà Trưng, Cửa Nam.Đi bộ ra Văn Miếu, trung tâm tập trung nhiều khách du lịch và văn hóa.+ Hàng hiếm phố cổ, diện tích rộng, khu vực sầm uất, cực hiếm nhà bán.+ Khu vực hiện đang cho thuê có sẵn dòng tiền.+ Giá: Sau 31/12/2022: 65 tỷ.Trước 31/12/2022: 63 tỷ.Do chủ nhà cần thanh khoản gấp căn nhà để đầu tư dự án lớn.+ Sổ đỏ chính chủ, sẵn sàng sang tên.Liên hệ Ms. Thúy để xem nhà ngay. 0934 462 *** ",257 m²,63 tỷ,,,4 tầng,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,35914618,batdongsan_com_vn_35914618,5 m,,,
"['Hà Nội', 'Ba Vì', 'Xã Thụy An']","
Siêu phẩm đất nghỉ dưỡng Thụy An, Ba Vì, Hà Nội - mua được là thắng.Diện tích: 1.015m² (có 75m² thổ cư).Pháp lý: Sổ hồng đầy đủ.+ Vị trí đất trung tâm, cách hồ Suối Hai chỉ 1,5km, khu vực tiềm năng phát triển.+ Mặt tiền 35m, 2 mặt thoáng, đường đi rộng rãi, ô tô vào tới đất.+ Tiện ích xung quanh khu dân cư đông đúc gần chợ, trường học, gần UBND... Cơ sở hạ tầng đầy đủ.+ Đất thích hợp mọi nhu cầu sử dụng hoặc mua đầu tư sinh lời.+ Giao thông thuận tiện đi lại nhiều khu vực.Giá bán: 3,2 tỷ (có thương lượng).Liên hệ chính chủ: Anh Phúc 0911 530 *** ",1015 m²,3.2 tỷ,,,,Sổ đỏ/ Sổ hồng.,,20/11/2022,30/11/2022,Tin thường,35195286,batdongsan_com_vn_35195286,35 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Chùa Bộc']","
+ Bán nhà phố chùa Bộc, Trung Tâm Quận Đống Đa, giao thông thuận tiện các ngả, xung quanh bạt ngàn tiện ích.+ Nhà đẹp, tầm tiền cực nhiều khách. Chủ mới chỉ xách vali đến là ở.+ Chỉ 3 tỷ.+ Liên hệ: Mr Vượng 912949598. Chuyên môi giới Bất Động Sản Đống đa, tận tâm, uy tín khách hàng được trực tiếp gặp chủ nhà, xem nhà hỗ trợ tư vấn pháp lý, đàm phán miễn phí 24/7.            ",40 m²,3 tỷ,,,4 tầng,,,26/11/2022,06/12/2022,Tin thường,35821619,batdongsan_com_vn_35821619,3.5 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột', 'Phố Tôn Đức Thắng']","
+ Bán nhà phố Tôn Đức Thắng, trung tâm Quận Đống Đa. Nhà rất gần phố, 5p lên Lăng Bác, Hồ Gươm, công viên Thống Nhất, Ga Hà Nội... Thông tứ hướng.+ Trường học các cấp, bệnh viên, siêu thi, vui chơi giải trí, thể thao.* Thiết kế: Nhà xây dựng khung chắc chắn, nâng thêm tầng thoải mái.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá chỉ 2,7 tỷ.+ Liên hệ: Mr Vượng 912949598. Chuyên môi giới bất động sản đống đa, tận tâm, uy tín khách hàng được trực tiếp gặp chủ nhà, xem nhà hỗ trợ tư vấn pháp lý, đàm phán miễn phí, 24/7.            ",30 m²,2.7 tỷ,,,5 tầng,Sổ đỏ/ Sổ hồng.,,26/11/2022,06/12/2022,Tin thường,35832893,batdongsan_com_vn_35832893,3 m,,,
"['Hà Nội', 'Quốc Oai', 'Xã Hòa Thạch', 'Hòa Trúc']","
Siêu phẩm đất nền Hòa Trúc, Hòa Thạch, Quốc Oai, Hà Nội - giá đầu tư F0.Diện tích: 400m² (có 80m² thổ cư).Pháp lý: Sổ hồng đầy đủ.+ Vị trí đất trung tâm, cách mặt đường DH09 mở rộng chỉ 68m, tiềm năng tăng giá cực cao.+ Mặt tiền 14m, sâu 28m, đất vuông vắn, đường đi rộng rãi, ô tô vào tới đất.+ Gần tổ hợp y tế, gần KCN Hòa Lạc, gần chợ, trường học... Cơ sở hạ tầng đầy đủ.+ Đất thích hợp mọi nhu cầu sử dụng hoặc mua đầu tư sinh lời.+ Giao thông thuận tiện đi lại nhiều khu vực.Giá bán: 4,2 tỷ (có thương lượng).Liên hệ chính chủ: Anh Phúc 0911 530 *** ",400 m²,4.2 tỷ,,,,Sổ đỏ/ Sổ hồng,,20/11/2022,30/11/2022,Tin thường,35200416,batdongsan_com_vn_35200416,14 m,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Tạ Quang Bửu']","
Mô tả.- Nhà mặt ngõ Tạ Quang Bửu, 2 ô tô tránh - kinh doanh ngày đêm - khu dân trí đỉnh - nhà đẹp.- Diện tích 70m², 4 tầng, mặt tiền 3.1m.- Nhà tổng 4 phòng ngủ, cầu thang giữa. Tầng 4 là phòng thờ, sân phơi, công năng đầy đủ. Có thể xây trồng thêm tầng vì móng rất vững chắc. Sổ đẹp nở hậu.- Nhà đẹp. Ngõ cực văn minh, khu đất vàng. Vị trí hiếm - Hót. Nhà ngõ ô tô tránh kinh doanh sầm uất ngày đêm. Thuận tiện làm trung tâm luyện thi Đại học, trung tâm Tiếng Anh, văn phòng, trụ sở công ty...- Khu toàn giảng viên trường đại học Bách Khoa. Cách Hồ Gươm 2.5km, gần TTTM Vincom, công viên Thống Nhất, gần ngân hàng, siêu thị, bể bơi, vô vàn tiện ích, gần đại học trường Kinh Tế Quốc Dân, đại học Xây Dựng.Giá 11 tỷ có thương lượng.Nhấc máy gọi Mr Nhật Anh (50 tuổi) 0988 452 *** ",70 m²,11 tỷ,,,4 tầng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,34062610,batdongsan_com_vn_34062610,,5 m,4 phòng,3 phòng
