address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Hướng nhà,Hướng ban công,Mặt tiền,Số tầng,Nội thất,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Nguyễn Thái Học']","
+ Vị trí đẹp ngay trục chính Phố Nguyễn Thái Học, Hà Đông, trung tâm Phố cổ Hà Đông, 80m ra đường Quang Trung, vài bước chân ra chợ vồ, bệnh viện đa khoa Hà Đông,...DT 60m².+ Ngõ trước nhà rộng ô tô dừng đỗ, vào nhà.            ",60 m²,5.3 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35891222,batdongsan_com_vn_35891222,2 phòng,,,4 m,2 tầng,,5 m
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyên Hồng']","
KHU VIP ĐỐNG ĐA, THANG MÁY, THÔNG SÀN, Ô TÔ TRÁNH, KINH DOANH ĐẲNG CẤP.+ Khu phân lô bàn cờ Huỳnh Thúc Kháng thông các ngả Nguyên Hồng, Nguyễn Chí Thanh, Trúc Khê,... + Thiết kế thông sàn tất cả các tầng từ tầng 1 đến tầng 7.+ Thang máy nhập khẩu, thiết bị nội thất hiện đại chủ mua hơn 2 tỷ. + Phù hợp khách mua ở, kinh doanh đa mặt hàng, văn phòng, spa, phòng khám..+ Dt: 65m, nhà 7 tầng, mặt tiền rộng 5,5m.+ Sổ đỏ vuông vắn, giao dịch ngay.+ Giá bán 27 tỷ có ra lộc.Gọi ngay 0879 660 *** để được hỗ trợ xem nhà ngay hôm nay.            ",65 m²,27 tỷ,7 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35954817,batdongsan_com_vn_35954817,7 phòng,,,,7 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chính chủ cần bán căn hộ chung cư cao cấp nhà 17T4 khu ĐTM Trung Hòa Nhân Chính. DT 115m², nhà Full nội thất - ban công hướng Nam, nhà sửa chữa cực đẹp nội thất xịn.* LH Miss Hoa 098.99.1339.* Tầng cao DT: 115m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 098.99.1339.ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",115 m²,Thỏa thuận,,,23/11/2022,30/11/2022,Tin thường,24722860,batdongsan_com_vn_24722860,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Trường Chinh']","
Bán nhà gần Đại Học Y Hà Nội, lô góc, ngõ thông, ô tô, thang máy, 75m², 6 tầng, mt 6m, 18 tỷ.+ Trung tâm Đống Đa, vài bước ra Đại Học Y Hà Nội, Vincom Phạm Ngọc Thạch, Học Viện Ngân Hàng.+ Nhà lô góc, 3 thoáng, mặt ngõ thông, rộng, thoáng, ô tô tránh, khu vực phát triển, ở cực sướng.+ Thiết kế 6 tầng thang máy, hiện đại, tự xây nên chắc chắn vô cùng.+ Nhà lô góc, phòng nào cũng cơ cửa sổ, ngập tràn ánh sáng.+ Tầng 1: Gara ô tô cực rộng, chuyển đổi công năng dễ dàng.+ Tầng 2, 3: Mỗi tầng 2 PN, 1 WC.+ Tầng 4: 1 phòng ngủ master rộng rãi, vệ sinh khép kín.+ Tầng 5: Phòng khách sang trọng, đầy đủ tiện nghi thiết bị.+ Tầng 6: Khu vực bếp + phòng thờ + Sân thượng thoáng mát. Tầm view rộng, đẹp.+ Nội thất cửa, cầu thang, tủ kệ, gỗ lim nhập khẩu.+ Sổ đỏ vuông, nở hậu.+ Giá bán 18,8 tỷ có ra lộc.LH: Gọi ngay để được Mr Hùng Anh chuyên nhà phân lô hỗ trợ xem nhà ngay hôm nay.            ",75 m²,18.8 tỷ,6 phòng,Sổ đỏ/ Sổ hồng,19/11/2022,29/11/2022,Tin thường,35881298,batdongsan_com_vn_35881298,6 phòng,,,,6 tầng,Cao cấp,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
+ Vị trí thuộc Yên Xá Thanh Trì, Tổng cục 5 Yên Xá, tương lại lên quận, khu vực đang phát triển từng ngày, tập trung đông đúc sinh viên các trường thuê trọ, 200m ra bệnh viện K Tân Triều, 300m ra viện Bỏng, viện 103 Hà Đông, giao thương thuận lợi,...+ Ngõ Trươc nhà rộng ô tô dừng đỗ cách chỉ 20m.+ Hiện trạng nhà 3 tầng thiết kế 3 ngủ, đầy đủ công năng, móng có thể lên 5 tầng.+ Khách mua về có thể ở luôn, cho thuê dòng tiền hoặc lên 5 tầng, hoặc xây căn CCMN dòng tiền khủng.+ Sổ đỏ vuông vắn, pháp lý chuẩn.            ",60 m²,4.1 tỷ,3 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,35914901,batdongsan_com_vn_35914901,2 phòng,,,4.5 m,3 tầng,Cơ bản.,2 m
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', 'Dự án N05 Trần Duy Hưng']","
Chính chủ cần bán chung cư cao cấp nhà 29T khu ĐTM Trung Hòa Nhân Chính. Căn góc - ban công hướng Nam, nhà sửa chữa cực đẹp nội thất xịn.* LH Miss Hoa 0989 931 **** Tầng đẹp DT: 155m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 3WC, ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",155 m²,Thỏa thuận,3 phòng,,23/11/2022,01/12/2022,Tin thường,24923266,batdongsan_com_vn_24923266,,,Nam,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án N04 Trần Duy Hưng']","
Chính chủ cần bán căn hộ chung cư cao cấp N04 Hoàng Đạo Thuý khu ĐTM Trung Hòa Nhân Chính.* Tầng 15 DT: 116m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, 2 ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, full nội thất xịn.* Giá bán: Cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",116 m²,Thỏa thuận,3 phòng,,23/11/2022,01/12/2022,Tin thường,25208215,batdongsan_com_vn_25208215,,,Nam,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang']","
Một nhà ra phố, thông số kim cương, ngõ thông, kinh doanh, tặng lại nội thất, ở ngay.+ Vị trí mặt ngõ, thông tứ tung, giao thông vô cùng thuận tiện.+ Cách 1 nhà ra mặt phố Kim Giang, gần Công Viên, Cầu Dậu, Vành đai 3, KĐT cao cấp The Manor... Muôn vàn tiện ích.+ Nhà xây 4 tầng cực chắc chắn, hiện đại, thoáng mát.+ Nhà được chủ nhà thiết kế tâm huyết, bước vào nhà là thích ngay.+ Tổng 4 phòng ngủ + 3 Wc, tặng toàn bộ nội thất gắn tường cao cấp.+ Dt: 55m², nhà 4 tầng, mặt tiền rộng 5m.+ Sổ đỏ chính chủ, vuông đẹp, giao dịch ngay.+ Giá bán 6,4 tỷ có ra lộc.Lh: Gọi ngay 0879 660 *** để được hỗ trợ xem nhà ngay hôm nay.            ",55 m²,6.4 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin thường,35931359,batdongsan_com_vn_35931359,3 phòng,,,5 m,4 tầng,Nội thất cao cấp.,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chính chủ cần bán căn hộ chung cư 17T3 khu ĐTM Trung Hòa Nhân Chính.* Tầng thấp DT: 117m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá bán: Cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",117 m²,Thỏa thuận,3 phòng,,23/11/2022,30/11/2022,Tin thường,21234073,batdongsan_com_vn_21234073,2 phòng,,Nam,,,Nội thất xịn.,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chính chủ cần bán căn hộ chung cư cao cấp - nhà 18T khu ĐTM Trung Hòa Nhân Chính.* Tầng cao DT: 95m², thiết kế 3 phòng ngủ, 1 phòng khách, bếp, phòng ăn, 2WC, ban công hướng Nam. Nhà đã sửa chữa lại cực đẹp, nội thất xịn.* Giá bán: Cực rẻ (có TL với người thiện chí).* Sổ đỏ chính chủ.* Liên hệ: ĐT: 0989 931 ***ĐC: Lô E9 tòa nhà CT1 Vimeco - Phường Trung Hòa - Cầu Giấy - Hà Nội.            ",95 m²,Thỏa thuận,3 phòng,Sổ đỏ chính chủ.,23/11/2022,30/11/2022,Tin thường,34734009,batdongsan_com_vn_34734009,2 phòng,,Nam,,,Nội thất xịn.,
