address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Hà Đông', 'Phường Nguyễn Trãi', 'Đường Tô Hiệu']","
Vị trí kinh doanh bất chấp, giao thông cực kỳ thuận tiện kết nối với các con đường Lê Lợi, Quang Trung, Trần Phú, Nguyễn Trãi, Lê Hồng Phong, Văn Quán, Phùng Hưng...Tiện ích xung quanh ngập tràn không thiếu thứ gì, gần chợ Hà Đông, vườn hoa Hà Đông, Bưu Điện Hà Đông...Thiết kế:+ Tầng 1: Kinh doanh, bếp, wc.+ Tầng 2,3: Phòng ngủ, wc.+ Tầng 4: Phòng thờ, sân phơi.Sổ chính chủ, sẵn sàng giao dịch.Liên hệ: Hoàng Thuỳ 0869 629 *** để xem nhà.Lưu ý: Không tiếp môi giới.            ",50 m²,7 tỷ,8 m,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35631036,batdongsan_com_vn_35631036,4 m,5 tầng,4 phòng,3 phòng,Đầy đủ.,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Lý Thánh Tông']","
Bán đất tặng nhà Lý Thánh Tông, Gia Lâm 85m² x1T, ô tô thông ngủ trong nhà 4,9 tỷ.Bán đất tặng nhà Lý Thánh Tông - Trung tâm Gia Lâm, diện tích 85m² x1 tầng, ô tô thông ngủ trong nhà, mặt tiền 5m, 4,9 tỷ.Mô tả:- Nhà nằm vị trí ngõ ô tô thông chạy vòng quanh, cách mặt phố 50m, ô tô ngủ trong nhà nếu muốn, nhà cho thuê dòng tiền rất tốt, Nhà gần trung tâm Gia Lâm, tương lai năm tới lên Quận tương lai rạng ngời.- Nhà 1 tầng dân xây chắc chắn, thiết kế đẹp hiện đại, đầy đủ công năng.- Khu vực quy hoạch ổn định, sổ đỏ đẹp, pháp lý sạch sẵn sàng giao dịch.- Giá: 4,9 tỷ.- Liên hệ Mr Tuy 0941 366 *** để được biết thêm chi tiết.            ",85 m²,4.9 tỷ,4 m,,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35792897,batdongsan_com_vn_35792897,5 m,1 tầng,2 phòng,1 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Vương Thừa Vũ']","
Bán nhà Nguyễn Ngọc Nại, Vương Thừa Vũ, Thanh Xuân.Vị trí cực đẹp, ngõ thông 2 đầu đi vào nhà hướng nào cũng đẹp, chỉ vài bước chân ra phố.+ DT sổ 60m², DT thực tế 65m², 5 tầng khung cột chắc chắn vô cùng, mặt tiền 5m.+ Thiết kế hiện đại, có ô chờ thang máy về sẵn lắp, sân rộng rãi để xe thoải mái.+ Sổ đỏ cất két.+ Khu vực dân trí, an sinh tiện ích.+ LH: Ms. Xuân 0979 266 *** ",65 m²,7.5 tỷ,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35933770,batdongsan_com_vn_35933770,5 m,5 tầng,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Dự án The Emerald']","
Dự án chung cư The Emerald.Căn 2PN tòa E2, tầng 9:- Diện tích: 77,7m², ban công hướng Đông Bắc rất thoáng, view nhìn nội khu, giá gốc tôi mua gần 3,4 tỷ, chưa kể tiền làm thêm nội thất.Giá bán nhanh: 3 tỷ 350 tr.Căn 2PN tòa E3 tầng 4.- Diện tích: 81,7m², ban công Đông Bắc, view nhìn ra thành phố, đầy đủ nội thất, sổ đỏ chính chủ, có hỗ trợ vay ngân hàng.Giá bán để giao dịch luôn: 3 tỷ 500 triệu.Căn 2PN tòa E1 tầng trung.- Diện tích: 80m², ban công Đông Nam, view nội khu, nội thất đầy đủ, đã có sổ, hiện tại đang cho thuê.Giá bán thu nét về: 3,6 tỷ.* Căn 3PN tòa E4, tầng 20:- Căn góc 3 mặt thoáng.- Ban công TN, cửa vào ĐB, tất cả các phòng đều ánh sáng tự nhiên, view trọn nội khu cực chill.- Full nội thất: TBVS, trần thạch cao, sàn gỗ, hệ thống chiếu sáng, bếp, tủ bếp, điều hòa.- Giá bán cắt lỗ, giao dịch nhanh: 3 tỷ 900tr.Căn hộ 4PN tòa E4.- Diện tích: 141m², ban công ĐB, view nhìn tòa The Manor; nội thất đẹp như tranh vẽ; chủ nhà thoáng tính dễ làm việc.Giá bán: 6,5 tỷ (có thương lượng cho người hợp duyên).Ngoài ra em còn rất nhiều sự lựa chọn hấp dẫn khác khi khách hàng liên hệ lại với em. Cam kết mang lại sự lựa chọn hài lòng nhất cho khách hàng.Hiện tại đang cho chuyên gia người Hàn thuê giá 17tr/căn 2PN, 20r/căn 3PN. Các bác mua có thể giữ HĐ thuê đến hết T11/2022.Quý khách hàng có nhu cầu xem nhà vui lòng liên hệ em Tùng: 0339 129 *** ",77.7 m²,3.2 tỷ,,Tây - Bắc,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35189639,batdongsan_com_vn_35189639,,,2 phòng,2 phòng,Nội thất đầy đủ.,Đông - Nam
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Phố Hồng Tiến']","
Bán nhà mới đẹp Hồng Tiến trung tâm quận Long Biên, mua bán chính chủ, sổ đỏ vuông đẹp, Đầy đủ GPXD, PCCC, hoàn công, nội thất sang trọng. + Vị trí nhà cực đẹp, ngõ to rộng sạch đẹp, cực kỳ thoáng, 3 bước chân ra đến công viên, vườn hoa, gần trường quốc tế Wellsprings, gần ngay bệnh viện Tâm Anh, khu vực an sinh đỉnh, hàng xóm đông đúc, thân thiện, ở sướng.+ Nhà 5 tầng thang máy, thiết kế hiện đại, đầy đủ công năng sử dụng, nội thất nhập khẩu, phù hợp để ở hoặc vừa ở kết hợp làm văn phòng thì tuyệt vời. Phong cách nội thất hiện đại.+ Nhà đẹp lung linh, đẹp không tì vết.+ Không khí trong lành.+ Khu vực an ninh cực kỳ đảm bảo.+ Giao thông đi lại cực kỳ thuận tiện.+ Sổ đỏ vuông vắn, chính chủ.+ Giá chào: 11,4 tỷ (có thương lượng).Liên hệ Em Nam để được tư vấn căn nhà Hồng Tiến, phường Bồ Đề.            ",75 m²,11.4 tỷ,4 m,Đông - Bắc,"Sổ đỏ chính chủ, vuông vắn.",26/11/2022,03/12/2022,Tin thường,35518037,batdongsan_com_vn_35518037,4 m,5 tầng,4 phòng,4 phòng,"Nội thất nhập khẩu, hiện đại, tiện nghi.",Đông - Bắc
"['Hà Nội', 'Đông Anh', 'Xã Vĩnh Ngọc']","
Trung tâm chợ Vĩnh Ngọc.Gần hồ gần trường đi bộ thể dục.Thành phố thông minh, Intracom, công viên Kim Quy.Trục Nhật Tân Nội Bài quy hoạch đô thị 50.Bãi đỗ xe rộng Trường học bệnh viên dân cư đông đúc            ",50 m²,2.3 tỷ,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,32162431,batdongsan_com_vn_32162431,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Tân Mai', 'Dự án Đồng Phát Park View Tower']","
3 NGỦ ĐỦ CÔNG NĂNG - KHU VỰC GIAO THÔNG THUẬN TIỆN - DOANH THU CHO THUÊ 12TR/THÁNG. +Căn hộ chung cư thiết kế 1 phòng khách, bếp, 3 ngủ đủ công năng sử dụng. Trong đó 1 phòng vệ sinh khép kín, và 2 phòng vệ sinh đi chung với phòng khách.- Phòng khách cải tạo thêm 1 phòng ngủ nữa là 4 để khai thác cho thuê- Sổ hồng lâu dài, sẵn sàng giao dịch ngay.- Chung cư Đồng Phát Park View ở vị trí vô cùng đẹp, gần hồ Vĩnh Hoàng, chợ đầu mối Đền Lừ, trường học các cấp, cách bến xe Giáp Bát vài phút đi xe, giao thông thuận tiện, yên tĩnh.- Chung cư Đồng Phát được xây dựng 30 tầng với 2 tầng hầm để ô tô, xe máy, có sân chơi, nhà sinh hoạt, bể bơi trong nhà, tầng 1 + 2 có siêu thị, trường học mẫu giáo, bảo vệ 24/24.            ",87 m²,2.8 tỷ,,,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35703860,batdongsan_com_vn_35703860,,,4 phòng,3 phòng,,
"['Hà Nội', 'Hoàn Kiếm', 'Phố Hàng Bạc']","
+ Nhà mặt phố Hàng Bạc - Quận Hoàn Kiếm kinh doanh mọi lĩnh vực vì vị trí đắc địa đẹp nhất tuyến phố.+ Khu vip toàn dãy phố hiện đang buôn bán kinh doanh Vàng, Bạc... Nhà hàng, quán cafe, văn phòng công ty, spa, phòng khám, nhà thuốc, cửa hàng tổng hợp, trụ sở các ngân hàng...+ Toàn bộ nhà hiện đang cho thuê kinh doanh.+ Vỉa hè rộng thênh thang. Đường ô tô 2 chiều.+ Vị trí giao thông thuận tiện đi Hồ Gươm, Hồ Tây, trung tâm phố cổ, ra sân bay Nội Bài...+ Pháp lý: Sổ đỏ chính chủ. (Không bị lỗi phong thuỷ).+ Miễn phí môi giới khách mua.Giá: xx tỷ. Chủ rất thiện chí thương lượng.- Quý khách có thiện chí vui lòng liên hệ: 0936 452 ***Mr. Hạnh 47 tuổi). Để xem nhà miễn phí và thương lượng trực tiếp với chủ nhà.Lưu ý: Tôi chỉ tiếp khách có nhu cầu mua nhà còn các bạn mời chào đăng tin quảng cáo không gọi làm phiền tôi nhé! Môi giới hay trung gian miễn làm phiền.Xin cảm ơn! Mọi người đã đọc tin của tôi.            ",140 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,33834289,batdongsan_com_vn_33834289,8 m,5 tầng,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Phan Đình Giót']","
Siêu phẩm nhà đẹp cuối tuần.92m², 5 tầng, mt 4.5m giá có 8.5 tỷ.Giá trị của căn nhà mơ ước - ô tô vào nhà - diện tích khủng - nội thất đẹp - giá cấp cứu.Nhà đẹp hàng xóm Ngô Thì Nhậm, Hà Đông, quá hiếm. Dành cho ngày cuối tuần bận rộn.Vị trí nhà thoáng mát, thiết kế 3 mặt thoáng vĩnh viễn. Đường trước nhà rộng rãi thoải mái, oto vào nhà.+ Tầng 1: Sân để xe, phòng khách, bếp, wc.+ Tầng 2,3: Mỗi tầng 2 ngủ, wc khép kín.+ Tầng 4: Phòng thờ, phòng gym, wc.+ Tầng 5: Sân phơi, sân trồng cây.Sổ đỏ chính chủ, đang để ngân hàng cho mới.Khu vực trung tâm sầm uất, gần chợ và trường học. Tiện ích xung quanh đầy đủ.Kiếm đâu ra căn nhà đẹp 92m², 5 tầng giá bèo như vậy.Không mua căn nhà này mua nhà nào đây anh em ơi.Bốc máy lên và gọi ngay cho em thôi nào.            ",92 m²,8.5 tỷ,6 m,Đông - Nam,Sổ đỏ,21/11/2022,01/12/2022,Tin thường,35891134,batdongsan_com_vn_35891134,4.5 m,5 tầng,6 phòng,5 phòng,Đầy đủ,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Thanh Am']","
Thiết kế 4 ngủ 3wc, phòng thờ sân phơi riêng, tầng 1 khách và bếp, có sân để xe máy riêng, thoáng trước và sau, ô tô đỗ cửa vài bước ra đường ô tô tránh tiện ích đầy đủ, có bãi gửi xe trước nhà. Giảm giá bán 4,6 tỷ có gia lộc.LH: 0975 970 *** ",50 m²,4.6 tỷ,,Đông - Nam,Đã có sổ.,26/11/2022,03/12/2022,Tin thường,34503614,batdongsan_com_vn_34503614,,4 tầng,4 phòng,3 phòng,Cơ bản.,Đông - Nam
