address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số toilet,Nội thất,Mặt tiền
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường 422B']","
- Đất dịch vụ Vân Canh gồm 4 khu.+ Khu 1.7ha vị trí mặt đường Trịnh Văn Bô kéo dài.+ KHu 4.5ha vị trí mặt đường vành đai 3.5.+ Khu 6.9ha vị trí cạnh khu đô thị hub ngay đường Trịnh Văn Bô.+ Khu 25ha vị trí cạnh khu biệt thự liền kề An Lạc Green Symphony (cách đường 70 khoảng 150m).- Diện tích các lô đất từ 40m² đến 250m².- Khu vị trí kết nối giao thông cực kỳ thuận tiện: Cách Mỹ Đình khoảng 3km, kết nối với nhiều tuyến đường lớn như, đường vành đai 3.5, đường Trịnh Văn Bô, đường 70, đường Văn Tiến Dũng đường Đại Lộ Thăng Long...- Xung quanh lại nhiều khu đô thị, biệt thự liền kề.- Quy hoạch như khu đô thị đầy đủ tiện ích như: Trường học, vườn hoa, nhà văn hóa, trạm y tế, công viên...- Khu vực rất đẹp quy hoạch như khu đô thị vừa Ở vừa đầu tư rất tốt.- E gửi 1 số lô các khách hàng tham khảo:+ Lô góc 2 mặt tiền 36m² mặt tiền 16m (mặt ngã tư siêu đẹp, KD, xây đua được 50m²).+ Lô 41m² mặt tiền 4.25m.+ Lô góc 52m² mặt tiền 15m.+ Lô 50m² mặt tiền 4m² view vườn hoa.+ Lô 50m² mặt tiền 4.6m mặt đường to 30m.+ Lô 55m² mặt tiền 4.3m view vườn hoa rất hiếm.+ Lô 56m² mặt tiền 5m vị trí trung tâm của khu rất đẹp.+ Lô góc 65m² siêu đẹp.+ Lô 120m² mặt tiền 8m.+ Lô 68m² mặt tiền 4.5m (view vườn hoa).+ Lô 138m² mặt tiền 9m (View vườn hoa).+ Lô 200m² mặt tiền 12m (View vườn hoa).+ Lô 60m² mặt đường 20m.+ Lô 80m² mặt tiền 6m.+ Lô 72m² mặt tiền 4.6m mặt đường 30m siêu kinh doanh.+ Lô 55m² mặt tiền 5m mặt đường 16m.+ Lô góc 90m² mặt đường 16m.+ Lô 100m² mặt tiền 5.8m siêu đẹp xây biệt thự đỉnh.+ Lô góc 52m² mặt đường Trịnh Văn Bô.+ Lô góc 68m² mặt đường Trinh Văn Bô đường 60m siêu đẹp.+ Lô 70m² mặt tiền 5.8m mặt đường 60m vỉa hè 7m siêu KD(mặt đường Trịnh văn Bô kéo dài).+ Lô 48m² mặt tiền 4m mặt đường 60m vỉa hè 7m siêu KD (mặt đường Trịnh văn Bô kéo dài).- Https://datnenhoaiduc.net/- Đầy đủ các diện tích, tầm tài chính nào cũng có, giá hợp lý nhất thị trường.- Liên hệ Mr. Hải 0933 638 ***liên hệ Zalo để nhận thêm nhiều lô đẹp).- Giá cạnh tranh, đầu tư.- Sổ đỏ chính chủ.            ",50 m²,71 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35075144,batdongsan_com_vn_35075144,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'số 48', 'Viwaseen Tower']","
Căn chung cư nằm trong dự án của Viwaseen. Thiết kế hiện đại, sạch sẽ thoáng mát.- Đã có sổ đỏ.- Căn góc tầng 18, view tầng trung cực chill.- Đầy đủ bể bơi, phòng gym, trung tâm thương mại, vvv.- Cạnh 2 công viên lớn cách nhà 300m.- Cách khu siêu thị Big C 1,5km.- Đối diện bến xe bus nhanh BRT.- Cách trường THPT amsterdam 1,5km.- Cách trung tâm Hội nghị Quốc gia 1,5km.- Cách trung tâm Chiếu phim Quốc gia 4km.- Cách sân vận động Mỹ Đình 5km.- Cách bến xe Mỹ Đình 5,5km.- Cách Thiên Đường Bảo Sơn 10km.- Gần bệnh viện Y Học Cổ Truyền.Liên hệ: 0357 075 *** ",134.4 m²,40 triệu/m²,,Đông - Nam,,3 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,03/12/2022,Tin Vip 1,35871981,batdongsan_com_vn_35871981,,2 phòng,Đầy đủ,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Chủ nhà chuyển công tác cần bán gấp căn hộ 3 phòng ngủ tại The Terra An Hưng, Khu đô thị mới An Hưng, Dương Nội, Hà Đông, Hà Nội.LH: 0966 555 ***- Căn hộ tầng 12 toà 103, Diện tích: 115m².+ Thiết kế gồm: 3 phòng ngủ, 2 nhà vệ sinh, 1 ban công Đông Nam.+ Nội thất gỗ An Cường, sàn gỗ, trần thạch cao, điều hoà, thiết bị điện, thiết bị vệ sinh cao cấp...+ Tiện ích đầy đủ, phòng tập gym, spa, siêu thị, bể bơi...- Giá bán chỉ 3,05 tỷ.+ Pháp lý sổ đỏ chính chủ sở hữu lâu dài.Anh chị có nhu cầu liên hệ xem nhà: 0966 555 *** ",115 m²,3.05 tỷ,,Tây - Bắc,,3 phòng,Sổ đỏ,24/11/2022,04/12/2022,Tin Vip 1,35942105,batdongsan_com_vn_35942105,Đông - Nam,2 phòng,Nội thất hoàn thiện đầy đủ,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', 'Dự án Hateco Laroma']","
Căn hộ cao cấp thuộc chung cư Hateco Laroma của chủ đầu tư Hateco Thăng Long thuộc tập đoàn Hateco.* Với vị trí đắc địa, nằm trên đường Huỳnh Thúc Kháng kéo dài, con đường mới sẽ thông từ ngã tư Huỳnh Thúc Kháng đến đền Voi Phục công viên Thủ Lệ. Cạnh các trường đại học danh tiếng: Đại Học Ngoại Thương, ĐH Ngoại Giao, Luật.- Hateco Laroma là 1 trong số những dự án hiếm có tại Hà Nội cam kết 1 chỗ đỗ xe oto (ghi rõ trong HĐMB).- SỔ sở hữu lâu dài, có thông báo làm sổ ngay sau khi nhận bàn giao nhà.Các căn hộ cao cấp từ 2 ngủ đến 3 ngủ + 1:- 2 ngủ, 2 ngủ + 1 với diện tích: 81m² - 100m².- 3 ngủ, 3 ngủ + 1 có diện tích: 103m² - 138m².* Tất cả căn hộ đều được thiết kế theo phong cách hiện đại, chủ đầu tư đã trang bị toàn bộ nội thất cao cấp đến từ các thương hiệu lớn trên thế giới: Grohe, Boss, bravat, hafele, chi tiết đến từng hệ thống tủ quần áo, tủ giầy, tủ bếp, điều hòa âm trần Multi, báo cháy điểm từng phòng, tất cả hòa quyện tạo nên tuyệt tác đẳng cấp mang dấu ấn Hoàng Gia.* Chính sách khủng khi mua căn hộ tại dự án Hateco Laroma:+ Miễn 2 đến 3 năm phí dịch vụ.+ Qùa tặng tân gia từ 115 tr - 145 tr.+ Chiết khấu ngay 5% khi thanh toán sớm 95%, tương đương với mức chiết khấu từ 330 tr - gần 500 tr/căn.+ Hỗ trợ lãi suất 12 tháng cho 65% của tổng giá trị căn hộ.* Tiện ích 5 *: 6 tầng TTTM, Hầm rượu cao cấp, nhà hàng Á - âu, VP hạng A, gym, spa vip, trường mầm non quốc tế, bể bơi, bể sục, café, sân chơi, bãi đỗ xe thông minh.Liên hệ ngay để đăng ký lên xem căn hộ thực tế và nhận báo giá trực tiếp từ CĐT. Hotline: 0942 421 *** ",103 m²,80 triệu/m²,,,,3 phòng,,22/11/2022,02/12/2022,Tin Vip 1,35524915,batdongsan_com_vn_35524915,,2 phòng,Full nội thất liền tường.,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị']","
Diện tích 108m - Nhà xây dựng 95m  - 5 tầng - 1 trệt làm gara oto cách Hồ Tây 100m Tầng 2 trở lên mỗi tầng 2 phòng, một vệ sinh , từng tầng đều có ban công chung ra ngoài. Sẵn Giếng trời - cầu thang lắp được thang máy.Nhà hai mặt bám theo phố Võng Thị gần 20m Giá 22,5 tỷ ( thương lượng )0986311598            ",108 m²,22.5 tỷ,,,,,,24/11/2022,04/12/2022,Tin Vip 1,35941320,batdongsan_com_vn_35941320,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Nguyễn Khuyến']","
Chính chủ bán nhà 4 tầng, liền kề KĐT Văn Quán, DT 75m² 3 mặt thoáng- Địa chỉ: Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội- Diện tích: 75m² mặt tiền 6.5m nở hậu- Giấy tờ pháp lý đầy đủ, sang tên nhanh chóng- Nhà được thiết kế hiện đại, gồm 4 tầng, mỗi tầng có thể làm thành 3 phòng ngủ, cửa sổ các phòng thoáng sáng mát mẻ. Nội thất đẹp, khách chỉ việc xách vali về ở.- Tiện ích đủ thứ: gần hồ văn quán, Cây xanh. Cực gần các phố Nguyễn Khuyến, Dương Lâm, 19/5, gần Chợ , trường học, sân bóng, nhà văn hoá... gần bệnh viện Quân Y 103, bệnh viện 16A Thiên Đức, nhà vừa ở vừa kinh doanh, khu vực kinh doanh sầm uất.- Giá bán: 7,9 tỷLiên hệ chính chủ: *** QuânKHÔNG TIẾP QC, ĐỪNG LÀM PHIỀN            ",75 m²,7.9 tỷ,,,4 tầng,10 phòng,,24/11/2022,01/12/2022,Tin Vip 1,35940979,batdongsan_com_vn_35940979,,,,6.5 m
"['Hà Nội', 'Đống Đa', 'Phường Phương Mai', 'Phố Xã Đàn', 'Số 62 ngõ 242']","
Tôi cần bán lô nhà xây mới ngõ 242 Xã Đàn, Đống Đa. Diện tích sổ từ 32m² - 45m² xây dựng 5 tầng mới đẹp long lanh, sân cổng riêng để xe rộng 15m².- Thiết kế cực kỳ hiện đại, cách phố chỉ 50m.+ Tầng 1: Phòng khách, bếp ăn, wc phụ.+ Tầng 2 + 3 + 4: Mỗi tầng 1 phòng ngủ rộng thoáng, wc riêng biệt.+ Tầng 5: Phòng thờ, sân phơi, khu giặt.Nhà xây mới tinh đẹp long lanh nội thất hiện đại với sàn gỗ, tủ bếp gỗ Sồi, cầu thang tay vịn gỗ Lim, thiết bị vệ sinh Linax, điện nước đầy đủ riêng biệt.Ngõ trước nhà thông thoáng 2 xe máy tránh nhau, tiện đi lại gần cách Lê Duẩn, Xã Đàn. Gần chợ, Cách các Trường Đại Học Bách - Kinh - Xây 2km.- Sổ đỏ chính chủ. Giá bán: 4,5 tỷ (có thương lượng), chấp nhận trung gian.- Liên hệ: Chính chủ 0888 798 *** ",45 m²,4.5 tỷ,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35187054,batdongsan_com_vn_35187054,,4 phòng,,5 m
"['Hà Nội', 'Hoài Đức', 'Xã An Thượng', 'Đường Đại lộ Thăng Long', 'Dự án Hado Charm Villas']","
Bán Biệt thự song lập Hà Đô CharmVillas!Căn vip: 180 m² - Hướng nhà Đông Nam.Xây thô 3 tầng, hoàn thiện mặt ngoài CĐT.Vị trí trước, sau là công viên hồ trung tâm.Vô cùng lý tưởng mua đầu hay ở thời điểm Giá bằng như HĐMB ký cách đây 12/2020.Giá ban: 16tỷ (Bao toàn bộ phí sang tên).LH: Em Đạt 0978 764 *** em Đạt đang cầm chìa khoá xem nhà 24/7).            ",180 m²,16 tỷ,12 m,Đông - Nam,3 tầng,5 phòng,,24/11/2022,04/12/2022,Tin Vip 1,35940666,batdongsan_com_vn_35940666,Đông - Nam,3 phòng,,9 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Tổng hợp quỹ căn giá tốt nhất vinhome smart city.Khu S1, S2, S3, S4, Imperia, Sa, Gs.Căn studio (28 - 32m²) bán từ 1 tỷ 1250 - 1 tỷ 350.Căn 1PN (37m²) giá 1 tỷ 530 tỷ.Căn 1PN + 1 (43m - 48m²) giá 1 tỷ 580 - 1 tỷ 750.Căn 2PN + 1WC (55m²) giá 2 tỷ 050 - 2 tỷ 350.Căn 2PN 2WC (55m²) giá 2 tỷ 050 - 2 tỷ 400.Căn 2PN + 1 2WC (64m²) giá 2 tỷ 600 - 2 tỷ 800.Căn 3PN (75m - 104 m²) giá 3 tỷ - 4 tỷ 1.Tư vấn đi xem nhà liên hệ ngay: 0948 992 *** Lê Nhẫm Vinhomes.            ",54 m²,40 triệu/m²,,,,2 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 1,35940630,batdongsan_com_vn_35940630,,1 phòng,,
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Tứ Liên']","
Chính chủ cần chuyển nhượng mảnh đất có nhà Tứ Liên, Tây Hồ đẹp, vuông vắn, nở hậu nhẹ.122,4m², mặt tiền rộng 8m, 2 mặt thoáng trước và sau, ở vị trí đắc địa phố Tứ Liên.Ngõ rộng ô tô vào tận nơi, cách mặt phố chỉ 1 nhà, các nhà phía trước và bên là các căn biệt thự, đều xây thụt vào có sân nên rất thoáng.Có thể xây dựng biệt thự hoặc căn hộ 7 - 8 tầng cho thuê đều rất đẹp.Sổ đỏ mới đo vẽ cấp mới, quy hoạch là vùng dân cư lâu dài, đất xung quanh khu vực sạch sẽ không có nghĩa trang, đền thờ... Khu dân trí cao, chỉ 2 phút là ra tới Hồ Tây và vào trung tâm.Có tặng nhà cấp 4, đất và nhà y ảnh.Giá: 15 tỷ có gia lộc.LHCC 0913 571 *** ",122.4 m²,15 tỷ,,,,,Sổ đỏ,24/11/2022,04/12/2022,Tin Vip 1,35646572,batdongsan_com_vn_35646572,,,,8 m
