address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Đường vào,Nội thất
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Thạch Bàn']","
Bán nhà Thạch Bàn Long Biên.Vị trí đỉnh nằm trên đường Thạch Bàn, gần Aeon Long Biên Vinhome Riverside Long Biên khu vực cực kỳ phát triển xung quanh là trường học gần tuyến đường huyết mạch Nguyễn Văn Linh, Đàm Quang Trung về trung tâm thủ đô.Thiết kế hiện đại.- Tầng 1: Gara ô tô.- Tầng 2: 1 phòng rộng và phòng ăn.- Tầng 3 + 4 + 5: 4 phòng + vs khép kín.- Tầng 6: Phòng thờ + sân phơi.- Tầng 7: Tum.Liên hệ em Minh 0366 300 *** ",68 m²,7.15 tỷ,5.5 m,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,35947243,batdongsan_com_vn_35947243,7 tầng,5 phòng,,5 m,Tặng nội thất.
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Đường Trường Chinh']","
SIÊU HIẾM  SIÊU NÓNG  CHỦ BÁN GẤP TRONG TUẦN.BÁN GẤP TÒA NHÀ HOA HẬU VĂN PHÒNG 5 TẦNG, MẶT PHỐ THÁI HÀ - VỊ TRÍ ĐẸP VỈA HÈ 5M  Giá LH: 0973 173 *** Diện tích: 61.5 m².Thực Tế xây 70m². Mặt tiền: 5.5m . Xây  5 tầng thang máy, nội thất hiện đại.Vị trí: Mặt Phố Thái Hà , Trung tâm kinh doanh đỉnh, đoạn đẹp nhất phố. Khu Hiếm nhà bán. Nhà phù hợp TẤT TẦN TẬT Các mục đích, vừa ở vừa Kinh Doanh thì khỏi bàn, tiền ít thịt nhiều, dòng tiền cố định hàng tháng.Nhà thiết kế 5 tầng , có ban công từ tầng 2 , phía sau nhà có khe thoáng , Tầng 1 thông sàn và WC , Tầng 2 Phòng khách  rộng, Wc , phòng Văn Thư: Các tầng còn lại tổng 4 phòng ngủ , phòng thờ, sân phơi đầy đủ. Chủ cần tiền nên bán Gấp , Giá bán trong tuần , khách nhanh thì còn. Đặc biệt ưu tiên khách gọi trực tiếp sẽ được ưu đãi nhiều về tài chính. Giá bán nhanh :. 27 Tỷ ( Có thương lượng)LH :  0973 173 ***  . em Tặng   làm việc Chính Chủ và hỗ trợ tất tần tật về thủ tục mua bán, xem nhà, pháp lý. Đảm bảo chuẩn thông tin 100%            ",62 m²,27 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,04/12/2022,Tin thường,35959761,batdongsan_com_vn_35959761,5 tầng,4 phòng,6 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
Bán nhà mặt phố hot Quận Thanh Xuân vị trí trung tâm ở mặt phố Nhân Hoà - 8 tầng thang máy + DT khủng 126m² + mặt tiền khủng 8.5m.+ Vị trí nhà nằm giữa chợ giao Vũ Trọng Phụng và Nhân Hoà gần chợ trường học kinh doanh đỉnh xung quanh là các trường học, đại học các toà nhà văn phòng và chợ thuốc lớn nhất Hà Nội xung quanh là các phố hót Ngụy Kon Tum, Vũ Trọng Phụng, Nguyễn Trãi, Lê Văn Lương.. Vv.Nhà thiết kế hiện đại gồm:+ Hầm để xe rộng rãi.+ Tầng 1,2,3 Thông sàn kinh doanh cho thuê làm văn phòng.+ Tầng 5,6,7,8 gồm 18 phòng cho thuê Cao cấp và không gian sân vườn.Liên hệ em Minh 0366 300 *** ",126 m²,32.5 tỷ,8.5 m,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35945827,batdongsan_com_vn_35945827,8 tầng,18 phòng,,8 m,Tặng nội thất 
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Thái Hà']","
- Chủ cần bán nhanh căn nhà 6 tầng cho khách nhanh tây hữu duyên - DT sổ 115 m² - MT 5.5m. Nhà xây 6 tầng lô Góc. Giá nhỉnh 200Tr/m²( Có thương lượng).- ACE Nhanh tay lên. Vị trí đẹp, xây Tòa văn phòng thì khỏi bàn... Căn nhà toạ lạc trên con phố VIP nhất nhì quận Đống Đa . Ngõ Thái Hà cách mặt phố Thái Hà   chỉ 25mét. Đường vào nhà ngõ ô tô thẳng tắp, ô tô vào nhà vị trí KD văn phòng cho thuê kinh doanh online , Spa hoặc trung tâm giáo dục  thì tuyệt đẹp.  Không gian sống cực kì sướng, sân vườn, khu cư dân toàn cán bộ, tri thức, dân trí cao.  Sổ đỏ 1 chủ, giao dịch luôn. Lô góc 2 mặt Đường.- Thông tin chi tiết: Liên hệ em Tặng.: 0973 173 *** ( Để xem nhà miễn phí và gặp trực tiếp Chủ nhà)            ",115 m²,23 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,04/12/2022,Tin thường,35959665,batdongsan_com_vn_35959665,6 tầng,4 phòng,6 phòng,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
Toà nhà văn phòng cho thuê - mặt tiền khủng - gara - thang máy - ô tô tránh - kinh doanh - trung tâm - dòng tiền khủng.Vị trí cực đẹp trung tâm quận Đống Đa nằm trên phố víp Hoàng Cầu giao thông đỉnh tập trung nhiều văn phòng khu vực đại gia sinh sống xung quanh toàn phố víp Ô Chợ Dừa, Thái Hà, Yên Lãng, Mai Anh Tuấn... Khu vực hiếm nhà bán.- Thiết kế hiện đại, thang máy đời mới, thiết bị điều hoà âm trần, nội thất cao cấp.+ T1,2,3,4: Thông sàn (cho thuê VP).+ T5: Thông sàn + WC.+ T6: Chia 4 phòng ngủ + WC.+ T7: Phòng thờ tiểu cảnh sân vườn.Liên hệ em Minh 0366 300 *** ",82 m²,19.2 tỷ,8 m,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin thường,35934503,batdongsan_com_vn_35934503,7 tầng,4 phòng,,6 m,Tặng nội thất.
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Đỗ Quang']","
Chủ nhà nhiều tài sản, bán nhà chuyển lên chung cư cao cấp Thăng Long Number One ở cùng con Trai, chăm cháu.- Vị trí nhà nằm mặt ngõ vắng, nhà phân lô xung quanh toàn công chức nên ỏ khá Yên Tĩnh, Ngõ thông, đường trước nhà Ô Tô Tránh nên đi lại Thuận Tiện.- Nhà dân chủ tự xây để ở nên chắc chắn, nhà đẹp, ở sướng, phù hợp gia đình đông người:+ Tầng 1: Gara ô tô + phòng ăn, WC.+ Tầng 2: Phòng khách rộng + WC.+ Tâng 3: 1 phòng ngủ Master và 1 phòng nhỏ + WC.+ Tầng 4: 2 phòng ngủ khép kín, thoáng.+ Tầng 5: Phòng ngủ rộng và phòng tập Gym.+ Tầng 6: Phòng karaoke và sân vườn tiểu cảnh.+ Tầng 7: Phòng thờ, sân phơi và thiết bị.- Sổ đỏ chính chủ đẹp, giao dịch được ngay.- Liên hệ: 0973 173 *** Mr Tặng để làm việc chính chủ.            ",86 m²,28.5 tỷ,,Sổ đỏ,22/11/2022,30/11/2022,Tin thường,35501645,batdongsan_com_vn_35501645,7 tầng,6 phòng,6 phòng,,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Trường Chinh']","
- Nhà nằm trong khu phân lô liền kề chỉ có chưa đến 18 hộ, yên tĩnh dân trí cao, phù hợp để ở hoặc làm văn phòng công ty.- Nhà nằm trên con ngõ đẹp nhất phố Trường Chinh, giao thông kết nối các phố Láng, Tây Sơn, Nguyễn Trãi, Tôn Thất Tùng, Lê Trọng Tấn, Giải Phóng.- Diện tích 145 (m²) đủ trong sổ, xây tụt vào tầm 15 m² làm sân để xe, khách mua về xây hết đất thoải mái, mặt tiền rộng 5.6 m, ô tô 7 chỗ vào nhà thoải mái, đi lại cực kỳ thuận tiện.- Sổ đỏ sẵn sàng sang tên cho khách mua.- Gía chào 18.6 tỷ. (Còn thương Lượng).- Liên hệ: 0973 173 *** Mr Tặng.            ",145 m²,18.6 tỷ,,Sổ đỏ/ Sổ hồng,24/11/2022,02/12/2022,Tin thường,33943242,batdongsan_com_vn_33943242,4 tầng,5 phòng,5 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Chủ là đại tá quân đội cần bán gấp nhà Hoàng Văn Thái - ô tô tránh - phân lô - an sinh đỉnh.Mô tả:Vị trí: Nhà nằm vị trí quá đẹp, ngõ văn minh, thẳng tắp, sạch xẽ xung quanh hàng xóm toàn là cán bộ cao cấp, an sinh đỉnh.Nhà dân chủ tự xây được 5 năm, nội thất cơ bản mới, thiết kế hiện đại, nhà 2 thoáng, có gara ô tô.- T1: Gara, ô tô, P khách, bếp, WC.- T2, T3: Tầng 2 ngủ, WC.- T4: 1 phòng ngủ to + 1 phòng ngủ thiếu nhi.- T5: Phòng thờ, sân phơi.Sổ đỏ phân lô vuông vắn, sàng giao dịch.Giá chào: 14.3 tỷ. (Có thương lượng).Liên hệ: 0973 173 *** Mr Tặng.            ",108 m²,14.3 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,04/12/2022,Tin thường,34510369,batdongsan_com_vn_34510369,5 tầng,5 phòng,6 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nam Trung Yên']","
Chính chủ bán  gấp  nhà tại KĐT Trung Yên - Cầu Giấy. Nhà dân chủ tự xây nay có việc gia đình cần bán gấp- Vị trí trung tâm Cầu Giấy. Kết nối giao thông thuận tiện với các tuyến phố Trung Kính, Nguyễn Chí Thanh, Vũ Phạm Hàm.- Diện tích 105m (thực tế 115m), nhà thoáng trước sau. Đường trước nhà ô tô tránh. Vỉa hè rộng 4m , xung quanh kinh doanh sầm uất  các mặt hàng dịch vụ- Tòa nhà 6 tầng thang máy, thiết kế hiện đại, thông sàn các tầng 1 , tầng 2 ( Hiện đang cho thuê 45 triệu/ Tháng)- Hệ thống thang máy nhập khẩu 550kg với 6 điểm dừng , điều hòa âm trần và thiết bị âm tường nhập khẩuPhù hợp với ai vừa ở vừa làm văn phòng. Kinh doanh Online , Trung tâm giáo dục..-  Sổ đỏ chính chủ.- Giá  chào : 31.5  tỷ ( có thương lượng)- Liên hệ: 0973 173 *** em Tặng để xem nhà và làm việc chính chủ            ",105 m²,31.5 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,04/12/2022,Tin thường,35961948,batdongsan_com_vn_35961948,6 tầng,4 phòng,7 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Trung Yên']","
Chính chủ là doanh nhân thành đạt, nhiều tài sản cần bán bớt nhà Mặt phố Trung Yên, cực đẹp,- Nhà nằm khu đô thị Trung Yên, không khí trong lành, nhiều cây xanh bao phủ quanh năm, Xung quanh khu vực Siêu Thị, Trường học, Các dịch vụ nhà Hàng Ăn uống nằm ở Trục Chính tiện ích không thiếu gì.- Đường trước nhà 3 ô tô tránh nhau, đi lại các nơi từ Trung Kính, Vũ Phạm Hàm, Nguyễn Khang, Trần Duy Hưng đều rất tiện.+ Thiết kế nhà hiện đại, khách mua về ở luôn:- Tầng 1: Gara ô tô, phòng khách, bêp.- Tầng 2: 1 Phòng khách nhỏ, 1 phòng ngủ và WC.- Tầng 3: 2 Phòng ngủ có WC khép kín.- Tầng 4: 1 Phòng Master và 1 phòng ngủ nhỏ.- Tầng 5: 1 Phòng Yoga, 1 Phòng thờ, sân phơi để đồ.+ Sổ đỏ chính chủ, giao dịch ngay.+ Liên hệ: 0973 173 *** Mr Tặng để làm việc chính chủ.            ",125 m²,29.8 tỷ,6 m,Sổ đỏ/ Sổ hồng,20/11/2022,28/11/2022,Tin thường,34209890,batdongsan_com_vn_34209890,5 tầng,5 phòng,6 phòng,,
