address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Hướng ban công,Số tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Nguyễn Xiển', 'Ngõ 214']","
Chỉ 17 tỷ biệt thự sân vườn thoáng rộng - giá cực hợp lí giữa trung tâm Thanh Xuân quận - khu dân trí cao cây xanh ở siêu thích.Diện tích 158m²*4T, mặt tiền 9m, hầm gara 2 ô tô.- Biệt thự sân vườn với diện tích rộng mặt tiền lí tưởng xây full diện tích cực hiếm Thanh Xuân Quận.- Khu vực đỉnh cao toàn cán bộ cao cấp Thứ Trưởng, Bộ Trưởng, Chủ Tịch về hưu được cấp đất tự xây đều là các thửa đất đẹp đất lành chim đậu, an sinh tuyệt đỉnh.- Xung quanh giao thông cực thuận tiện gần UBND phường, trạm y tế, trụ sở công an phường, trường học, siêu thị, nhà thuốc, thông tứ tung khắp ngã, gần ngay đoạn ngã tư Khuất Duy Tiến.- Gia đình cô chú cán bộ quản chức to đã về hưu nhà ở vượng lộc an ninh tuyệt đối, không khí trong lành mát mẻ không gian sống tuyệt phẩm.- Nhà xây 4 tầng thiết kế kiểu biệt thự Pháp cổ, vừa hiện đại vừa cổ kính, thoáng trước sau, ban công cây xanh thoáng mát. Hầm gara rộng.- Sổ đỏ chính chủ, đẹp như hoa hậu, cất két.- Giá: 17 tỷ (có thương lượng, rất thiện chí bán).- Liên hệ: Hà Hồng 0348*180*668 - zalo. Xin cảm ơn!            ",158 m²,17 tỷ,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,35633062,batdongsan_com_vn_35633062,,6 phòng,5 phòng,,9 m,,,4 tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé', 'Dự án Sunshine Garden']","
- Chính chủ cần tiền bán giá tốt cho khách thiện chí.Nhà đẹp mới như chủ đầu tư bàn giao.- Tầng 10, cam kết rẻ nhất thị trường.- Tầng trung hướng ban công ĐN.- Liên hệ em: 0968 535 *** ",100 m²,3.6 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35050308,batdongsan_com_vn_35050308,Tây - Bắc,3 phòng,2 phòng,CĐT,,,Đông - Nam,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Chính chủ cần bán lại căn hộ có đặc điểm như sau:- Diện tích: 105m².- Thiết kế: 03 phòng ngủ - 02 vệ sinh.- Hướng: Cửa vào Tây Nam - Ban công Đông Bắc. View bể bơi, nội khu cực thoáng mát.Giá bán: 5,3 tỷ.Liên hệ xem nhà: 0948 022 ***Mr Thọ).            ",105 m²,5.3 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35912543,batdongsan_com_vn_35912543,Tây - Nam,3 phòng,2 phòng,,,,Đông - Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
Chính chủ bán liền kề Geleximco Lê Trọng Tấn - Hà Đông - 164m².- Nhà nằm trong khu D Geleximco Lê Trọng Tấn, khu vực được quy hoạch phân lô rõ ràng, mặt đường lớn, vỉa hè rộng, nhiều canh xanh.- Nhà nằm gần đường chính Lê Trọng Tấn, xây thô, cách Aeonmall Hà Đông 1km, Thiên đường Bảo Sơn 1km, đường Quang Trung 2km, vị trí rất đẹp giao thông đi các ngả thuận tiện.- Thiết kế 4 tầng, mặt tiền 7.65m kinh doanh thỏa mái luôn.- Sổ đỏ chính chủ sẵn sàng giao dịch.- Liên hệ: 0984 260 *** E. Thắng.            ",164 m²,16 tỷ,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,33365634,batdongsan_com_vn_33365634,,,,,7.65 m,,,4 tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Quan Nhân']","
Gia đình chúng tôi cần bán lại nhà, để lại toàn bộ nội thất.Vị trí: Ngõ to rộng ô tô 4 chỗ qua nhà.- Gần các trục đường lớn Lê Văn Lương, Vũ Trọng Phụng, Quan Nhân, Nhân Hòa, Hoàng Ngân.- Xung quanh nhiều chung cư, tòa văn phòng, tiện ích đầy đủ.- Gần Đại học Tự Nhiên, Nhân Văn, Ngoại Thương, Luật, LĐXH.Nhà dân xây thiết kế tâm huyết, cực kì chắc chắn.Lô góc thoáng sáng, tất cả các phòng có cửa sổ.Nhà đầy đủ phòng khách, bếp, 4 phòng ngủ, phòng thờ, sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Giá bán 4.7 tỷ thương lượng cho khách thiện chí.Liên hệ xem nhà Mr Hoàng SĐT 0964 005 *** ",38 m²,4.7 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35987335,batdongsan_com_vn_35987335,,4 phòng,3 phòng,Cơ bản,4 m,3 m,,4 tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung', 'Ngõ 61']","
- Vị trí đắc địa trung tâm quận Hai Bà Trưng, tiện ích đủ đường, trường chợ ngay gần nhà, gần Times City, sau Quy hoạch tương lai rạng ngời.- Nhà nằm ngay trên trục ngách 22 ô tô tránh vỉa hè cực đẹp, khu vực dân trí văn minh.- Nhà thiết kế rất hài hoà hợp lý, để lại khe thoáng phía sau rất thoáng sáng, khách chỉ việc xác Vali về ở đón Tết.- Tầng 1: Gian kinh doanh + Bếp + WC.- Tầng 2: Phòng Khách + Phòng ngủ + WC.- Tầng 3: 2 phòng ngủ + WC.- Tầng 4: Phòng thờ + Sân phơi.- Chủ nhà kinh doanh giàu có nhiều nhà bán bớt.- Sổ đỏ chính chủ.- Giá: 13 tỷ (có thương lượng).- Liên hệ: Lê Đình Phúc 0979 934 ***. Hỗ trợ miễn phí, giao dịch chính chủ, cam kết không kênh giá.            ",65 m²,13 tỷ,,30/11/2022,07/12/2022,Tin thường,35987328,batdongsan_com_vn_35987328,,,,,,,,4 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'đường Mỹ Đình']","
Bán nhà Mỹ Đình Lê Đức Thọ đơn lập mới lung linh 10m ô tô tránh 42m² x 4T 4,2 tỷ.- Ngõ nông, rộng, thoáng; vài bước chân ra ô tô tránh, gara ô tô la liệt.- Kết nối Mỹ Đình, Lê Đức Thọ, Mễ Trì; đối diện SVĐ Mỹ Đình, Big C Garden, BV Hồng Ngọc.- Nhà mới lung linh, 4T 4 PN siêu rộng thoáng, nội thất trẻ trung cực bắt mắt.- Sổ đỏ chính chủ sẵn sàng trao tay.- Khách hàng mua nhà Mỹ Đình, Lê Đức Thọ vui lòng liên hệ anh Lãm thổ cư gặp chủ xem nhà 24/7, miễn trung gian môi giới.            ",42 m²,4.2 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35987330,batdongsan_com_vn_35987330,,4 phòng,3 phòng,Đầy đủ,,,,4 tầng
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Mua nhà chung cư Hà Nội ngay tại nội thành.Có một khu vườn thẳng đứng giữa lòng Hà Nội.Giữa trái tim thủ đô, nổi bật một không gian sống sinh thái ngập tràn, với những khu vườn tràn ngập sắc xanh ngay hiên nhà.Những khối kính trong suốt như lát cắt kim cương kết hợp với sắc xanh dịu dàng, tinh khôi, Green Diamond là món quà quý hiếm dành riêng cho những chủ nhân đam mê cái đẹp và sự đẳng cấp.Nơi đón ánh bình minh trong trẻo.Là dự án độc tôn sở hữu 100% căn hộ có từ 2 ban công trở lên, tối ưu đón gió và nắng, đối lưu không khí. Hướng tầm view ra bộ đôi ngọc xanh hồ Đống Đa và hồ Thành Công.Mỗi ban công được CĐT bàn giao như một khu vườn với 3 mặt thoáng, được trồng xen kẽ các tầng cây xanh: Hoa giấy, ngọc bút, mẫu đơn, dứa vạn phúc... Và trang bị hệ thống tưới nước nhỏ giọt tự động.Nơi chilling phong cách ""home resort"".Là nơi Refresh lại năng lượng, thanh lọc cơ thể với tổ hợp tiện ích bể bơi 4 mùa công nghệ điện phân muối sản sinh ion âm; Bể sục; Gym; Spa; Yoga; Massage Sauna...Tận hưởng cuộc sống tiện nghi ngay ngưỡng cửa với tiện ích đặc quyền: Sân golf 4D; TTTM, Nhà trẻ; Khu vui chơi trẻ em...Nơi bắt trọn nhịp sống thành thị năng động.Nắm giữ tọa độ Vàng trên tuyến phố tài chính Láng Hạ - trung tâm Q. Đống Đa, Green Diamond lưu giữ những giá trị văn hóa và lịch sử giữa Hà Nội ngàn năm văn hiến và đáp ứng giá trị sống tiện nghi, đẳng cấp nhất: Rạp chiếu phim Quốc gia, CV hồ Thành Công, CV hồ Thủ Lệ, ĐH Ngoại thương, HV Ngoại Giao, HV Ngân hàng, ĐH Luật...-------Mua nhà chung cư Hà Nội ngay.Csbh mở bán quỹ căn đầu tiên:Htls 0%/6 tháng tối đa 65% gtch.Ck 2,7% gtch cho kh không vay.Nhận nhà Q4/2022.----Green Diamond kiệt tác xanh giữa nội đô văn hiến.Mua nhà chung cư Hà Nội - Hotline: 0986 330 *** ",92 m²,7.2 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35463654,batdongsan_com_vn_35463654,,2 phòng,2 phòng,Nội thất cao cấp,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Ngân']","
Chủ cần vốn thanh khoản gấp tòa nhà văn phòng phố Hoàng Ngân tầng hầm cực rộng - mặt tiền khủng vỉa hè 2 bên ô tô dừng đỗ 24/24.Diện tích 106m², xây 1 hầm 7 nổi - khu dân trí cao - hiệu suất thuê tốt 135tr/tháng.- Vị trí đắc địa, xung quanh là tòa nhà văn phòng, kinh doanh cafe, siêu thị, hàng ăn, spa, trung tâm anh ngữ.- Anh chị học kiến trúc tự xây 7 tầng rất chắc chắn 1 hầm rộng mênh mông, 7 tầng nổi. Thiết kế hiện đại điều hòa âm trần, thang máy chạy vù vù. Thiết bị nội thất 100% nhập ngoại.- Hiện tại đang cho văn phòng và trung tâm anh ngữ thuê hiệu xuất 135tr/ tháng kết nối các phố Nguyễn Thị Định, Đỗ Quang, Trần Duy Hưng, Lê Văn Lượng.- Sổ đỏ chính đủ, đủ GPXD, bản thiết kế, hệ thống PCCC, hình ảnh video trong quá trình thi công.- Giá: 38 tỷ (Có thương lượng, thiện chí bán).- Liên hệ: Hà Hồng 0348 180 ***Xin cảm ơn.            ",106 m²,38 tỷ,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,35957697,batdongsan_com_vn_35957697,,,,Thiết bị nội thất 100% nhập ngoại.,,,,7 tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
Chính chủ cần bán tòa nhà siêu hiếm mặt phố Lê Trọng Tấn, DT rộng MT lớn, đường to vỉa hè rộng KD bất chấp thang máy. Dòng tiền 200tr/ tháng. An sinh đỉnh view VIP.+ DT: 185m²*8 tầng (thông sàn KD + đặc biệt có phòng hội trường).+ PL: Sổ đỏ CC giao dịch phút mốt.+ Giá: 63 tỷ có TL.+ Tiện ích: Mặt phố chả thiếu thứ gì, gần trường học các cấp, chợ, siêu thị, BV Bưu Điện, sân tập golf quân đội, bảo tàng Phòng Không Không Quân, TTTM Artemiss, TTTC sự kiện Trống Đồng Palace. Di chuyển thuận tiện qua các phố lớn Trường chinh, Chùa Bộc, Nguyễn Trãi,...+ LH: E Hà để được tư vấn tận tình hỗ trợ mua nhà giá tốt miễn TG.            ",185 m²,63 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35238000,batdongsan_com_vn_35238000,,,,,,,,8 tầng
