address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số phòng ngủ,Nội thất,Hướng ban công,Số toilet,Đường vào
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Dự án Khai Sơn City']","
Bán căn chung cư view hồ điều hòa 119 m², tầng cao, giá rẻ: LH 0986 664 ***- Diện tích 119m², với căn 3PN, thiết kế tối ưu, 2 ban công, phòng nào cũng có ánh sáng.- Căn góc đẹp, view hồ điều hòa.- Gần Phố Cổ, gần các TTTM lớn, gần sân bay Nội Bài.- Mua GĐ 1 để được căn và giá đẹp nhất.Lh xem căn hộ: 0986 664 *** ",119 m²,42 triệu/m²,Tây - Bắc,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,34446228,batdongsan_com_vn_34446228,,3 phòng,,Đông - Nam,2 phòng,
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Tứ Liên']","
- Nhà 6 tầng xây mới diện tích 100m² mặt tiền 6m thiết kế thông sàn, thang máy nhập khẩu. Nội thất sang trọng tinh tế đầy đủ tiện nghi, phù hợp làm văn phòng - kinh doanh.- Vị trí đường thông thoáng, đường trước nhà rông 8m ô tô dừng đỗ ngày đêm. Kết nối giao thông với đường Âu Cơ, Nghi Tàm, Yên Phụ...- Khu vực dân cư đông đúc, tập trung nhiều doanh nghiệp, khách du lịch và người nước ngoài làm việc sinh sống.- Sổ đẹp chính chủ giao dịch ngay.- Giá bán 14.8 tỷ có thương lượng.- Liên hệ: Em Long 0918 995 *** chuyên nhà đất Tây Hồ.            ",100 m²,14.8 tỷ,,6 tầng,Sổ đỏ chính chủ,27/11/2022,04/12/2022,Tin thường,30911309,batdongsan_com_vn_30911309,6 m,6 phòng,,,6 phòng,8 m
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', '32', 'Eco Lake View']","
Bán căn hộ HH03B Eco lake View, tòa được săn đón bậc nhất Hoàng Mai.Eco Lake View tọa lạc tại 32 phố Đại Từ, phường Đại Kim, quận Hoàng Mai, Hà Nội, có vị trí gần 3 hồ: Hồ Linh Đàm, hồ Định Công, hồ Đầm Đỗimang đến tầm nhìn thoáng đạt, không gian trong lành cho cư dân.Diện tích: 75m², Sổ đó chính chủ sẵn sàng giao dịchThiết kế: 2 ngủ, 2vs.Hướng: Cửa Đông Nam, ban công Tây Bắc.Nội thất: Sàn gỗ, trần thạch cao, nóng lạnh, điều hòa, tủ bếp, tivi, full đồ chỉ xách vali đến ở cực kì tiện.Giá bán tốt nhất 2,65 tỷ.Lh xem nhà các ngày trong tuần: Mr. Tú 0868 708 *** ",75 m²,2.65 tỷ,Đông - Nam,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35963186,batdongsan_com_vn_35963186,,2 phòng,Full nội thất để lại chỉ đến ở thôi,Tây - Bắc,2 phòng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Xuân Phương']","
Cần bán lô đất phân lô vị trí siêu đẹp. Không lỗi lầm giá cực rẻ cam kết không có lô thứ 2.Thông tin lô đất:Diện tích 50m².Mặt tiền 4.2m.- Hạ tầng đường sá, điện nước đã hoàn chỉnh.- (Cam kết thông tin rao bán đều là sản phẩm có thật).Mọi thông tin xin liên hệ: 0975 068 *** ",50 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,35948003,batdongsan_com_vn_35948003,,,,,,
"['Hà Nội', 'Long Biên', 'Dự án Khai Sơn City']","
Chính chủ cần tiền bán nhanh căn shophouse 76,3m², giá rẻ: LH 0986 664 ***- Diện tích 76,3m², mặt tiền rộng 5,5m, xây 5 tầng 1 tum, tầng 1 kinh doanh, các tầng còn lại ở hoặc cho thuê, gồm 5 phòng ngủ, 5 nhà WC, gần trường học liên cấp Quốc Tế, gần công viên, đường chính vào 40m, ngay đường 5 kéo dài, đường nội khu rộng đến 9m.- Đã hoàn thiện hết mặt ngoài theo tiêu chuẩn KĐT, hiện đại, thông minh, và tối ưu hóa công năng sử dụng.- Sổ đỏ lâu dài.- Di chuyển 10 phút vào Hồ Gươm.- Di chuyển 20 phút tới sân bay Nội Bài.- Gần nhiều TTTM lớn như BigC, Aeon...- Trường học, chợ của địa phương xung quang KĐT.- Trong KĐT có vô vàn tiện ích.- Chung cư cao cấp đang xây đến tầng 3, cơ hội tiếp theo cho đợt tăng giá trong thời điểm khó khăn này.- Gia chủ đang cần tiền mới bán.Lh xem nhà ngay: 0986 664 *** ",76.3 m²,Thỏa thuận,Tây - Nam,5 tầng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35868304,batdongsan_com_vn_35868304,5.5 m,5 phòng,,Đông - Nam,5 phòng,40 m
"['Hà Nội', 'Long Biên', 'Dự án Khai Sơn City']","
vỡ chứng khoán cần bán lại căn shophouse 90m² giá 15,1 tỷ, khai sơn long biên: lh 0986 664 ***- Diện tích 90m², xây 5,5 tầng, mặt tiền 6m, view ngay sân và cổng ra vào trường học, kinh doanh đỉnh- Nhà tiền kế hiện đại, vừa ở vừa kinh doanh hoặc cho thuê kinh doanh, có dòng tiền luôn- Vài bước chân ra công viên trung tâm, hồ điều hòa- Tiện ích nội khu, vô vàn tiện ích của 1 KĐT cao cấp như VIN- Vào phố cổ chỉ 10 phút, đi sân bay chỉ 20 phútĐang rất cần tiền nên bán gấpALo em ngay để gặp chủ nhà: 0986 664 *** ",90 m²,15.1 tỷ,Tây - Bắc,5 tầng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35958089,batdongsan_com_vn_35958089,6 m,5 phòng,,Đông - Nam,5 phòng,9 m
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Ngọc Thụy', 'Dự án Khai Sơn Hill']","
Chính chủ bán căn biệt thự Khai Sơn song lập duy nhất 179m², giá rẻ: LH 0986 664 ***- Diện tích 179m², mặt tiền 8,5m, xây 1 tầng hầm 3,5 tầng nổi, nguy nga, bề thế.- Do con đã đi du học, không dùng đến nên bán.- Nhà bàn giao thô.- Giao dịch sẽ trừ 5% đợt cuối cho khách.Nhà xây chất lượng, hiện đại, đẳng cấp.- Vị trí: Không có cái thứ 2 tại Hà Nội.LH xem nhà ngay lập tức: 0986 664 *** ",179 m²,Thỏa thuận,Tây - Nam,4 tầng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,34500572,batdongsan_com_vn_34500572,8.5 m,4 phòng,,,5 phòng,25 m
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Ngọc Thụy', 'Dự án Khai Sơn Hill']","
Cần bán gấp căn biệt thự Khai Sơn Hill Long Biên 333.8m² bằng giá: LH 0986 664 ***- Diện tích 333.8m², xây 3,5 tầng nổi, 1 tầng hầm để được 2 - 3 xe ô tô, mặt tiền rộng 14m, căn đơn lập sân vườn rất rộng, biệt thự xây trên đồi cao 3,8m so với mặt đường, đường vào 25m.- Khu biệt thự kín đáo, an toàn, chỉ có 66 căn, 66 cư dân đẳng cấp.- Giao thông: Đường to 25m, thông thoáng, vào Hồ Hoàn Kiếm 10 phút, đi sân bay Nội Bài 15 phút, vị trí đắc địa nhất quận Long Biên, đầu ngõ thủ đô, điểm đầu giao thương, (Tiềm năng tăng giá cực cao).- 04 Tòa cao tầng là TTTM và văn phòng, xung quanh khu biệt thự là công viên và hồ điều hòa, gần 2 con sông(sông đuống và sông hồng) nên không khí quanh trong lành, mát về mùa hè, ấm áp về mùa đông.= Chủ nhà giao bán bằng giá.- LH xem nhà và biết giá cụ thể: 0986 664 *** ",333.8 m²,Thỏa thuận,Đông - Bắc,4 tầng,Sổ đỏ lâu dài,25/11/2022,02/12/2022,Tin thường,30809252,batdongsan_com_vn_30809252,14 m,4 phòng,,,5 phòng,25 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Phương Canh']","
- Tôi cần bán lô đất 63m² mặt tiền 5.25m. Vị trí rất đẹp gần đường Trịnh Văn Bô, cách trường cao đẳng FPT khoảng 500m, giá rẻ nhất thị trường không có lô thứ 2. Cần bán gấp trong tháng này liên hệ đi xem đất ngay!- Thông tin lô đất.+ Diện tích: 63m².+ Mặt tiền 5.25m.+ Chiều sâu 12m.+ Đã có sổ đỏ chính chủ, lô đất vuông vắn phong thủy cực đẹp.(Cam kết thông tin rao bán đều là sản phẩm có thật).Mọi thông tin xin liên hệ: 0975 068 *** ",63 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35948294,batdongsan_com_vn_35948294,,,,,,
"['Hà Nội', 'Long Biên', 'Dự án Khai Sơn Hill']","
Chính chủ cần bán căn biệt thự Khai Sơn Hill 285m², giá HĐ, LH: 0986 664 ***- Diện tích 285m², căn góc sau nhìn công viên, mặt tiền 12m, có sân vườn.- Xây 1 tầng hầm và 3,5 tầng nổi, đã hoàn thiện full mặt ngoài, bên trong về tùy thiết kế từng gia chủ.- Đối diện trường Quốc Tế Pháp.- Xung quanh đầy đủ, điện, đường, trường, chợ, của đia phương.LH xem nhà ngay: 0986 664 *** ",285 m²,Thỏa thuận,Tây - Nam,4 tầng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35702163,batdongsan_com_vn_35702163,12 m,4 phòng,,,4 phòng,25 m
