address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Nội thất,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Đường An Dương Vương']","
Chính chủ bán gấp đất quận Bắc Từ Liêm mặt tiền 10m².Diện tích: 213m².Mặt tiền: 10m, đường vào 10m ô tô tránh nhau thoải mái.Tuyến phố đông đúc dân cư, giao thông thuận tiện.- Đất thổ cư 100%, sổ đỏ chính chủ. Khu vực đất sạch, không dính quy hoạch dự án,..- Bán gấp giá còn 80tr/m².Giá bán: 16.5 tỷ (miễn trung gian, miễn quảng cáo, miễn môi giới).Liên hệ: Anh Việt 0967 996 *** ",213 m²,16.5 tỷ,,,14/11/2022,29/11/2022,Tin Vip 3,35824380,batdongsan_com_vn_35824380,10 m,,Đã có sổ đỏ,,10 m,Tây,
"['Hà Nội', 'Thanh Trì', 'Xã Vạn Phúc']","
Chính chủ bán đất Vạn Phúc - Thanh Trì, mặt tiền 4m.- Diện tích: 48m² (4.3mx 11.16m).- Ngay cạnh UBND xã Vạn Phúc.- Pháp lý: Đã có sổ đỏ.- Giá bán: 1.28 tỷ.- Đường rộng 2 ô tô tránh nhau, 1km ra bến xe bus, 500m đường liên xã, huyện, 8km ra đến bến xe nước ngầm.* Vị trí:- Nằm tại khu dân cư đông đúc, ngay cạnh chợ lớn, gần trường mầm non, cấp 1,2,3 Vạn Phúc...- Tiếp giáp nhiều khu dân cư xã làng nghề như Tranh Khúc...- Vạn Phúc là khu dân cư phát triển nhiều người quan tâm hiện nay, được quy hoạch làm thành phố ven sông.- An sinh đỉnh, không khí trong lành con sông Hồng hiền hòa như hồ điều hòa khổng lồ của khu vực.- Đường trải nhựa, rộng, đầy đủ các tiện ích.Chi tiết liên hệ: Thế Vạn.            ",48 m²,1.28 tỷ,,,09/11/2022,09/12/2022,Tin Vip 3,35605451,batdongsan_com_vn_35605451,4 m,,Sổ đỏ/ Sổ hồng,,3.5 m,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Hà Cầu']","
- Chính chủ cần bán nhà một tầng khu đấu giá trung tâm hành chính mới, đối diện Uỷ ban quận Hà Đông, đi 2p ra Mega Market, gần trường học, bệnh viện, khu vui chơi, gần chợ Hà Đông, cách ga tàu điện cao tốc trên cao 300m.- Diện tích: 52,5m², mặt tiền: 5,5m. Hướng Đông nam mát mẻ.- Sổ đỏ vuông vắn. Đường ô tô tránh nhau, vỉa hè 2 bên to rộng.- Mặt tiền thông thoáng, phía sau có đất lưu không.- Hiện đang có hợp đồng cho thuê lâu dài.Giá cả hợp lý, có thể thương lượng.            ",52.5 m²,Thỏa thuận,,,11/11/2022,11/12/2022,Tin Vip 3,35794952,batdongsan_com_vn_35794952,5.5 m,,Sổ đỏ,,,Đông - Nam,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Bán biệt thự liền kề tại khu đô thị Ciputra Hà Nội:- Liền kề 150m², mặt tiền 7,5m, đường trước nhà 15m. Xây dựng 3 tầng 1 hầm, hoàn thiện mặt ngoài. Giá bán 33 tỷ.- Biệt thự 180m², mặt tiền 9m, đường trước nhà 30m. Xây dựng 3 tầng, nhà hoàn thiện cơ bản. Giá bán 45 tỷ.- Biệt thự 230m², mặt tiền 10m, đường trước nhà 30m. Xây dựng 3 tầng, nhà hoàn thiện rồi. Giá bán 200tr/m².- Biệt thự 300m², mặt tiền 12m, đường trước nhà 40m. Xây dựng 3 tầng, hoàn thiện rồi. Giá bán 200tr/m².- Biệt thự 330m², mặt tiền 12m, đường trước nhà 21m. Xây dựng 3 tầng 1 hầm. Giá bán 230tr/m².- Biệt thự 400m², mặt tiền 12m, đường trước nhà 21m. Xây dựng 3 tầng. Giá bán 210tr/m².Dự án đã bàn giao, đã có sổ đỏ, giao dịch nhanh gọn.Bảo vệ an ninh 24/7 tuyệt đối an toàn.Khuôn viên rộng, nhiều cây xanh. Cuộc sống nghỉ dưỡng giữa lòng Hà Nội.* Ngoài ra, trong khu đô thị còn có một số dự án vẫn đang xây dựng, hoàn thành trong 2 - 3 năm nữa. Thông tin chi tiết anh chị vui lòng gọi trực tiếp cho em để tìm hiểu thêm.Liên hệ: Em Khoa 0984 591 *** để tìm hiểu chi tiết và đi xem nhà thực tế.            ",150 m²,33 tỷ,,,10/11/2022,15/12/2022,Tin Vip 3,34972340,batdongsan_com_vn_34972340,7.5 m,3 tầng,Sổ đỏ chính chủ,,15 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Hoàng Sâm']","
CHÍNH CHỦ CẦN BÁN NHÀ MẶT PHỐ HOÀNG SÂM-CẦU GIẤY, AN NINH TỐT-DÂN TRÍ CAO* Mô tả:- Diện tích: 51,93m2- Gía 12.5 tỷ ( có thương Lượng )- Nhà chắc chắn, xây kiên cố- Nhà đẹp, vị trí đẹp, ngõ ô tô tránh nhau, khu phân lô, dân trí cao, ô tô đỗ cửa nhà ngày đêm* Tiện ích- Nhà gần ngã 4 cổng công an Quận- Đi bộ đến trường cấp 1-2-3. An Ninh Đảm bảo gần công an, Quân đội .- Giao Thông thuận tiện mặt đường trước nhà 2 xe con tránh nhau.- Sổ đỏ pháp lý đầy đủ sãn sàng giao dịch.* Liên hệ chủ nhà: Cường Mạnh 0918 955 ***miễn môi giới)            ",51.93 m²,12.5 tỷ,,,10/11/2022,10/12/2022,Tin Vip 3,35786630,batdongsan_com_vn_35786630,,,Sổ đỏ pháp lý,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Âu Cơ']","
Tôi có căn nhà mặt sàn 25m² *2 tầng, tổng diện tích là 50m², ngõ 2 mét, 2 oto tránh.- Địa chỉ ngõ 238 âu cơ chợ hoa quảng an, phường quảng an, tây hồ.* Thiết kế.- Diện tích: 25m² x 2 tầng, 1 PN, 2 nhà vệ sinh.- Nhà hướng đông nam.- Nhà đầy đủ tiện nghi, điều hoà, tủ lạnh, máy giặt, máy lọc nước mới mua 2 tháng vẫn còn hoá đơn, chỉ cần xách vali vào ở, ngõ 2 mét, đường 2 oto tránh nhau.- Mua bán vi bằng chính chủ không qua trung gian có thương lượng.- Giá 1 tỷ 500.Chị Hà 0987 029 ***.0975 888 *** Cô Huệ.            ",25 m²,1.5 tỷ,,2 phòng,09/11/2022,09/12/2022,Tin Vip 3,35779540,batdongsan_com_vn_35779540,,2 tầng,Mua bán vi bằng,Full nội thất,,,
"['Hà Nội', 'Chương Mỹ', 'Thị trấn Chúc Sơn']","
Tôi cần tiền cần bán gấp cắt lỗ mảnh đất 529m² tại thôn Ngọc Hoà thị trấn Chúc Sơn.Diện tích 529m² có 100m² thổ cư và 429m² đất vườn.Đất sạch không tranh chấp, gửi hồ sơ lên full thổ cư không vấn đề.Ngõ 2,5m ô tô vào sát đất.Chỗ ô tô đậu đường to cách đất 100m.Có thể phân lô thoải mái. Đã lên sẵn sơ đồ phân lô để tham khảo.Giá 8tr/m² có thương lượng. Bao sang tên vẫn để hồ sơ treo cần sang tên rất nhanh.Cần hỗ trợ thủ tục lên full thổ cư tôi hỗ trợ luôn với giá thấp.Cần tiền bán gấp cho các nhà đầu tư dài hạn vì giá quá đẹp.Anh em môi giới có nhu cầu đẩy lấy hoa hồng liên hệ tôi. Đang gấp lên trả hoa hồng cao.LH 0968 385 *** ",529 m²,8.5 triệu/m²,,,09/11/2022,29/11/2022,Tin Vip 3,35779030,batdongsan_com_vn_35779030,,,Sổ đỏ/ Sổ hồng,,2.5 m,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Do cần tiền gấp nên chủ nhà không thể tiếp tục đầu tư lâu dài với căn shophouse rất đẹp và giá trị như này:- Vị trí: Nằm ở khu đô thị Ciputra, quận Tây Hồ. Vị trí đẹp nhất khu đô thị Ciputra, tiềm năng tương lai vô cùng lớn khi đường Nguyễn Văn Huyên kéo dài thông toàn đoạn tuyến.- Số tiền cần có thời điểm này là 14 tỷ, còn lại đóng cho CĐT đến khi bàn giao nhà theo từng tiến độ. Ngân hàng cho vay hỗ trợ 0% lãi suất 12 tháng.- Diện tích đất: 120m², mặt tiền 6m. Tổng diện tích sàn 6 tầng là hơn 600m².- Xây dựng: 5 tầng và 1 hầm. Tỷ lệ xây dựng: 85%.- Shophouse 2 mặt tiền nên kết hợp để ở và kinh doanh rất là dễ.- Đường trước nhà 40m, trục chính giao thông. Đường sau 7m.- Bàn giao xây thô hoàn thiện mặt ngoài, trong nhà có thang bộ và hố chờ thang máy.- Tổ hợp xung quanh 30 tòa chung cư, 80.000 cư dân kinh doanh sầm uất, chưa kể đến khách hàng vãng lai.Giá bán: 250tr/m².Liên hệ: 0984 591 ***Khoa).            ",120 m²,250 triệu/m²,,,09/11/2022,09/12/2022,Tin Vip 3,34714204,batdongsan_com_vn_34714204,6 m,6 tầng,,,40 m,,
"['Hà Nội', 'Thanh Trì', 'Xã Vạn Phúc']","
Mảnh đất có vị trí đắc địa trung tâm Vạn Phúc, đường 4m, lô góc, cách 500m không thiếu tiện ích, cách 30m ra khu vui chơi giải trí của khu vực. Ngoài ra em còn một số lô đất như sau:45m² đất Vạn Phúc Thanh Trì, lô góc, đường rộng 4m, trung tâm làng, cách 100m ra đến sân vận động, 500m đầy đủ các tiện ích: 1.05 tỷ.48m² đất Vạn Phúc Thanh Trì, đường rộng, mặt tiền 4m, 10m ra hồ điều hòa và sân chơi lô góc, 980tr.42m² đất Vạn Phúc - Thanh Trì, gần chợ Vạn 3, Vinmax, đất vuông vắn: 1.2 tỷ.37m² đất Vạn Phúc Thanh Trì, trung tâm làng, lô góc, 20m ra hồ điều hòa, 780tr.152m² đất Vạn Phúc Thanh Trì, lô góc, mặt tiền 12m, chia 3 lô theo bất kỳ hướng nào cũng được, 4.8 tỷ.55m² đất Vạn Phúc Thanh Trì, mt 5m, ô tô chạy vòng quanh, 1.69 tỷ.300m² đất Duyên Hà Thanh Trì, mt rộng, đường rộng, xây biệt thự hay nhà xưởng đều được, đầu tư vô đối, 4.55 tỷ.60m² đất Duyên Hà Thanh Trì, mt 4.35, đường 6m, nhìn ra cánh đồng, 1.55 tỷ.68m² đất Thôn 3 Vạn Phúc Thanh Trì, mt 4.2m, đường CRV, ngõ thông, 2.1 tỷ.45m² đất Thôn 3 Vạn Phúc Thanh Trì, mt 4m, ngõ rộng thênh thang, 1.25 tỷ.55 đất Đông Mỹ - Thanh Trì, mt 4m, đường CRV vào nhà, 1.62 tỷ.68m² đất Thọ Am Liên Ninh Thanh Trì, có nhà cấp 4, mt 4m, đường 3m, 2.8 tỷ.130m² Ngọc Hồi Thanh Trì, có nhà xưởng, đầy đủ tiện ích, 6 tỷ.91m² đất Vạn Phúc, kinh doanh đỉnh, đường xe công, 3.1 tỷ.Tất cả đều full thổ cư, sổ đỏ sẵn sàng giao dịch.Ngoài ra em còn rất nhiều các lô đất khác, đầu tư hay ở đều quá đẹp, vị trí xa nhất cách bến xe nước ngầm 8km, cách trung tâm Thanh Trì 5km.Chi tiết liên hệ Thế Vạn: 0976 132 *** ",48 m²,980 triệu,,,09/11/2022,09/12/2022,Tin Vip 3,35349109,batdongsan_com_vn_35349109,4 m,,Sổ đỏ/ Sổ hồng,,3 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', '727 Đường Tam Trinh', 'Dự án Gamuda City']","
+ Diện tích: 96m², 4 tầng.+ Mặt tiền: 6m, Khu đô thị văn minh, nhiều cây xanh, dân trí cao, cách hồ Hoàn Kiếm 5,5km.+ Hoàn thiện ngoại thất, nội thất nguyên bản CĐT.+ Hướng chính Tây, dãy duy nhất có đường 1 chiều trước mặt có vườn hoa, cây xanh, ghế đá, gần cổng 4,+ Vị trí địa lý: Gần trường quốc tế Singapore, gần trường chất lượng cao Hoàng mai, gần đường 727 Tam Trinh mới mở rộng 40m.+ Gía: 17,5 tỷ, có lộc cho gia chủ thiện chí mua.            ",96 m²,17.5 tỷ,5 phòng,6 phòng,08/11/2022,08/12/2022,Tin Vip 3,35763880,batdongsan_com_vn_35763880,6 m,4 tầng,Hợp đồng mua bán.,,30 m,Tây,Tây
