address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Đường vào,Nội thất,Mặt tiền,Số tầng
"['Hà Nội', 'Đông Anh', 'Dự án Eurowindow River Park']","
EUROWINDOW RIVER PARK  CHỐN AN CƯ LÝ TƯỞNG CHO MỌI GIA ĐÌNH- Vị trí thuận lợi, chỉ 15 phút đến trung tâm phố cổ Hà Nội- Căn hộ view sông 03 mặt view hướng sông Hồng, sông Đuống, cảnh quan hữu tình- 03 tầng hầm liên thông với tổng diện tích 43.000m², không lo thiếu chỗ để xe- 1.700m² mặt bằng trung tâm thương mại, đáp ứng nhu cầu mua sắm của cư dân- 02 vườn dạo bộ trên cao và 01 bể bơi, thuận tiện rèn luyện sức khỏe mỗi ngày- Sổ hồng lâu dài, hỗ trợ sang tên - Đã vận hành ổn định và đón hơn 70% cư dân về sinh sốngMọi thông tin chi tiết lh: Quản lý dự án Kim Quế 0901 722 *** ",73 m²,Thỏa thuận,26/11/2022,06/12/2022,Tin Vip 3,35959413,batdongsan_com_vn_35959413,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đầy đủ nội thất nhập khẩu Châu Âu,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Đường Ngọc Thụy', 'Ngách 47 ngõ 264']","
Chính chủ bán nhà mới xây 4 tầng, diện tích đất 52m², DT sử dụng 220m², nhà đẹp, 2 mặt ngõ, xây chắc chắn, ép cọc bê tông, có bản vẽ thiết kế, có clip quay lại quá trình xây dựng.- Nội thất đã trang bị đầy đủ, tầng 1 phòng khách, bếp, có sân sau nhà, tầng 2 - 3 là 4 phòng ngủ rộng rãi rộng rãi, đều có cửa sổ ánh sáng chan hòa, sàn gỗ Malay, trần thạch cao, đèn chùm... Tầng 4 là phòng thờ, phòng giặt và sân vườn...- Cửa chính và cửa thông phòng đều gỗ lim Nam Phi, cửa sổ nhôm Xinfa 2 lớp chống ồn tuyệt đối, tay vịn cầu thang gỗ lim kết hợp kính cường lực.- Vệ sinh đã trang bị vách tắm đứng, thiết bị vệ sinh Toto đồng bộ, bình nóng lạnh Rosie, đã lắp đặt tủ bếp gỗ sồi Nga, bếp từ hút mùi, quạt trần... LH chính chủ: Nguyên 0986 860 *** hoặc anh Nghị 0948 356 ***- Nhà 2 mặt ngõ, 1 cửa hướng Tây và 1 cửa hướng Nam, ngõ rộng 3m, cách đường ô tô 20m (4 nhà), cách mặt phố Ngọc Thụy 100m, bãi xe ô tô 20m, ngõ thông với ngõ 268 Ngọc Thụy và thông sang phố Ngọc Lâm, cách đường 40 khoảng 50m, sang phố cổ chỉ 7 phút, cách chợ Ngọc Thụy 100m, đầu ngõ là trường Tiểu học + cấp 2 Ngọc Thụy, cấp 2 Lý Thường Kiệt, khu vực an ninh, dân trí cao, hàng xóm đều là công chức nhà nước.- Giá 5,45 tỷ bao gồm tất cả các chi phí sang tên sổ đỏ và hợp đồng điện nước sinh hoạt.- Liên hệ chính chủ: Em Nguyên 0986 860 *** hoặc anh Nghị 0948 356 *** ",52 m²,5.45 tỷ,26/11/2022,03/12/2022,Tin Vip 3,34983075,batdongsan_com_vn_34983075,Tây - Nam,Nam,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,3 m,"Nội thất đã trang bị đầy đủ. Sàn gỗ Malai, trần thạch cao, đèn chùm...",4 m,4 tầng
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
SIÊU RẺ! BÁN GẤP CĂN GÓC 2PN +1, 2WC, HƯƠNG BAN CÔNG ĐÔNG NAM GIÁ RẺ NHẤT THỊ TRƯỜNG 1.9 TỶ CÓ ĐỒ TẠI VINHOMES OCEAN PARK- Nhà rất mới sạch đẹp, hướng ban công Đông Nam, view thoáng mát- Chủ nhà rất thị chí bán, căn hộ đã có sổ Đỏ không vay ngân hàng, sẵn sàng giao dịch...- Gía bán không thể rẻ hơn chỉ: 1.9 tỷ để lại nội thấtLiên hệ xem nhà 24/7: 0988 885 *** ",70.5 m²,1.9 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35959306,batdongsan_com_vn_35959306,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đầy đủ,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Nguyễn Cảnh Dị', 'Số 3', 'Thanh Bình Garden']","
Em cần bán nhanh suất ngoại giao - ký trực tiếp CDT.Dự án Thanh Bình Garden - Số 3 Nguyễn Cảnh DỊ - Đại Kim, Định Công Hoàng Mai.- Nhà full Nội thất chỉ việc về ở ngay.- Giá chỉ từ 1,8 tỷ có ngay căn 2PN. (Diện tích đa dạng 45, 46, 50, 51, 60, 61, 68m² - thiết kế đa dạng hợp lí).- Pháp lý sổ lâu dài.- Ngân hàng hỗ trợ vay tối đa 20 năm, có ân hạn gốc và lãi suất ưu đãi.- Nhận nhà ngay Tháng 1/2023.Nội thất bàn giao: Điều hòa, nóng lạnh, bếp, tủ bếp, hút mùi, giường, tủ quần áo, bàn trang điểm, sofa, kệ tivi, bàn ăn, thiết bị vệ sinh và chiếu sáng đầy đủ...- Các dự án xung quanh: Feliz Home Hoàng Mai, Melody Linh Đàm, Smile Buiding, Sky Center.Liên hệ đặt lịch xem căn hộ mẫu và tư vấn căn hộ: 0982 289 *** e Hà Linh.            ",60 m²,Thỏa thuận,26/11/2022,06/12/2022,Tin Vip 3,35835912,batdongsan_com_vn_35835912,,,2 phòng,2 phòng,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Khang Villa']","
Cần bán căn biệt thự Dương Nội - Nam Cường gần hồ thiên văn học, siêu thị Aeon Mall.Cần bán gấp căn biệt thự diện tích gần 200m², mặt tiền 9m khu An khang villa.Thông tin căn biệt thự:- Diện tích 190m- Mặt tiền 9m.- Nhà xây 1 tầng hầm, 3,5 tầng nổi.- Mặt đường trước nhà 40m gần công viên thiên văn học. vị trí kinh doạnh đắc địa.- Diện tích xây dựng tầng 1 là 110m, tầng 2,3,4 là 120m².- Vị trí mặt đường lớn, kết nối giao thông siêu đẹp, đường Lê Quang Đạo quý 3 triển khai, gần hồ, gần siêu thị, tiếp giáp các khu đô thị xung quanh tạo quần thể không thể đẹp hơn.- Hợp đồng mua bán, đặt cọc 1 tháng sau có sổ đỏ.- Giá bán 37 tỷ.Liên hệ: Em Tiến 0915 896 *** ",200 m²,39 tỷ,26/11/2022,04/12/2022,Tin Vip 3,33586155,batdongsan_com_vn_33586155,,,,,Hợp đồng mua bán,40 m,,9 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Giải Phóng']","
ĐÓN TẾT TƯNG BỪNG TẠI CĂN HỘ MINI SIÊU ĐẸP GIẢI PHÓNG  - HOÀNG MAI- 0983 169 ***Nội thất cơ bản đầy đủ , chỉ việc vào ở : Sàn gạch, trần thạch cao, tủ bếp, bếp từ, hút mùi, truyền hình cáp, internet, bình nóng lạnh, bảo ôn điều hòa, thang máy tốc độ caoVị trí: Đường Giải Phóng  Hoàng Mai, Hà Nội. Thuận tiện đến các tuyến phố: Vọng, trường Chinh gần các trường ĐH: Bách Khoa, Kinh tế Quốc Dân, Xây Dựng. Đường đẹp thoáng, sáng. Hiện tại dự án đã hoàn thiện chỉ việc dọn vào ở ngayDiện tích đa dạng: 30m²  50m2Thiết kế 1 - 2 ngủ, 1 wcGiá bán: 600tr--  900  - 1 tỷ - 1,3 tỷChính sách tặng quà khủng========================Chiết khấu ngay 3%Tặng 1 năm sử dụng phí tại tòa nhàTặng 1 phiếu bốc thăm trúng thưởng, bốc là trúng: tivi, tủ lạnh, máy giặt, điều hòa, bộ nồi xoong.	Căn hộ vuông , sáng, thoángPháp lý: sổ đỏ, giấy phép xây dựng=========================Xem nhà: 0983 169 ***( trực tiếp cđt không qua trung gian)            ",30 m²,600 triệu,26/11/2022,03/12/2022,Tin Vip 3,35959265,batdongsan_com_vn_35959265,Tây - Nam,Đông - Bắc,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,đầy đủ,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh']","
Chính chủ cần bán gấp Biệt thự khu khép kín Vistalago Nam An Khánh!TT34 ô 03.Xây thô 3,5 tầng.Diện tích 379m².Diện tích sàn 180m²/sàn.Vị trí 2 mặt đường, ngay gần cổng số 1 Vistalago. Nhà hướng Nam mát mẻ quanh năm, view trước nhà là công viên 4ha và hồ điều hoà 7ha Đi bộ 50m là ra tới hồ điều hoà 7ha, lại cạnh vườn hoa cả 1000m² và sân vui chơi trẻ em. Khu đô thị khép kín vận hành bởi savills uy tín. Đầy đủ tiện tích: sân chơi, bể bơi, gym, yoga, trường học quốc tế, khu vui chơi Pháp lý: sổ đỏ cầm tay, giao dịch trong phút chốc.Giá thoả thuận chủ yếu là thanh toán nhanh!Quý khách hàng nhanh tay sở hữu ngay căn biệt thự để tận hưởng cuộc sống xanh  Em Trang 0982 958 *** để được xem nhà trực tiếp.            ",379 m²,Thỏa thuận,26/11/2022,06/12/2022,Tin Vip 3,35959136,batdongsan_com_vn_35959136,,,,,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Hoa Bằng']","
Bán nhà Cầu Giấy - Lô góc - Thang máy - Thông sàn - Kinh doanh - Gần phố - Ô tô đỗ sát nhà+ Nhà cách mặt phố Hoa Bằng mấy bước chân, trước nhà rộng 3m thông ra Nguyễn Khang và Yên Hòa+ Thiết kế 6 tầng, thông sàn với thang máy nhập khẩu+ Sổ đẹp vuông vắn, pháp lý chuẩn. Chủ rất thiện chí bán.            ",40 m²,7.9 tỷ,26/11/2022,03/12/2022,Tin Vip 3,35959072,batdongsan_com_vn_35959072,,,,,Sổ đỏ/ Sổ hồng,,,5.25 m,6 tầng
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '232', 'An Bình City']","
Tôi cần bán CẮT LỖ NHANH căn to nhất 3 phòng ngủ DT 95m² ở An Bình City, 232 Phạm Văn Đồng, HN.LH 0987 065 ***Giá bán nhanh.Giá 4tỷ060.Rẻ nhất khu. KHÔNG CÓ CĂN RẺ THỨ 2, NÊN ƯU TIÊN NGƯỜI XUỐNG CỌC NHANHKO GIỮ CHỖ, XÍ PHẦNCó nội thất FULL xịn đẹp từng cm: Tủ quần áo, sofa, bàn ăn, bàn trà, tủ bếp, bếp từ, hút mùi, 3 bình nóng lạnh, sàn gỗ, rèm, cây cảnh, đồng hồ treo tường, giường, tủ, tủ quần áo, máy giặt, tivi, tủ lạnh, rèm, giàn phơi, Nhà đẹp không 1 lỗi nhỏ, hàng xóm thân thiệnem ở nhà cả ngày xem nhà mọi lucsSổ đỏ chính chủ.Sẵn sàng sang tên ngay.Em Thanh 0987 065 ***Nhà có sổ đỏ rõ ràng.Căn hộ diện tích 95m².Thiết kế gồm: 3 phòng ngủ, 2 vệ sinh rộng1 ban công phòng khách trồng hoa1 phòng khách Vuông vắn, và ban công phòng khách để gió mát vào nhà quanh năm (rất ít sử dụng điều hòa).1 ban công phụ phơi đồ và làm kho: Rộng/ thoáng/ dài.1 khu bếp riêng biệt, cạnh loza hút gió...Đặc biệt căn hộ có ban công phòng khách, nên được đánh giá là căn hộ 3 phòng ngủ có thiết kế đẹp nhất khu TP. Giao Lưu.Không gian lý tưởng có đôi vợ chồng trẻ.2 vợ chồng về hưu muốn ở gần nhau.Mua cho con/ cháu lên học đại học ở Hà Nội.Mua nhà là vào ở ngay.Sổ đỏ rõ ràng.2 mặt view thoáng 100%.Căn hộ đẹp nhất khu.Và tầng đẹp nhất An Bình City.3. Điểm nổi bật khu chung cư An Bình City em ở:- Thiết kế căn hộ thông minh, diện tích hợp lý tất cả các phòng đều có ánh sáng và đón gió tự nhiên.- An ninh bảo vệ trong ngày 3 lớp.- 1 không gian đáng sống.- 1 nơi đáng để về sau mỗi giờ làm mệt mỏi.- Cư dân sống nơi đây sẽ được sử dụng một quần thể rộng với kiến trúc hiện đại theo đó là không gian sống trong lành.- Dịch vụ hoàn hảo có Vincom Plaza dưới tầng hầm bên cạnh Green Stars khu tập gym, spa... Và trung tâm thương mại đảm bảo cho cư dân nơi đây có một cuộc sống hiện đại.Đặc biệt là có hồ điều hòa 17ha, rộng, thoáng, khuôn viên cây xanh phát triển gần 10 năm, bầu không khí trong lành, mát rượi.Bên cạnh có rạp chiếu phim, bệnh viện, trường học, Vincom, Metro. Không thiếu bất cứ dịch vụ gì ạ.Xem nhà 24/24 kể cả tối lúc 10h đêm ạ, alo em 0987 065 *** ",95 m²,4.06 tỷ,25/11/2022,02/12/2022,Tin Vip 3,30604727,batdongsan_com_vn_30604727,Tây - Nam,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,"full đẹp, đèn chiếu sáng, bình nóng lạnh, bàn, ghế, giường, tủ, tủ bếp, tivi, tủ lạnh, máy giặt...",,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án An Phú Shop Villa']","
Chính chủ cần bán căn biệt thự An Phú Shop Villa mặt đường 27m.Cần bán gấp căn biệt thự an phú mặt đường 27m khu đô thị dương nội, chủ đầu tư nam cường. Dãy shophouse đắt khách nhất khu đô thị Dương Nội.- Mặt B04 diên tích 202,5m mặt tiền 9m. - Mặt đường An Phú Shop Villa đường trước nhà 27m, đường sau nhà 5m, vỉa hè 6,5m. mặt tiền 9m, xây 3,5 tầng, diện tích sàn xây dựng 360m².- Sổ đỏ chính chủ, xây thô hoàn thiện mặt ngoài giá 35 tỷ.- Liên hệ: 0915 896 *** kiều việt tiến - trân trọng cảm ơn.            ",198 m²,35 tỷ,26/11/2022,06/12/2022,Tin Vip 3,33586851,batdongsan_com_vn_33586851,Đông - Bắc,,,,Sổ đỏ,27 m,,,
