address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Mặt tiền,Số phòng ngủ,Số toilet,Số tầng,Pháp lý,Hướng ban công,Đường vào
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Bằng Lăng 11', 'Dự án Vinhomes Riverside']","
Bán lô Bằng Lăng 11 Vinhomes Riverside, đơn lập, đường thoáng, sông rộng, khu cư dân siêu vip.- Diện tích: 666m².- Xây dựng 220m²/sàn.- Hàng xóm ở đẹp, ở 100%.- Xây thô, hiếm view sông siêu rộng.- Giá thoả thuận.Khách thiện chí liên hệ: 0932 533 ***Cảm ơn!            ",666 m²,Thỏa thuận,Đông - Nam,20/11/2022,01/12/2022,Tin thường,9470217,batdongsan_com_vn_9470217,,11 m,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Dự án Vinhomes The Harmony']","
Bán lỗ lại nhanh căn song lập khu hồ 12ha Hamony, để chuyển vào Sài Gòn.- Diện tích: 182m².- 1 căn hướng Tây Bắc và 1 căn Đông Nam.- Giá 25 tỷ và 27 tỷ.- Mặt tiền 9m.- Khu dân cư đã ở đông hết rồi.- Bao phí sang tên luôn cho khách mua.Anh chị mua thiện chí liên hệ: 0971 861 ***Cảm ơn.            ",182 m²,25 tỷ,Tây - Bắc,17/11/2022,18/12/2022,Tin thường,28914020,batdongsan_com_vn_28914020,,9 m,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Đền Lừ', 'Dự án Đền Lừ II']","
Chính chủ cần bán căn hộ chung cư tầng thấp tòa A4 Đền Lừ.Diện tích 63m².Thiết kế 2 ngủ 1 vệ sinh.Lô góc, các phòng đều có cửa sổ.Nội thất cơ bản.Giá thỏa thuận.Liên hệ hoặc zalo: 0945 467 ***Hình ảnh chuẩn 100%.            ",63 m²,Thỏa thuận,,25/11/2022,02/12/2022,Tin thường,35944827,batdongsan_com_vn_35944827,Nội thất như trong hình.,,2 phòng,1 phòng,,Sổ đỏ/ Sổ hồng.,Tây,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Bán căn studio diện tích 28m² dự án Vinhomes GreenBay.Trục căn 27 tầng trung thoáng mát.- View hồ 8ha.Diện tích: 28m².Ban công: Đông Nam.Hướng cửa: Tây Bắc.Full nội thất hiện đại.Giá:...Liên hệ xem nhà: 0708 809 *** ",28 m²,Thỏa thuận,Tây - Bắc,22/11/2022,29/11/2022,Tin thường,35824826,batdongsan_com_vn_35824826,,,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng.,Đông - Nam,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Dự án Osaka Complex']","
Chính chủ bán căn 56,3m² chung cư Osaka Complex Hoàng Mai.Thiết kế 2PN 1WC - View hồ Linh Đàm.Sổ hồng sẵn sàng giao dịch.Nội thất: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, thiết bị chiếu sáng, tủ bếp, điều hòa, bình nóng lạnh.Liên hệ xem nhà ngay: 0965 298 *** ",56.3 m²,Thỏa thuận,,23/11/2022,30/11/2022,Tin thường,35932424,batdongsan_com_vn_35932424,"Sàn gỗ, trần thạch cao, thiết bị vệ sinh, thiết bị chiếu sáng, tủ bếp, điều hòa, bình nóng lạnh.",,2 phòng,1 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
Bán CCMN phố Cầu Giấy. 52m² xây 5 tầng. Giá 7,4 tỷ. 9 phòng khép kín full nội thất.+ Phố Cầu Giấy là trung tâm của quận tiếp giáp Xuân Thủy, Láng, Nguyễn Khang, Chùa Hà, Trần Đăng Ninh, Trương Công Giai, Thành Thái, Nguyễn Khánh Toàn...+ Khu vực xung quanh dân trí cao, an ninh tốt, sạch sẽ, thoáng mát.+ Nhà thiết kế 5 tầng với 9 phòng khép kín full nội thất. Lúc nào cũng full khách thuê phòng.+ Chung cư mini cao cấp, dòng tiền ổn định. Ngõ thông, hàng hiếm có khó tìm.+ Xung quanh là trường học các cấp, đh Quốc Gia, đh Ngoại Ngữ, đh Sư Phạm, đh Giao Thông Vận Tải, sân bóng, bể bơi, công viên, siêu thị, chợ... Tiện ích đầy đủ không thiếu thứ gì.+ Chủ thiện chí tìm khách thiện chí. Sổ đỏ cất két, sẵn sàng giao dịch.+ Cam kết thông tin thật 100%.+ Liên hệ Mr Tuấn Anh: 0866 956 ***xem nhà miễn phí - miễn trung gian).            ",52 m²,7.4 tỷ,,27/11/2022,04/12/2022,Tin thường,35885281,batdongsan_com_vn_35885281,Full nội thất.,,9 phòng,9 phòng,5 tầng,Sổ đỏ/ Sổ hồng,,2.5 m
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy']","
Bán nhà Xuân Thủy, Cầu Giấy. 35m², giá 4,3 tỷ, nhà đẹp gần phố.+ Phố Xuân Thủy là trung tâm của quận, giao cắt với các con phố như: Cầu Giấy, Chùa Hà, Trần Đăng Ninh, Trần Quý Kiên, Hoàng Quốc Việt, Nguyễn Khánh Toàn, Nguyễn Khang, Láng, Bưởi...+ Gần trường học các cấp đến ĐH lớn như: Thương Mại, Báo Chí, Sư Phạm, Quốc Gia, Ngoại Ngữ, Giao Thông Vận Tải... Chợ, công viên.. Tiện ích không thiếu thứ gì.+ Trước nhà ngõ rộng, thoáng. Mưa gió không sợ ngập úng.+ Nhà xây mới keeng. Chủ mới về ở ngay.+ Chủ thiện chí bán, sổ đỏ cất két, sẵn sàng giao dịch.+ Cam kết thông tin thật 100%.+ Liên hệ Mr Tuấn Anh: 0866 956 ***xem nhà miễn phí - miễn trung gian).            ",35 m²,4.3 tỷ,,27/11/2022,04/12/2022,Tin thường,35248632,batdongsan_com_vn_35248632,,,3 phòng,,5 tầng,Sổ đỏ/ Sổ hồng,,2 m
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Nguyễn Cơ Thạch']","
Bán CC phố Nguyễn Cơ Thạch. Nam Từ Liêm. 63m². Giá 2,25 tỷ. 2 ngủ đầy đủ công năng. Full nội thất.+ Phố Nguyễn Cơ Thạch tiếp giáp Hàm Nghi, Hồ Tùng Mậu, Lê Đức Thọ, Trần Hữu Dực, Trịnh Văn Bô, Nguyễn Văn Giáp...+ Căn hộ thiết kế 2 PN, 1VS, 1 phòng khách và phòng bếp, nội thất đầy đủ, khách chỉ việc xách vali đến ở luôn.+ Xung quanh vô vàn tiện ích nhà gần các vị trí: Sân Vận động Mỹ Đình, khu liên hợp thể thao quốc gia Mỹ Đình, Gần Trường Tiểu học Kim Đồng, các trường Liên Cấp: Đoàn Thị Điểm, Lommoloxop, Trường Quốc Tế Việt Úc, trường tiểu học Lê Quý Đôn, Tiểu học Vinschool Gardenia, Trường ĐH Việt Nhật, ĐH Hòa Bình Gần Bệnh Viện đa khoa Hồng Ngọc.Tiện ích không thiếu thứ gì.+ Chủ thiện chí tìm khách thiện chí. Sổ đỏ cất két, sẵn sàng giao dịch.+ Cam kết thông tin thật 100%.+ Liên hệ Mr Tuấn Anh: 0866 956 ***xem nhà miễn phí - miễn trung gian).            ",63 m²,2.25 tỷ,,27/11/2022,04/12/2022,Tin thường,35858471,batdongsan_com_vn_35858471,Full nội thất.,,2 phòng,1 phòng,,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Căn nhà tôi đối diện trung tâm thương mại Vincom bên Ocean Park Gia Lâm.Hiện đang cho thuê làm hàng cafe 100tr/tháng.Hai mặt tiền thoáng đẹp như tây, nằm ngay giữa chỗ phố đi bộ mới tổ chức gần đây rất đông.Diện tích xây dựng 70m²/sàn, tôi đã làm xong sổ đỏ.Nay cần tiền bán gấp trong T11 này thì tốt, anh chị nào thiện chí liên hệ tôi sẽ gia lộc.LH tôi sdt 0869 999 *** ",127 m²,30 tỷ,Đông - Bắc,22/11/2022,29/11/2022,Tin thường,35921557,batdongsan_com_vn_35921557,Đầy đủ.,5 m,2 phòng,3 phòng,5 tầng,Sổ đỏ/ Sổ hồng.,Đông - Bắc,13 m
"['Hà Nội', 'Long Biên', 'Phường Phúc Đồng', 'Đường Chu Huy Mân']","
Mảnh đất nhà tôi thuộc khu tái định cư, đường rộng ô tô tránh - vỉa hè rộng - trước nhà tôi dự tính xây building kinh doanh cafe và cho thuê VP nay chuyển hướng kinh doanh nên tôi cần bán lạiLô đất nằm sát khu BT vinhome riverside, sát dự án đang hoàn thành Grand Jardin, nên hưởng toàn bộ tiện ích của cả Vin và Grand Jardin.Pháp lý: Sổ đỏ vuông vắn tôi cất két, ai có nhu cầu mua sử dụng thật gọi điện trực tiếp cho tôi để trao đổi giá, không tiếp MG - Trung gian.0942535680 - Hương ",81 m²,Thỏa thuận,,27/11/2022,04/12/2022,Tin thường,35782030,batdongsan_com_vn_35782030,,4.5 m,,,,Sổ đỏ.,,
