address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Pháp lý
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
Bán nhà phố Cổ Linh, nhà chủ tự xây cực kỳ tâm huyết, gara ô tô.+ Diện tích 65m² x 4 tầng. Mỗi tầng 2 phòng rộng rãi, khép kín, đầy đủ nội thất giường tủ bàn ghế,+ Hai mặt thoáng trước sau, ngõ ô tô tải qua nhà, cách ô tô tránh 50m.+ Tiện ích xung quanh đầy đủ, gần trường học Cấp 1,2,3. Gần hồ Thạch Bàn, gần nhiều khu đô thị, gần TTTM Aeon Mall.+ Ngõ thông Cổ Linh, Thạch Bàn, Ngọc Trì.+ SĐCC. Giá nhỉnh 5 tỷ.Liên hệ: Ms. Dung 0936 367 *** ",65 m²,Thỏa thuận,4 m,,,4 tầng,5 phòng,4 phòng,Đầy đủ nội thất giường tủ bàn ghế.,29/11/2022,06/12/2022,Tin thường,35744159,batdongsan_com_vn_35744159,5 m,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án Anland Complex']","
Do k có nhu cầu ở cần bán lại căn cc Anland Complex.Diện tích 56m², thiết kế 2 ngủ + 1 vệ sinh + 2 ban công.Nội thất: Nóng lạnh, điều hòa, tủ bếp,...Sổ đỏ chính chủ.Giá 2,1x tỷ.Liên hệ: 0979 923 *** ",56 m²,2.1 tỷ,,,,,2 phòng,1 phòng,"Nóng lạnh, điều hòa, tủ bếp, ...",24/11/2022,01/12/2022,Tin thường,35668096,batdongsan_com_vn_35668096,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án Anland Complex']","
Một số anh chị chủ nhà gửi bán căn hộ tại chung cư Anland Complex (Anland 1), diện tích từ 54 - 75 - 90m², giá bán từ 1.9 tỷ/căn. Liên hệ nhận thông tin và tư vấn thủ tục:* Thông tin các căn bán: 0911 237 ***- Diện tích 54m² thiết kế 2PN, WC, 2 Logia: Giá bán chỉ từ 2 tỷ.- Diện tích 75m² thiết kế 2PN, WC, 2 Logia hoặc thiết kế 3 ngủ (2PN + 1 phòng đa năng): Giá bán từ 2.8 tỷ/căn.- Diện tích 90m² có mấy căn: A1, B1, B9, B10: Giá bán từ 3.2 tỷ/căn.Liên hệ được tư vấn miễn phí: 0911 237 *** ",56 m²,2 tỷ,,,,,3 phòng,2 phòng,Full đồ,25/11/2022,02/12/2022,Tin thường,32395016,batdongsan_com_vn_32395016,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Phúc Đồng', 'Đường Nguyễn Lam', 'Dự án The Diamond Point']","
Chính chủ chuyển nhượng BT khu đất vàng cuối cùng Long Biên - The Diamond Point (Dự án C14 Phúc Đồng).- Diện tích: 105m².- Mặt tiền: 7m.- DTXD: 210m².- Số tầng: 4,5 tầng.- Hướng: Đông Nam.- View: Công viên.Liên hệ hoặc inbox để trải nghiệm thực tế dự án 0968 736 *** ",105 m²,20.5 tỷ,20 m,Đông - Nam,,5 tầng,5 phòng,3 phòng,,29/11/2022,06/12/2022,Tin thường,35982891,batdongsan_com_vn_35982891,7 m,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm']","
Bán nhà mặt phố Ngọc Lâm, vị trí đẹp, đoạn kinh doanh sầm uất, vỉa hè rộng.+ Diện tích 50m² x 5 tầng, lô góc 1 mặt phố 1 mặt ngõ. Các tầng trên đua ra gần 55m²/ tầng.+ Hiện đang cho thuê toàn bộ nhà 20 triệu/tháng, Hợp đồng thuê 5 năm. Thích hợp khách mua giữ tiền, đầu tư, có dòng tiền hàng tháng.+ SĐCC, giá bán nhỉnh 9 tỷ.Liên hệ: Ms. Dung 0936 367 ***. Miễn TG.            ",55 m²,Thỏa thuận,,,,5 tầng,,,,29/11/2022,06/12/2022,Tin thường,30506417,batdongsan_com_vn_30506417,,Sổ đỏ.
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Do chuyển công tác nên tôi cần bán căn hộ 3PN The Pride - Hà Đông - Hà Nội.Diện tích: 102m² - 3pn, 2wc.+ Nội thất: Full đồ nội thất đẹp.+ Giá: 2.6x tỷ.+ Tầng trung, hướng mát, thang máy đi thoải mái.Tiện ích nội khu, ngoại khu đầy đủ.Liên hệ: 0979 923 ***Miễn trung gian).            ",102 m²,2.6 tỷ,,Đông - Nam,,,3 phòng,2 phòng,Full nội thất,25/11/2022,02/12/2022,Tin thường,34721160,batdongsan_com_vn_34721160,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm']","
Chính chủ bán tòa căn hộ phố Ngọc Lâm:+ Diện tích 70m² x 6 tầng, thang máy, lô góc 2 mặt thoáng.+ Tổng 10 căn hộ khép kín cho thuê, full đồ đạc: Giường tủ, bàn ghế, điều hòa,+ Ô tô tránh cách nhà 5m. Ngõ thông tứ phía: Ngọc Lâm - Hồng Tiến - Nguyễn Văn Cừ.+ Nhỉnh 11 tỷ dòng tiền gần 50 triệu/tháng.+ SĐCC.Liên hệ: Ms. Dung 0936 367 *** ",70 m²,11.2 tỷ,4 m,,,6 tầng,10 phòng,10 phòng,,29/11/2022,06/12/2022,Tin thường,35425878,batdongsan_com_vn_35425878,5.8 m,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
Bán nhà phố Nguyễn Văn Cừ, nằm trong khu phân lô VIP Gia Thụy, ô tô tránh thông tứ phía - phù hợp khách mua ở, hoặc làm Văn phòng Công ty.+ Diện tích 50m² x 3 tầng, khung cột chắc chắn, mỗi tầng 1 phòng rộng khép kín.+ Nhà 2 mặt ngõ trước sau, đường trước nhà 2 ô tô tránh, mặt sau cũng ngõ ô tô.+ Khu phân lô đường nhựa, dân trí cao, an ninh tốt. Gần nhiều trường học các cấp, gần sân golf Đảo Sen, thông Nguyễn Sơn, Lâm Hạ.+ SĐCC. Giá nhỉnh 6 tỷ.Liên hệ: Ms. Dung 0936 367 *** ",50 m²,Thỏa thuận,4 m,,,3 tầng,3 phòng,3 phòng,,29/11/2022,06/12/2022,Tin thường,35332943,batdongsan_com_vn_35332943,4 m,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Sơn']","
Bán nhà phố Nguyễn Sơn, vị trí cực đẹp, phố kinh doanh hàng xách tay đông đúc sầm uất.+ Diện tích 80m² x 4 tầng.+ Lô góc, vỉa hè rộng, 2 mặt đều ô tô tránh.+ Thích hợp vừa ở, vừa kinh doanh hoặc cho thuê.+ SĐCC. Giá nhỉnh 9 tỷ.Liên hệ: Ms. Dung 0936 367 ***. Miễn TG.            ",80 m²,Thỏa thuận,6 m,,,4 tầng,4 phòng,3 phòng,,28/11/2022,05/12/2022,Tin thường,33879711,batdongsan_com_vn_33879711,6 m,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung']","
Nhà rất hợp lý luôn. Đầy đủ yếu tố ngon - bổ - rẻ.Phố Lạc Trung, Kim Ngưu, Quận Hai Bà Trưng.Nhà chính chủ tự xây dựng, mới xây được 2 năm, không 1 vết xước sơn, nhà thơm mùi gỗ, chất lượng được đảm bảo.Diện tích nhà: 60m², 5 tầng.Thiết kế cầu thang giữa, tổng 6 phòng ngủ, thoáng đãng rộng rãi.Ngõ trước nhà thông, thẳng dễ đi lại.Sổ đỏ phân lô giao dịch ngay.Giá chào: 6,3 tỷ. Có sẵn nhà 5 tầng mới ở ngay.Hình ảnh chuẩn 100%.            ",60 m²,6.3 tỷ,3 m,,,5 tầng,6 phòng,4 phòng,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35983604,batdongsan_com_vn_35983604,4 m,Đã có sổ
