address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', 'Dự án Berriver Long Biên']","
Căn hộ thiết kế 2 phòng ngủ + 2 wc, ban công thoáng mát view xa tầng cao đẹp.Bàn giao Full nội thất cơ bản.Bàn giao nhà ở ngay.Các phòng thiết kế tối ưu đón ánh sáng tự nhiên.Liên hệ DT: 0961 896 *** Đi xem thực tế ngay.            ",80 m²,3.3 tỷ,,2 phòng,29/11/2022,09/12/2022,Tin thường,34825668,batdongsan_com_vn_34825668,,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Đồng', 'Đường Nguyễn Lam', 'Dự án The Diamond Point']","
The Diamond Point tọa lạc tại vị trí kim cương vô cùng đắc địa. C14 Phúc Đồng là trung tâm quận Long Biên. Dự án liền kề khu đô thị đẳng cấp Vinhomes Riverside The Harmony. Dự án The Diamond Point Long Biên được quy hoạch thông minh, hiện đại trên nền tảng hạ tầng đã được đầu tư bài bản, thông thương, thịnh vượng.            ",102.5 m²,195 triệu/m²,Đông - Bắc,8 phòng,29/11/2022,09/12/2022,Tin thường,35861118,batdongsan_com_vn_35861118,15 m,4 tầng,8 phòng,Đang chờ sổ,Bàn giao Thô,7 m,Đông - Bắc
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
- Bán gấp CCMN Yên Xá Thanh Trì Hà Nội, kinh doanh sầm uất, diện tích 58m² - 8 tầng thang máy - mặt tiền 4,1m. Liên hệ Sơn 0918 279 ***- Nhà thuộc mặt ngõ Yên Xá, đường trước nhà 3 ô tô tải tránh nhau, khu vực kinh doanh sầm uất ngày đêm, cách 500m ra trung tâm Văn Quán Hà Đông.- Khu vực mệnh danh thủ phủ cho thuê dòng tiền, gần 5 trường đại học, lúc nào cũng full phòng.- Nhà hiện tại đang hoàn thiện tổng 14 phòng khép kín, diện tích trên sổ 58m² từ tầng 2 xây đua 62m², thiết kế 8 tầng thang máy.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.- Liên hệ Sơn 0918 279 *** ",58 m²,11.7 tỷ,,,24/11/2022,01/12/2022,Tin thường,35781068,batdongsan_com_vn_35781068,,8 tầng,,Có sổ.,,4.1 m,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng']","
- Bán gấp đất phân lô, đẹp, rẻ, không lỗi phong thủy, Đìa Lão, Hà Đông, diện tích 50m - mặt tiền 4m. Liên hệ Sơn 0918 279 ***- Mảnh đất cực đẹp, cách 1 lô ra lô góc, không lỗi phong thủy, giá mềm nhất khu vực, vỉa hè ô tô tránh, khu vực dân trí cao, tiện ích ngập tràn.- Khu vực giao thương thông thuận, thông Thanh Hà, Văn Phú, Mậu Lương, Xa La.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.- Liên hệ Sơn 0918 279 *** ",50 m²,5.6 tỷ,,,24/11/2022,01/12/2022,Tin thường,35692684,batdongsan_com_vn_35692684,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Quang Trung']","
- Bán gấp nhà mặt phố Quang Trung, kinh doanh đỉnh diện tích 97,8m² - 3 tầng - mặt tiền 4,5m. Liên hệ Sơn 0918 279 ***- Toà nhà tọa lạc vị trí đẹp, Khu vực kinh doanh sầm uất, vỉa hè rộng 7m, mặt tiền rộng, giao thương thông thuận, nhà thiết kế 3 tầng, vị trí cực đẹp phù hợp nhiều hình thức kinh doanh, gần ngay ngã tư Lê Trọng Tấn, Văn Phú, sổ vuông đẹp như giấy A4.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.- Liên hệ Sơn 0918 279 *** ",97.8 m²,19 tỷ,,,24/11/2022,01/12/2022,Tin thường,31540159,batdongsan_com_vn_31540159,,3 tầng,,Sổ đỏ,,4.5 m,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Dự án Khai Sơn City']","
Căn hộ vị trí góc nhiều ánh sáng tự nhiên thiết kế 3 phòng ngủ 2WC.Thiết kế hiện đại sang trọng.Các phòng ngủ, master đều thiết kế cửa sổ lớn bao quát rộng làm cho căn phòng trở lên sáng sủa thông thoáng.Phòng khách rộng ban công rộng to view thoáng mát.Nhà WC rộng đầy đủ hợp lý có vách kính.Bàn giao full nội thất cơ bản.LH: 0961 896 *** ",101 m²,4.45 tỷ,,3 phòng,25/11/2022,02/12/2022,Tin thường,35952209,batdongsan_com_vn_35952209,,,2 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
- Bán gấp đất phân lô giá rẻ KDV Yên Nghĩa Hà Đông, vỉa hè, ô tô tránh, diện tích 50m², mặt tiền 4m, liên hệ Sơn: 0918 279 ***- Nằm trong khu phân lô dịch vụ A Yên Nghĩa Hà Đông, cách bến xe vài trăm mét, khu vực đất đang tăng giá từng ngày, dưới 5 tỷ quá hiếm, hai bên đã xây dựng kín, dân cư đông đúc, an sinh đỉnh cao.- Mảnh đất phù hợp xây văn phòng kết hợp để ở, dành cho những ai đang muốn mua giữ tiền.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.- Liên hệ Sơn 0918 279 *** ",50 m²,4.65 tỷ,,,24/11/2022,01/12/2022,Tin thường,35347272,batdongsan_com_vn_35347272,,,,Sổ đỏ,,4 m,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc']","
- Bán gấp nhà phân lô KDV Vạn Phúc Hà Đông, kinh doanh, diện tích 50/55m² - 5 tầng - mặt tiền 5m. Liên hệ Sơn 0918 279 ***- Nhà thuộc khu phân lô dịch vụ Vạn Phúc, Hà Đông hưởng trọn vẹn tiện ích của khu đô thị Him Lam, đường phân lô, vỉa hè, ô tô tránh, kinh doanh văn phòng cực đẹp.- Nhà xây kiên cố chắc chắn, từ tầng 2 xây đua là 55m², thông số tiêu chuẩn, gần trường tiểu học Vạn Bảo, thông khu đô thị Văn Khê, thông Vạn phúc, Tố Hữu Hàng xóm thân thiện, dân trí cao, tiện ích ngập tràn, an sinh đỉnh cao. Thông số và tiêu đề chuẩn 100%.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.- Liên hệ Sơn 0918 279 *** ",50 m²,9.9 tỷ,,,24/11/2022,01/12/2022,Tin thường,35337264,batdongsan_com_vn_35337264,,5 tầng,,Sổ đỏ,,5 m,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Dự án Hà Nội Homeland']","
Căn hộ 3 phòng ngủ, 2 nhà WC, 1 phòng khách + khu bếp.Căn 3 lô giá thoáng view đẹp.Thiết kế hiện đại sang trọng.Các cửa sổ đều đón ánh sáng tự nhiên thoáng mát.Dự án mới bàn giao nhiều tiện ích:- Đường dạo bộ vườn cây xanh.- Đài phun nước + khuôn viên 4 mùa.- Khu vui chơi cho trẻ ngoài trời.- Trung tâm thương mại và ki ốt tầng 1.- Khu văn phòng tầng 2.- 01 tầng hầm liên thông.- Hồ điều hòa.- 4 Bể bơi ngoài trời.Hotline PKD CĐT: 0961 896 ***Cam kết:Bán đúng giá niêm yết trên hợp đồng của chủ đầu tư.Cung cấp đầy đủ thông tin mới nhất và chính xác nhất tới khách hàng.Hỗ trợ TV trực tiếp, chuyên sâu giúp khách hàng tìm ra lựa chọn căn hộ phù hợp nhất.Hỗ trợ mọi thủ tục cho khách hàng từ lúc đặt mua đến tận khi nhận bàn giao căn hộ.Không thu bất cứ khoản phí nào ngoài của quý khách hàng.            ",94 m²,3 tỷ,,3 phòng,25/11/2022,02/12/2022,Tin thường,34493574,batdongsan_com_vn_34493574,,,2 phòng,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
- Bán siêu phẩm 3 thoáng mặt phố Quang Trung, Hà Đông, kinh doanh vip, diện tích 460m² - mặt tiền 16,9m. Liên hệ Sơn 0918 279 ***- Hiện trạng nhà cấp 4 cho thuê để kinh doanh siêu thị, mảnh đất vàng còn sót lại tại mặt phố Quang Trung, nhà 3 mặt thoáng cực hiếm, cực phù hợp xây bệnh viện, trung tâm thương mại, toà Văn phòng. Nhiều hình thức sử dụng khác nhau.- Vị trí kết nối giao thương thuận lợi, dân cư cực đông đúc, sổ cực đẹp nở hậu.- Sổ đỏ chính chủ, pháp lý sạch, miễn trung gian môi giới.- Liên hệ Sơn 0918 279 *** ",460 m²,125 tỷ,,,24/11/2022,01/12/2022,Tin thường,34003377,batdongsan_com_vn_34003377,,,,Sổ đỏ,,16.9 m,
