address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Do có nhu cầu thu xếp tài chính nên cần bán gấp LK19 mặt đường 33m.Thông tin như sau:Lô LK19 - 80.Đường 33m.Diện tích 100m².Hướng Tây Bắc.Tình trạng: Đang xây thô nguyên trạng chủ đầu tư.Khách hàng có nhu cầu liên hệ 0985 929 *** để nhận giá tốt nhất.            ",100 m²,Thỏa thuận,4 tầng,Hợp đồng mua bán,27/11/2022,04/12/2022,Tin thường,35160075,batdongsan_com_vn_35160075,4 phòng,4 phòng,Bàn giao nguyên trạng CĐT,5 m,33 m,Tây - Bắc,Tây - Bắc
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Dự án Golden West']","
Cần bán chung cư Golden West thiết kế 2PN 2WC.Giá chỉ 2.4 tỷ.Liên hệ 0968 501 *** ",82.5 m²,2.4 tỷ,,,27/11/2022,06/12/2022,Tin thường,35749449,batdongsan_com_vn_35749449,2 phòng,2 phòng,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Trần Thủ Độ', 'Dự án Green Park Trần Thủ Độ']","
Bán gấp chung cư Green Park 2PN 2WC.Giá 1.8 tỷ.Liên hệ 0968 501 *** để đàm phán.            ",54 m²,1.8 tỷ,,Đã có sổ chính chủ,27/11/2022,06/12/2022,Tin thường,35762470,batdongsan_com_vn_35762470,2 phòng,2 phòng,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Nguyễn Du', 'Đường Nguyễn Đình Chiểu', 'Dự án Green Park']","
Bán nhanh chung cư Green Park.Thiết kế 2PN 2WC.Giá 2.2 tỷ.Liên hệ 0968 501 *** để đàm phán.            ",69 m²,2.2 tỷ,,Đã có sổ đỏ,27/11/2022,06/12/2022,Tin thường,35750431,batdongsan_com_vn_35750431,3 phòng,2 phòng,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', 'Dự án Eco Lake View']","
Cần bán căn hộ Eco Lake View, 2PN 2WC.Giá 2.5 tỷ.Liên hệ 0968 501 *** để đàm phán.            ",75 m²,2 tỷ,,Có sổ chính chủ,27/11/2022,06/12/2022,Tin thường,35762576,batdongsan_com_vn_35762576,2 phòng,2 phòng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Đỗ Quang']","
BULDING VĂN PHÒNG BỂ BƠI VÔ CỰC - TRUNG HOÀ NHÂN CHÍNH CẦU GIẤY ( DUY NHẤT GIÁ CẮT LỖ SIÊU TỐT KHÔNG CĂN THỨ 2 )- XÂY DỰNG 10 TẦNG 1 HẦM - DIỆN TÍCH : 528m2- MẶT TIỀN 15m- Thoáng trước sau, nở hậu 10cm phong thuỷ đẹp.- Đường rộng 3 ô to tránh, vỉa hè 5m, view vườn hoa.- Cạnh nhà sẵn bãi để xe ngày đêm.- Toà 10 tầng 1 hầm hoàn thiện đầu 2022 tự xây thiết kế linh hoạt, làm tòa trụ sở cty, kính hộp 2 lớp erowindor cách âm cách nhiệt,2 thang máy nhập nguyên bộ, hệ thống điều hoà Daikin, đá ốp mặt tiền Granit Brazil, đá ốp thang máy trang trí là đá tráng Italy, thiết bị vệ sinh ToTo nhập khẩu, hệ thống pccc đạt chuẩn ...- Tiềm năng tăng giá cao, giá đang cực tốt ở khu vực.- Sổ đỏ , thửa đất vuông đét, GPXD & PCCC, hoàn công , GPKD hợp đồng thuê đầy đủLIÊN HỆ NGAY EM HUY : 0977 371 *** để xem nhà            ",528 m²,230000 tỷ,10 tầng,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35962342,batdongsan_com_vn_35962342,1 phòng,1 phòng,,15 m,15 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án Bea Sky']","
Cần bán gấp chung cư Beasky thiết kế 2PN 2WC.Giá 2.5 tỷ.Liên hệ 0968 501 *** để thương lượng.            ",70 m²,2.5 tỷ,,Đã có sổ.,27/11/2022,06/12/2022,Tin thường,35758720,batdongsan_com_vn_35758720,2 phòng,2 phòng,Đầy đủ.,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Dự án Golden West']","
Cần bán nhanh căn hộ ở Golden West 3PN 2WC vị trí số 2 Lê Văn Thiêm giá bán nhanh 2.7 tỷ.Liên hệ 0968 501 *** để đàm phán.            ",96 m²,2.7 tỷ,,,27/11/2022,06/12/2022,Tin thường,35749251,batdongsan_com_vn_35749251,3 phòng,2 phòng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', ""Dự án Vinhomes D'Capitale""]","
Bán gấp căn hộ D'Capital 2PN 2WC.Giá 4 tỷ.Liên hệ 0968 501 ***không tiếp môi giới).            ",70 m²,4 tỷ,,Có sổ Vĩnh viễn,27/11/2022,06/12/2022,Tin thường,35760082,batdongsan_com_vn_35760082,2 phòng,2 phòng,Full đồ nội thất như ảnh,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hoàng Minh Giám']","
Lõi Thanh Xuân duy nhất 1 căn lk đẳng cấp, sang trọng - vỉa hè rộng - 2 ô tô tránh - 73m², 6 tầng, MT 5.2m - thang máy.LH: E Thắng xem nhà, tư vấn miễn phí 0973 957 ***zalo).- Định cư nước ngoài, GĐ muốn nhượng lại ngôi nhà vượng phát.- Nhà liền kề, vị trí đắc địa, vỉa hè rộng, nơi kết nối giao thông đồng bộ: Nguyễn Tuân, Lê Văn Lương, Khuất Duy Tiến...- Khu lõi Quận Thanh Xuân, được bao bọc bởi những tổ hợp TM, địa ốc VP, trường học đầu ngành, công viên cây xanh, cùng một dãy những nhà hàng, siêu thị...- Nhà được thiết kế dựa theo bản vẽ của kiến trúc sư danh tiếng nên phòng nào cũng thể hiện sự thoáng sáng, đẳng cấp vượt trội, công năng từng góc cạnh được phát huy tối đa.- Diện tích: 73m², 6 tầng thang máy, mặt tiền rộng 5.2m bề thế.- Tk:Tầng 1: Pk siêu rộng + wc.Tầng 2,3: Mỗi tầng 2 pn master, wc.Tầng 4: 2 pn khép kín, wc.Tầng 5: Bếp + phòng ăn, wc.Tầng 6: P. Thờ, sân phơi, vườn cây bonsai.- Sổ đỏ CC, vuông vắn, pháp lí rõ ràng, sẵn sàng giao dịch.- Giá tốt nhất Quận TX.            ",73 m²,14 tỷ,6 tầng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,33792034,batdongsan_com_vn_33792034,6 phòng,5 phòng,Full nội thất.,5.2 m,6 m,,
