address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Pháp lý,Mặt tiền,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Trung Phụng', 'Phố Khâm Thiên']","
Bán nhà 15m² x 4 tầng, 1 tum giá 1,4 tỷ - sổ đỏ riêng.Ngõ chợ Khâm Thiên, Đống Đa.- Nhà gồm 4 tầng, 1tum gồm: - 2WC - 2PN - 1 bếp.- Không có ảnh - gđ tiếp khách xem nhà trực tiếp.Sổ đỏ chính chủ, giao nhà ngay.Giá 1 tỷ 400.LH 0969 987 *** ",15 m²,1.4 tỷ,2 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,34988643,batdongsan_com_vn_34988643,5 tầng,Sổ đỏ/ Sổ hồng,3 m,2 m,Nội thất đầy đủ,Đông - Nam,Đông - Nam
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Chính chủ - bán chung cư CT1 Xã Đàn - Ô Chợ Dừa - Đống Đa.Liên hệ Hưng chủ đầu tư: 0982 882 ***Tòa nhà xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Diện tích: 45m² - 48m² - 49m² - 50m² - 55m² - 60m².Giá bán: 615 triệu - 720tr - 915tr - 1 tỷ.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Tôi là chủ: 0982 882 ***Liên hệ trực tiếp chủ đầu tư để mua nhà - Add Zalo để nhận video căn hộ.            ",55 m²,800 triệu,2 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,34045928,batdongsan_com_vn_34045928,,Sổ đỏ/ Sổ hồng,,,Đầy đủ nội thất - Về ở luôn,,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Lý Sơn']","
- Diện tích 32m², nhà dân xây còn mới, thiết kế đủ công năng sử dụng, ở ngay.- Vị trí rất đẹp, cách mặt phố Lý Sơn chỉ 30m, ngõ rộng ô tô thông khắp ngả.- Giao thông thuận tiện di chuyển, vài phút ra phố Nguyễn Văn Cừ, phố Ngô Gia Tự,  Thượng Thanh, Thanh Am, Việt Hưng ... di chuyển qua cầu Đông Trù là tới Đông Anh, đi sân bay nội bài cũng rất thuận..- Tiện ích xung quanh ngập tràn: Gần chợ, siêu thị, trường học các cấp...- Sổ chính chủ vuông đẹp, giao dịch ngay.- Liên hệ ngay Mrs Hương 0853 602 *** ",32 m²,100 triệu/m²,,,23/11/2022,30/11/2022,Tin thường,35574241,batdongsan_com_vn_35574241,,Sổ đỏ,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Kim Ngưu']","
Bán nhà phố Kim Ngưu, Hai Bà Trưng, 83m² x 7 Tầng.Ô tô 7 chỗ Đỗ. Mới cứng đẹp long lanh. Giá 16,5 tỷLô góc, 3 mặt thoáng Xây 7 Tầng hiện đại, thang máy Xịn.Tầng 1: Gara ô tô, VP, kho.Tầng 2: Phòng khách.T3: Phòng ngủ Master thông sàn + VS.T4: Phòng ngủ Master thông sàn + VS.T5: 2 Phòng ngủ, 1 Vệ sinh.T6: Phòng bếp, Ăn thông sàn.T7: Phòng thờ, sân phơi, Tum mái tôn chống nóng.Nội thất bao gồm: Tầng 6 lắp máy điều hoà âm trần, và các phòng ngủ và tầng lửng, tầng một lắp máy điều hòa Đaikin.+ Tủ bếp: Lắp giá bát của Đức, máy hút mùi và bếp từ của MÃLAI nhập khẩu, đá bàn bếp là đá tự nhiên,+ Thiết bị vệ sinh gồm: Sen cây của Hàn Quốc nhập khẩu, chậu rửa mặt và bệt xí của TOTO, gương đèn led cảm ứng.+ Tủ rượu tầng 6 và mặt thang máy ốp gỗ lim.Giá: 16,5 tỷ LH 0969 987 *** ",83 m²,16.5 tỷ,4 phòng,5 phòng,26/11/2022,03/12/2022,Tin thường,35600386,batdongsan_com_vn_35600386,7 tầng,Sổ đỏ/ Sổ hồng,6 m,6 m,Nội thất đầy đủ,Đông - Nam,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đống Mác', 'Phố Lò Đúc']","
Bán chung cư N1 Lò Đúc - Kim Ngưu - Hai Bà TrưngLiên hệ Hưng Chủ Đầu Tư : 0982 882 ***Căn hộ xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi.Giá bán: 600tr - 700tr - 800tr - 928tr - 1 tỷ.Diện tích: 47m² - 48m² - 49m² - 53m²- 55m² - 65m².Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Chủ Đầu Tư : 0982 882 ***Liên hệ trực tiếp chủ đầu tư để mua nhà - add zalo để nhận video căn hộ.            ",47 m²,600 triệu,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35954179,batdongsan_com_vn_35954179,,Sổ đỏ/ Sổ hồng,,,Nội thất đầy đủ - về ở được luôn,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Tôi đang có căn biệt thự tại khu đô thị mới Dương Nội của tập đoàn Nam Cường tại Hà Đông, nằm trên mặt đường 30m kết nối từ cổng chính khu đô thị vào, trục chính trung tâm đi qua công viên hồ điều hòa, mặt đường rộng vỉa hè 10m kinh doanh cực tốt.Vị trí căn biệt thự nằm cách hồ 100m đi ra câu cá, thể dục cho bé vui chơi vô cùng tiện lợi. Công viên đã được đưa vào khai thác sử dụng và không bị thu phí.- Diện tích: 162m², mặt tiền đất 9m, lô vuông vắn không bị phạm phong thủy.- Hướng nhà: Tây Nam.- Nhà xây mẫu hiện đại 3 tầng 1 tum, có thiết kế thang máy, xung quanh hàng xóm đang về hoàn thiện đông.Giá bán 21 tỷ bao phí sang tên. Liên hệ: 0971 009 *** ",162 m²,21 tỷ,4 phòng,5 phòng,24/11/2022,01/12/2022,Tin thường,35756268,batdongsan_com_vn_35756268,4 tầng,,9 m,30 m,,Tây - Nam,Đông - Nam
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Thụy Phương', 'Đường Thụy Phương']","
- Nhà đẹp Thụy Phương gần hồ thoáng mát, 200m ra chợ Kẻ Vẽ, UBND phường Thụy Phương, trường học các cấp, Học viện Tài Chính, Đại học Mỏ Địa Chất. Khu vực gần Đông Ngạc, cầu Thăng Long, Tân Xuân, Phạm Văn Đồng, Hoàng Tăng Bí, Đông Thắng giao thông thuận tiện.- Ngõ trước nhà rộng 2,5m, cách ô tô tránh 50m.- Nhà dân xây chắc chắn, thiết kế hợp lý, đầy đủ công năng.- Nhà 3 tầng 1 tum, 4 ngủ, 1 phòng khách, 1 phòng bếp, 3 vs.- Nhà ở rất có Lộc. 3 mặt thoáng view Ciputra, ecohome, sông Hồng.- Sổ đỏ chủ cất két, sẵn sàng giao dịch.Gọi ngay em Ngọc Anh: 0386 247 *** để có nhà đẹp đón Tết.Cam kết thông tin chuẩn 100%.            ",47 m²,3.75 tỷ,4 phòng,3 phòng,26/11/2022,03/12/2022,Tin thường,35752954,batdongsan_com_vn_35752954,3 tầng,,,2.5 m,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Ngõ 364']","
Bán nhà mới xây ngõ 364 Minh Khai Hai Bà Trưng; Diện tích: 51m²; 5 tầng, giá: 5.3 tỷ.Mô tả:+ Vị trí nhà rất gần phố Minh Khai, cách 30m là ra đến mặt phố, 200m ra đến Times City, giao thông đi lại thuận tiện.+ Khu vực dân trí cao, yên tĩnh ở sướng.+ Nhà 5 tầng lô góc mới đẹp, tầng nào cũng 3 cửa sổ luôn thoáng sáng, chủ đầu tư có tiếng lên căn nào bán nhanh căn đó.Xây dựng chắc chắn, cẩn thận nội thất dùng toàn đồ tốt.Chủ mới chỉ việc về ở.+ Sổ đỏ: Nở hậu, sẵn sàng giao dịch.+ Liên hệ chính chủ: Mr Kiên 0969 987 *** ",51 m²,5.3 tỷ,3 phòng,4 phòng,21/11/2022,28/11/2022,Tin thường,33834112,batdongsan_com_vn_33834112,5 tầng,Sổ đỏ/ Sổ hồng,5 m,3 m,Nội thất đầy đủ,Nam,Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Phố Đại La']","
Chính chủ - bán chung cư A1 Kinh Tế Quốc Dân - Đại La - Minh Khai.Liên hệ Hưng chủ đầu tư: 0982 882 ***Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng.Ô tô đỗ trước cửa chung cư.Giá bán: 590tr - 755tr - 860tr - 900tr - hơn 1 tỷ.Diện tích: 47m² - 48m² - 49m² - 55m² - 58m² - 60m².Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Tôi là chủ: 0982 882 ***Liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc - Add Zalo để nhận video căn hộ.            ",48 m²,603 triệu,2 phòng,2 phòng,21/11/2022,28/11/2022,Tin thường,35301157,batdongsan_com_vn_35301157,,Sổ đỏ/ Sổ hồng,,,"Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led. ",,
"['Hà Nội', 'Đống Đa', 'Phường Ngã Tư Sở', 'Phố Thái Thịnh']","
Bán căn nhà tập thể ở tầng 2 mặt phố Thái Thịnh.Diện tích sử dụng hơn 60m² gồm 2 pn, 1 pk, 1 vệ sinh, 1 bếp.Để lại toàn bộ nội thất, nhà mới sửa lại nên rất mới.Giá bán nét 1,89 tỷ.Sổ đỏ chính chủ, mua bán công chứng giao nhà luôn.Liên hệ tôi Kiên số đt. 0969 987 *** ",60 m²,1.89 tỷ,2 phòng,1 phòng,21/11/2022,28/11/2022,Tin thường,35619029,batdongsan_com_vn_35619029,,Sổ đỏ/ Sổ hồng,,,Nội thất đầy đủ,Tây - Nam,Đông - Bắc
