address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Terra An Hưng']","
BQL chung cư The Terra An Hưng xin trân trọng gửi tới quý khách hàng quỹ căn hộ mới nhất tháng 11/2022 giá tốt được chủ nhà tin tưởng gửi bán, bao gồm các căn hộ 2PN, 3PN, 4PN giá chỉ từ 2,7 tỷ /căn hộ có thương lượng thoải mái.+ Căn 2PN diện tích 68m² và 75m² còn khoảng 30 căn giá từ 2.7 tỷ.+ Căn 3PN diện tích 90m² còn khoảng 40 căn giá từ 3.5 tỷ.+ Căn 3PN + 1 diện tích 96m² còn 20 căn giá từ 3.650 đến 3.9 tỷ tùy từng căn tầng.+ Căn Dualkey diện tích 140m² giá 5.5 tỷ.- Không báo giá ảo, chào ảo làm mất thời gian của khách hàng!Hotline ban quản lý: 0902 489 *** E Hiệp Lê cư dân Terra An Hưng tư vấn nhiệt tình. Am hiểu dự án.Xin cảm ơn.            ",90 m²,3.4 tỷ,,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35871596,batdongsan_com_vn_35871596,,3 phòng,2 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Dự án Thăng Long Number One']","
+ ) Chính chủ nhà cần bán lại 1 căn hộ chung cư Thăng Long Number One view hồ.Căn hộ nhà tôi có thông tin như sau.- Diện tích là 138 m² thiết kế 4 phòng ngủ và 3 vệ sinh.- Tất cả các phòng đều có view nhìn ra Hồ điều hòa.- Cửa vào Tây Nam ban công Đông Bắc. Tầng trung.Nhà tôi đầu tư đầy đủ nội thất khách mua chỉ việc xách vali vào ở ngay.- Giá bán: Thương lượng.- Sổ đỏ chính chủ.Anh chị có nhu cầu xem nhà và sổ đỏ mời liên hệ em Hoan: 0339 980 *** ",138 m²,Thỏa thuận,,,Sổ đỏ chính chủ.,18/11/2022,28/11/2022,Tin Vip 2,35871150,batdongsan_com_vn_35871150,Tây - Bắc,4 phòng,3 phòng,,Đông - Bắc,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Đức Giang', 'Dự án Bình Minh Garden']","
- Chủ đầu tư dự án: Công ty cổ phần đầu tư và phát triển bất động sản Thế Kỷ - Ceninvest.Liên hệ: 0902 161 **** Chung cư Bình Minh Garden (BMG) thiết kế cao 25 tầng nổi, trong đó 2 tầng TTTM và 3 tầng hầm.- Từ tầng 3 đến 24: 22 căn/sàn, 8 thang máy tốc độ cao, nhiều khe thoáng tạo ra 8 căn góc/sàn.- Quỹ căn hộ: 494 căn, gồm 2 Block.- Diện tích 02 phòng ngủ: 73m² - 74 m².- Diện tích 03 phòng ngủ: 91m²; 92m²; 94m², 95m², 100m², 104 m², và 2 ban công/căn hộ.- Căn hộ full nội thất gắn tường cao cấp.* Chính sách:- Chiết khấu tới 11%.- Tặng 2 năm phí dịch vụ.- Hỗ trợ 65% GTCH không lãi suất trong 24 tháng.- Đóng 30% nhận nhà.- Miễn 2 năm phí tập Gym + phí Bussiness Lounge.- Chỗ đỗ xe ô tô định danh.- Hỗ trợ giải ngân song song - duy nhất tại Hà Nội.* Vị trí nằm trong lõi khu vực Long Biên.+ Chỉ mất chưa tới 15 phút di chuyển thuận tiện tới trung tâm phố cổ.+ Cách trường học quốc tế, bệnh viện Đức Giang chỉ 5 phút di chuyển.+ Cách BigC, Aeon Mall Long Biên chỉ 10 phút di chuyển.* Tiện ích 5* hoàn hảo, chuẩn phong cách sống Xanh và Sang thời thượng:+ Nhà trẻ ngay trong tòa chung cư.+ Khối đế TTTM và shophouse sôi động 24/7. + Vườn Ánh Dương 6000m.+ Những căn hộ đa dạng diện tích, thiết kế thông minh sở hữu tầm view Sông Hồng, sông Đuống rộng thoáng.Liên hệ báo giá, xem nhà mẫu:Căn hộ chung cư bình minh garden (bmg) 100m² - 3PN, giá chỉ từ 3.4 tỷ. Liên hệ trực tiếp chủ đầu tư: 0902 161 ***Chung cư Bình Minh Garden - thiết kế cao 25 tầng nổi, trong đó 2 tầng TTTM và 3 tầng hầm.- Từ tầng 3 đến 24: 22 căn/sàn, 8 thang máy tốc độ cao, nhiều khe thoáng tạo ra 8 căn góc/sàn.- Quỹ căn hộ: 494 căn, gồm 2 Block.- Căn hộ full nội thất cơ bản.Thông tin chi tiết căn 100m².- Ban công: Đông Nam.- Phòng ngủ chính 15m, phụ 12m.- Phòng WC: 4m.- Thiết kế 3PN + 2WC, 1 ban công + 1 lô gia.* Tiện ích hoàn hảo, chuẩn phong cách sống xanh và sang thời thượng:+ Nhà trẻ.+ Khối đế TTTM và shophouse.+ Công viên 6000m.+ View Sông Hồng, sông Đuống rộng thoáng.Phòng kinh doanh: 0902 161 *** ",100 m²,33 triệu/m²,,,Hợp đồng mua bán.,18/11/2022,28/11/2022,Tin Vip 2,35736272,batdongsan_com_vn_35736272,Tây - Bắc,3 phòng,2 phòng,Nội thất đầy đủ căn hộ full nội thất gắn tường cao cấp.,Đông - Nam,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh', '54A', 'Vinhomes Nguyễn Chí Thanh']","
Bất động sản Bình Minh chuyên mua bán, cho thuê chung cư Vinhomes 54A Nguyễn Chí Thanh, Đống Đa, Hà Nội.Gọi ngay chúng tôi để được tư vấn chính xác và xem nhà nhanh nhất Mr Bình: 0944 266 ***- Giá cam kết rẻ nhất thị trường.- Tư vấn nhiệt tình chính xác nhất.- Công ty có văn phòng ngay tại Vincom Nguyễn Chí Thanh nên xem nhà bất kể khi nào 24/7.- Ký hợp đồng trực tiếp với chủ nhà.- Có ưu đãi cho khách hàng đặt cọc trước.- Cam kết có lot gửi ô tô cho khách mua, thuê căn hộ.- Khách mua được xem trực tiếp căn hộ, làm việc chính chủ.- Đặc biệt khách hàng không mất phí môi giới và được hỗ trợ toàn bộ thủ tục sang tên cho người mua tới bao giờ xong, khách hàng hoàn toàn yên tâm. Tham gia bán từ lúc làm móng nhiều chủ tin tưởng giao cầm chìa khoá nhiều căn để mở cửa cho khách xem nhà.+ Căn 2 ngủ:- Căn số 07,09,11,12A diện tích 86,5m² có 2 phòng ngủ, ban công Đông Nam - cửa ra vào Tây Bắc. Nội thất cao cấp bán tùy từng căn tầng từ 5,3 tỷ đến 5,8 tỷ.- Căn số 04,06,08 Tầng 8 - 30 view nhìn ra hồ Chùa Láng ban công Tây Bắc - cửa ra vào Đông Nam. Nội thất cao cấp bán từ 5,2 đến 5,7 tỷ bao tên giấy tờ.+ Căn 3 ngủ:- Căn số 15 127,2m². Có 3 phòng ngủ, căn góc Đông Nam - Đông Bắc đẹp nhất dự án. Bán giá từ 8,5 tỷ đến 9.2 tỷ bao tên tùy từng tầng, có căn đang cho thuê phù hợp cả với những khách đầu tư.- Căn số 16 118,3m². Có 3 phòng ngủ - Đông Bắc. View nhìn ra hồ Chùa Láng. Nội thất cao cấp. Bán giá từ 7,9 đến 8,3 tỷ bao sang tên.- Căn số 12B - 137,1m². Căn góc view nhìn hồ Ngọc Khánh. Ban công Đông Bắc - Tây Bắc. Có 3 phòng ngủ. Nội thất cao cấp. Bán từ 8,5 tỷ đến 9,1 tỷ bao tên.- Căn số 12 - 109.9m². Căn 3 phòng ngủ view hồ Chùa Láng. Đã sửa đẹp đang cho thuê phù hợp khách mua đầu tư. Cửa vào đông nam. Giá bán 7,3 tỷ full nội thất nhà sửa đẹp long lanh.- Căn số 01 - 128,6m². Có 3 phòng ngủ. Ban công hướng Tây Nam, nhìn ra Nguyễn Chí Thanh và Chùa Láng. Cửa ra vào hướng Đông Bắc. Bán giá từ 8,1 tỷ đến 8.9 tỷ tùy từng tầng bao sang tên.+ Căn 4 ngủ:- Căn số 03 - 167m². Tầng 16 - 25. Có 4 phòng ngủ. Ban công Đông Nam - Tây Nam. View nhìn mặt phố Nguyễn Chí Thanh, hồ Thành Công. Bán 12,8 tỷ bao tên giấy tờ. Đang cho người nước ngoài thuê. Giao nhà ngay.- Căn 02 - Tầng 15 - 28 - 167m². Có 4 phòng ngủ. Ban công Tây Nam - Tây Bắc view thành phố. Bán giá 11,5 tỷ nhà đã sửa đẹp.- Căn 02 - 167m². Tầng 8 - 15. Có 4 phòng ngủ. Giá gốc 11,5 tỷ. Ban công Tây Nam/Tây Bắc. Nội thất cao cấp. View nhìn mặt phố Nguyễn Chí Thanh và mặt hồ chùa láng. Bán cắt lỗ 11 tỷ.+ Căn 1 ngủ:- Căn số 10 - 54m² (căn nhỏ duy nhất). Tầng 15 - 25. Nhìn ra hồ Chùa Láng. Nhà sửa đầy đủ nội thất cao cấp. Bán 3.5 tỷ.Gọi ngay chúng tôi để biết thông tin chi tiết.Bất động sản Bình Minh.Hotline: 0944 266 ***https://batdongsanbinhminh.vn/Email: support@batdongsanbinhminh.vnCảm ơn quý khách hàng đã quan tâm!            ",86.5 m²,5.2 tỷ,,,Đã có sổ đỏ chính chủ,17/11/2022,27/11/2022,Tin Vip 2,34664392,batdongsan_com_vn_34664392,Tây - Bắc,2 phòng,2 phòng,"- Nội thất hoàn thiện của chủ đầu tư: Sàn gỗ, trần thạch cao, hệ thống chiếu sáng, hệ thống bếp cao cấp, điều hòa âm trần Mitsubishi, tủ âm tường. - Full nội thất: Sofa, giường, bàn ăn, tivi, tủ lạnh",Đông - Nam,
"['Hà Nội', 'Đống Đa', 'Phường Quang Trung', 'Phố Chùa Bộc']","
Chính chủ bán chung cư N01 Chùa Bộc - Phạm Ngọc Thạch - Đống Đa từ 580 triệu/căn, vào ở ngay, full nội thất.Liên hệ Hưng chủ đầu tư: 0982 882 ***.1. Vị trí.- Chung cư N01 Chùa Bộc - Phạm Ngọc Thạch - Đống Đa nằm ở trung tâm Quận Đống Đa, giao thông thuận kết nối với các tuyến đường như, đường Xã Đàn, Đường Tôn Đức Thắng, đường Phạm Ngọc Thạch.- Gần trung tâm thương mại, các trường đại học lớn. ĐH Kinh Tế Quốc Dân, ĐH Bách Khoa, ĐH Xây Dựng, ĐH Y Hà Nội, Học Viện Ngân Hàng.2. Thiết kế.- Tòa nhà đầy đủ thang bộ, thang máy, bảo vệ 24/24, phòng cháy chữa cháy đầy đủ.3. Giá bán.Giá bán: 590tr - 600tr - 715tr - 952tr - hơn 1 tỷ.Diện tích: 47m² - 48m² - 49m² - 50m² - 55m² - 65m².Đặc biệt khách hàng thanh toán nhanh trong tháng được chiết khấu 3 - 4% giá trị căn hộ.Tôi là chủ: 0982 882 ***.Liên hệ trực tiếp chủ đầu tư để mua nhà - Thêm Zalo để nhận video căn hộ.            ",48 m²,600 triệu,,,Sổ đỏ/ Sổ hồng,17/11/2022,27/11/2022,Tin Vip 2,34416410,batdongsan_com_vn_34416410,,2 phòng,2 phòng,Đầy đủ nội thất - vào ở luôn.,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Terra An Hưng']","
Chính chủ bán cắt lỗ căn 74m², đầy đủ nội thất giá 2.5x tỷ rẻ nhất thị trường LH: 0327 592 ***Em chính chủ cần bán căn hộ tại dự án Terra An Hưng, KĐT An Hưng, La Khê, Hà Đông.Căn hộ có diện tích thông thuỷ là 74m². Căn có 2 phòng ngủ, 2 WC, 1 lô gia, 1 ban công trồng cây thoải mái.Ban công Đông Nam thoáng mát, nhà mới ở đc 8 tháng, nên mới như ban đầu.An ninh nghiêm ngặt, có đầy đủ tiện ích: Siêu thị, cửa hàng ăn uống, hiệu thuốc, trường học, bể bơi, gym, thư viện, khu vui chơi trẻ em trong nhà và ngoài trời... Và quan trọng có chỗ đỗ xe ô tô.Ngoài ra em có người quen bên chủ đầu tư gửi bán quỹ căn hộ:Căn hộ 74m²: 2 phòng ngủ - 2 vệ sinh.Tòa V1:- Tầng cao, ban công tây bắc, giá: 2.7 tỷ nội thất nguyên bản.- Tầng trung, ban công Tây Bắc view biệt thự, giá: 2.95 tỷ nội thất đầy đủ.Tòa V2:- Tầng cao, ban công đông nam giá: 2.9 tỷ full nội thất.- Tầng trung, ban công Đông Nam, giá: 3 tỷ full nội thất.- Tầng thấp, ban công Đông Nam, giá: 3.05 tỷ nội thất đầy đủ.Tòa V3:- Tầng cao, ban công tây bắc, giá: 2.7 tỷ nội thất cơ bản.- Tầng trung, ban công Tây Bắc view biệt thự, giá: 2.98 tỷ nội thất đầy đủ.Căn hộ 90m²: 3 phòng ngủ - 2 vệ sinh.Tòa V1:- Tầng cao, ban công Đông Nam, giá: 3 tỷ 150tr nội thất cơ bản.- Tầng trung, ban công Đông Nam, giá: 3.45 tỷ nội thất cơ bản.- Tầng thấp, ban công Đông Nam, giá: 3.6 tỷ nội thất đầy đủ.Tòa V2:- Tầng cao, ban công Tây Bắc view biệt thự, giá: 3.4 tỷ nội thất cơ bản.- Tầng trung, ban công Tây Bắc view biệt thự, giá: 3.55 tỷ nội thất đầy đủ.- Tầng thấp, ban công Tây Bắc view biệt thự, giá: 3.6 tỷ nội thất đầy đủ.Tòa V3:- Tầng cao, ban công Đông Nam, giá: 3.2 tỷ nội thất cơ bản.- Tầng trung, ban công Đông Nam, giá: 3.45 tỷ nội thất cơ bản.- Tầng thấp, ban công Đông Nam, giá: 3.55 tỷ nội thất cơ bản.Căn hộ 97m²: 3 phòng ngủ - 2 vệ sinh (+ 1 phòng phụ).Tòa V1:- Tầng cao, ban công Tây Bắc view biệt thự, giá: 3.6 tỷ nội thất cơ bản.- Tầng trung, ban công Tây Bắc view biệt thự, giá: 3.8 tỷ nội thất đầy đủ.- Tầng thấp, ban công Tây Bắc view biệt thự, giá: 3.85 tỷ nội thất đầy đủ.Tòa V2:- Tầng cao, ban công Đông Nam, giá: 3.7 tỷ nội thất cơ bản.Tòa V3:- Tầng thấp, ban công Tây Bắc view biệt thự, giá: 3.55 tỷ nội thất đầy đủ.Căn hộ 140m²: 4 phòng ngủ - 3 vệ sinh (dual key).Tòa v1:- Tầng trung, ban công Đông Nam, giá: 5 tỷ nội thất cơ bản.Tòa V2:- Tầng trung, ban công Tây Bắc view biệt thự, giá: 5.1 tỷ full.            ",74 m²,2.5 tỷ,,,Sổ đỏ/ sổ hồng,17/11/2022,27/11/2022,Tin Vip 2,35869917,batdongsan_com_vn_35869917,Tây - Bắc,2 phòng,2 phòng,Đầy đủ nội thất.,Đông - Nam,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', 'Dự án Hateco Laroma']","
Diện tích thiết kế 3 ngủ, là căn góc 2 ban công.Thiết bị vệ sinh bàn giao cao cấp: Hệ thống tủ giày, tủ quần áo, tủ bếp, bếp đun, hút mùi, thiết bị vệ sinh cao cấp, điều hòa âm trần... Từ các thương hiệu lớn: Bravat, hafele, boss, grohe,...- Cam kết 1 chỗ đỗ xe oto.- Sổ sở hữu lâu dài.- Liên hệ chính chủ 0941 799 *** ",112 m²,10.5 tỷ,,,Sổ sở hữu lâu dài,17/11/2022,07/12/2022,Tin Vip 2,35856122,batdongsan_com_vn_35856122,Bắc,3 phòng,2 phòng,,Nam,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Phương Canh', 'Đường Hòe Thị']","
Chính chủ bán nhà đất mặt phố Hoè Thị, Phương Canh, vỉa hè rộng, mặt tiền 6m.Nhà 3 tầng, 1 tum, 8 phòng ngủ.- Diện tích đất trên sổ 88m².- Diện tích thực tế đã xây nhà 3 tầng 1 tum 93m².Ngoài ra còn có 20m cống đã đổ bê tông chạy dọc và sau nhà.Đường trước nhà quy hoạch mở rộng gấp đôi.Cách 300m trở lại là.+ Trường Cao đẳng quốc tế.+ Trường Cao đẳng FPT.+ Đại học Công nghệ Đông Á.+ Khu công nghiệp đường Trịnh Văn Bô cách 100m.+ Phía trước nhà, trường Đại Nam đã lấy đất.Hiện tại cho nhà đang cho sinh viên và kinh doanh thuê tháng 30tr đến 35tr/tháng.Giá 12,9 tỷ.Sổ đỏ chính chủ - Liên hệ Hằng: 0982 896 *** ",88 m²,12.9 tỷ,6 m,4 tầng,Sổ đỏ,17/11/2022,08/12/2022,Tin Vip 2,35858177,batdongsan_com_vn_35858177,,8 phòng,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Trương Định', 'Đường Minh Khai']","
Do không có nhu cầu sử dụng nên gia đình tôi cần bán căn nhà mới xây 100%, còn nguyên mùi sơn.Địa chỉ nhà: Số 15 ngõ 9 phố Minh Khai, quận Hai Bà Trưng.Nằm tại ngã tư trung tâm thương mại Chợ Mơ sầm uất. Gần các trường đại học Kinh Tế Quốc Dân, đại học Xây Dựng Hà Nội, đại học Bách Khoa. Gần bệnh viện Bạch Mai, bệnh viện Thanh Nhàn, Việt Pháp.Trước cửa nhà 2 ô tô tránh nhau, cách 20m ra đường Minh Khai đã mở rộng 10 làn ô tô.+ Tầng 1: Để kinh doanh, vệ sinh.+ Tầng 2, 3, 4: Mỗi tầng 1 vệ sinh, 1 phòng.+ Tầng 5: Bếp ăn, sân phơi.+ Tầng 6: Tum thang máy cao 2.2m, có thể bắn mái tôn làm sân phơi.Thang máy Hàn Quốc Nhập Khẩu, cửa kính Xingfa, Thiết bị vệ sinh Hoàng Gia (Royal). Ống đồng đi sẵn. Ống gen điện nước.Sổ đỏ cất két sắt, sẵn sàng giao dịch trong ngày.Liên hệ chính chủ: 03355.6314'0.(Nhờ, tiếp các bạn môi giới bán giúp).Diện tích xây dựng 36m², giá bán 8.3 tỷ (có thương lượng).            ",36 m²,8.3 tỷ,3 m,6 tầng,Sổ đỏ/ Sổ hồng,16/11/2022,09/12/2022,Tin Vip 2,35741215,batdongsan_com_vn_35741215,Đông - Nam,3 phòng,4 phòng,Cơ bản đầy đủ,Đông - Nam,7 m
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Phạm Văn Bạch', 'số 2', 'Golden Park Tower']","
Tổng hợp quỹ căn chuyển nhượng dự án Golden Park - số 2 Đường Phạm Văn Bạch, Yên Hòa, Cầu Giấy cam kết giá tốt nhất thị trường.+ Căn 3 phòng ngủ 95,6m² sổ đỏ chính chủ hướng Đông Nam view công viên Cầu Giấy giá 5,450 tỷ - 5,6 tỷ Full đồ xách vali vào ở ngay.+ Căn 3 phòng ngủ số 09, 10 ban công Đông Bắc tầng cao view trọn công viên Cầu Giấy và FPT giá 5,5x tỷ (x trung bình).+ Căn 917, 1917, căn 2617 diện tích 83,5m² cửa vào Tây Bắc, ban công Đông Nam giá: 5,1x tỷ.+ Căn 12A15, 12B15 diện tích 98,1m² cửa vào Đông Bắc, ban công Tây Nam giá 5,2x tỷ.+ Căn 1x01 Diện tích 95,9m² cửa vào Đông Nam, ban công Tây Bắc giá: 5,5 tỷ.+ Căn 1901 Diện tích 95,9m² cửa vào Đông Nam, ban công Tây Bắc giá: 6,x tỷ bàn giao Full đồ.+ Căn 1916 Diện tích 81,1m² cửa vào Tây Bắc, ban công Đông Nam giá: 4,9 tỷ.+ Căn 2218 Diện tích 104,3m² cửa vào Tây Bắc, ban công Đông Nam giá 6,6 tỷ.+ Căn 2x07 Diện tích 114,5m² cửa vào Tây Nam, ban công Đông Bắc giá: 6, x tỷ.+ Căn 3112 Diện tích 99,1m² cửa vào Đông Bắc, ban công Đông Nam giá 6,281 tỷ.Liên hệ tư vấn và xem nhà 24/7: 0961 333 *** em Thành.            ",98.1 m²,5.2 tỷ,,,,16/11/2022,30/11/2022,Tin Vip 2,35851022,batdongsan_com_vn_35851022,Đông - Bắc,3 phòng,2 phòng,,Tây - Nam,
